N	2gram	Propp_Isto_4	Problemy
1	и в	26	46
2	и не	9	27
3	может быть	14	23
4	как бы	3	19
5	не может	6	19
6	в нем	2	17
7	в этом	7	16
8	не только	15	14
9	перед нами	3	12
10	но и	12	12
11	как и	7	12
12	как мы	5	12
13	и на	2	11
14	в одном	5	11
15	а не	6	11
16	не в	5	10
17	между ними	3	10
18	в том	3	9
19	и все	2	9
20	вовсе не	4	9
21	в его	5	9
22	до сих	5	8
23	конечно не	2	8
24	сих пор	5	8
25	или в	3	8
26	и с	5	7
27	по себе	2	7
28	еще не	6	7
29	в себе	2	7
30	никогда не	2	6
31	ни в	2	6
32	но это	3	6
33	есть в	2	6
34	хотя и	2	6
35	к себе	3	6
36	но в	5	6
37	что он	10	6
38	что я	2	6
39	мы увидим	3	6
40	то же	8	6
41	все это	2	6
42	и он	3	6
43	и его	10	6
44	только в	3	6
45	это не	5	5
46	при этом	3	5
47	к нему	6	5
48	так как	9	5
49	у него	5	5
50	о том	4	5
51	уже в	2	4
52	что в	14	4
53	в этих	7	4
54	например в	3	4
55	к ним	2	4
56	таким образом	10	4
57	все эти	3	4
58	и других	3	4
59	потому что	6	4
60	и здесь	5	4
61	во всем	3	4
62	мы можем	6	4
63	превращается в	7	4
64	как в	7	4
65	том что	3	4
66	но не	5	4
67	он не	7	4
68	все же	9	4
69	то что	16	4
70	так и	10	4
71	уже не	5	4
72	на себя	4	4
73	здесь не	4	4
74	и другие	3	3
75	с другой	4	3
76	из этих	3	3
77	не могут	2	3
78	на то	3	3
79	к своему	3	3
80	в своем	2	3
81	на этом	2	3
82	но для	2	3
83	то это	5	3
84	не к	2	3
85	отношение к	2	3
86	и их	2	3
87	другой стороны	4	3
88	так же	18	3
89	и только	5	3
90	с помощью	2	3
91	и даже	4	3
92	но он	4	3
93	имеем в	2	3
94	но этот	2	3
95	как он	6	3
96	их в	7	3
97	мы имеем	7	3
98	если бы	2	3
99	и во	2	3
100	с собой	5	3
101	по существу	3	3
102	и при	3	3
103	по своей	2	3
104	и что	5	3
105	она не	3	3
106	было бы	2	3
107	мы уже	5	3
108	в своей	4	3
109	что и	9	3
110	себя в	2	3
111	на него	3	3
112	героя в	7	3
113	между двумя	12	3
114	тем что	5	3
115	в этой	2	3
116	и этим	2	3
117	не менее	2	2
118	же он	4	2
119	должна быть	2	2
120	в одной	3	2
121	уже нет	3	2
122	вопрос о	4	2
123	его к	3	2
124	от них	2	2
125	для нас	3	2
126	его как	2	2
127	живет в	2	2
128	так что	2	2
129	и как	5	2
130	но все	5	2
131	же как	13	2
132	не дает	2	2
133	мы здесь	2	2
134	и тем	2	2
135	вот как	2	2
136	на том	2	2
137	в других	2	2
138	те же	3	2
139	лишь в	2	2
140	этих случаях	8	2
141	и по	5	2
142	а в	8	2
143	увидим что	2	2
144	в которых	4	2
145	сказать что	2	2
146	что мы	3	2
147	могло бы	2	2
148	а как	2	2
149	в античности	4	2
150	с этим	2	2
151	не хочет	2	2
152	у нас	2	2
153	одна из	2	2
154	все что	4	2
155	есть и	2	2
156	указывает на	4	2
157	он уже	2	2
158	об этом	7	2
159	этого слова	2	2
160	не могло	2	2
161	и пр	11	2
162	когда он	6	2
163	вместе с	6	2
164	так в	4	2
165	в языке	2	2
166	и они	2	2
167	на этот	2	2
168	хотя бы	2	2
169	ничего не	5	2
170	в данном	3	2
171	этот вопрос	2	2
172	на некоторых	2	2
173	могут быть	6	2
174	в другом	5	2
175	там где	3	2
176	того как	4	2
