N	2gram	Tiupa_Narr_1	EvropaiE
1	и в	19	37
2	в пределах	2	25
3	точки зрения	10	23
4	что в	3	21
5	не только	32	18
6	с точки	2	17
7	в то	3	16
8	хотя бы	4	15
9	то же	4	15
10	в своем	2	14
11	в качестве	21	14
12	же время	4	14
13	но и	23	14
14	и не	20	14
15	но в	6	14
16	в этом	17	12
17	в том	18	11
18	в области	2	11
19	так и	9	10
20	отнюдь не	5	9
21	прежде всего	4	9
22	не может	10	9
23	в себе	8	9
24	только в	4	9
25	так же	2	9
26	к тому	7	8
27	в ее	3	8
28	одной стороны	7	8
29	было бы	4	8
30	с одной	7	8
31	между тем	3	8
32	как и	7	7
33	а также	7	7
34	с другой	8	7
35	том что	14	6
36	может быть	25	6
37	вслед за	4	6
38	как бы	4	6
39	в последние	2	6
40	то что	11	6
41	и даже	3	6
42	и на	3	6
43	то есть	19	6
44	же как	3	5
45	в частности	14	5
46	столь же	3	5
47	не в	14	5
48	но не	5	5
49	одной из	4	5
50	со стороны	9	5
51	как мы	3	5
52	в той	6	5
53	тем самым	6	5
54	этой точки	2	5
55	и потому	2	5
56	ни было	3	4
57	независимо от	2	4
58	то ни	3	4
59	именно в	6	4
60	или иного	2	4
61	или иной	5	4
62	можно сказать	5	4
63	бы то	3	4
64	несмотря на	2	4
65	то в	6	4
66	в ней	3	4
67	той или	4	4
68	даже в	2	4
69	по себе	5	4
70	не на	2	4
71	не имеет	2	4
72	сказать что	4	4
73	тем более	2	4
74	того или	2	4
75	как это	6	4
76	мира в	5	4
77	этом отношении	3	3
78	никогда не	3	3
79	жизни в	3	3
80	на себя	3	3
81	или иную	2	3
82	представляет собой	13	3
83	в свою	3	3
84	как было	3	3
85	в прошлом	3	3
86	в известном	2	3
87	в культуре	2	3
88	ту или	2	3
89	известном смысле	2	3
90	из них	3	3
91	себе не	2	3
92	не является	8	3
93	и тем	4	3
94	говорит о	2	3
95	не будет	3	3
96	во второй	2	3
97	когда он	3	3
98	время в	2	3
99	как в	7	3
100	и только	2	3
101	идет о	2	3
102	и для	2	3
103	в таком	2	3
104	можно было	2	3
105	в результате	2	3
106	тем что	3	3
107	в будущем	2	3
108	в данном	5	3
109	о том	6	3
110	всего лишь	2	3
111	мира и	2	3
112	он сам	2	2
113	ни столь	2	2
114	а не	12	2
115	в случае	7	2
116	в какой	2	2
117	во втором	4	2
118	и все	2	2
119	к нему	5	2
120	совершенно очевидно	2	2
121	утверждать что	2	2
122	что на	2	2
123	же в	4	2
124	и как	5	2
125	в силу	4	2
126	есть в	2	2
127	свою очередь	3	2
128	но как	2	2
129	между ними	2	2
130	должна быть	2	2
131	что это	3	2
132	она не	2	2
133	имеет место	4	2
134	он не	3	2
135	в его	9	2
136	мог бы	3	2
137	если в	3	2
138	точка зрения	6	2
139	не есть	3	2
140	в мире	9	2
141	жизни и	3	2
142	наряду с	2	2
143	данном случае	4	2
144	иначе говоря	6	2
145	во всей	2	2
146	а в	11	2
147	а именно	3	2
148	и сейчас	2	2
149	в значительной	2	2
150	другой стороны	4	2
151	или в	2	2
152	и с	4	2
153	хотя и	3	2
154	могут быть	3	2
155	в этой	5	2
156	по своей	3	2
157	как будто	3	2
158	далеко не	5	2
159	следует отметить	2	2
160	между собой	2	2
