N	2gram	Tiupa_Narr_1	Formalny
1	и в	19	38
2	в этом	17	27
3	может быть	25	23
4	и его	5	21
5	и не	20	20
6	прежде всего	4	15
7	не в	14	15
8	не может	10	14
9	в нем	4	13
10	но и	23	13
11	связи с	4	13
12	языка и	2	12
13	в пределах	2	12
14	с его	6	11
15	в том	18	11
16	в его	9	10
17	в связи	2	10
18	и с	4	9
19	как и	7	9
20	при этом	9	9
21	не только	32	9
22	отнюдь не	5	8
23	все же	7	8
24	так и	9	8
25	самом деле	2	8
26	тем что	3	8
27	точки зрения	10	8
28	что в	3	7
29	по себе	5	7
30	для него	2	7
31	по существу	2	7
32	во втором	4	7
33	этом отношении	3	7
34	как мы	3	7
35	уже не	5	7
36	с точки	2	7
37	в первом	3	7
38	не было	2	6
39	в результате	2	6
40	то что	11	6
41	и ее	2	6
42	в ней	3	6
43	в этой	5	6
44	было бы	4	6
45	то же	4	6
46	все эти	2	6
47	а не	12	6
48	как раз	2	6
49	могут быть	3	6
50	он не	3	6
51	только в	4	6
52	а в	11	6
53	хотя бы	4	6
54	должна быть	2	5
55	или иного	2	5
56	что он	6	5
57	именно в	6	5
58	это и	3	5
59	же время	4	5
60	и только	2	5
61	и для	2	5
62	сводится к	3	5
63	в основе	5	5
64	говорить о	2	5
65	в то	3	5
66	независимо от	2	4
67	оно не	2	4
68	не столько	4	4
69	не как	2	4
70	к тому	7	4
71	что они	3	4
72	совершенно не	2	4
73	здесь и	2	4
74	в сущности	3	4
75	того или	2	4
76	не о	3	4
77	как бы	4	4
78	из них	3	4
79	как в	7	4
80	другой стороны	4	4
81	в особенности	4	4
82	что не	4	4
83	и даже	3	4
84	здесь не	4	4
85	они не	2	4
86	ничего не	2	4
87	но в	6	4
88	одного из	4	3
89	если в	3	3
90	же как	3	3
91	и др	2	3
92	в какой	2	3
93	с другой	8	3
94	из этих	3	3
95	и как	5	3
96	но все	4	3
97	например в	2	3
98	значительной степени	2	3
99	не является	8	3
100	не есть	3	3
101	жизни и	3	3
102	и до	2	3
103	к нему	5	3
104	в значительной	2	3
105	следует отметить	2	3
106	особенно в	3	3
107	роль в	2	3
108	или в	2	3
109	каждый из	2	3
110	и на	3	3
111	хотя и	3	3
112	как к	2	3
113	и все	2	3
114	его в	2	3
115	что это	3	3
116	в области	2	3
117	не то	2	3
118	времени и	7	2
119	между двумя	5	2
120	уже в	3	2
121	никогда не	3	2
122	состоит в	13	2
123	в качестве	21	2
124	перед нами	4	2
125	столь же	3	2
126	или даже	2	2
127	это не	2	2
128	между ними	2	2
129	что именно	2	2
130	его как	2	2
131	в ее	3	2
132	том что	14	2
133	идет о	2	2
134	то в	6	2
135	но не	5	2
136	но как	2	2
137	она не	2	2
138	было в	2	2
139	что на	2	2
140	на первый	2	2
141	к другому	2	2
142	без исключения	2	2
143	постольку поскольку	2	2
144	даже в	2	2
145	сами по	2	2
146	один из	3	2
147	и тем	4	2
148	не будет	3	2
149	от всех	2	2
150	отношение к	2	2
151	во второй	2	2
152	ни в	3	2
153	со стороны	9	2
154	а именно	3	2
155	даже не	3	2
156	приводит к	2	2
157	во всей	2	2
158	то ни	3	2
159	в той	6	2
160	тем самым	6	2
161	не имеет	2	2
162	отличие от	5	2
163	в таком	2	2
164	от одного	2	2
165	сказать что	4	2
166	между тем	3	2
167	в отличие	5	2
168	совершенно иной	2	2
169	как это	6	2
170	та же	2	2
