N	2gram	Trubetskoy_1	Dialekti
1	и не	8	30
2	и в	26	18
3	может быть	10	17
4	точки зрения	13	17
5	в нем	4	16
6	так что	3	15
7	не имеет	5	15
8	а не	5	14
9	потому что	7	14
10	что в	9	13
11	то что	7	13
12	не только	10	13
13	и даже	3	13
14	если бы	3	12
15	и что	4	12
16	с точки	6	12
17	в этом	15	12
18	не может	4	12
19	что это	3	11
20	что он	4	11
21	как бы	12	11
22	учение о	4	11
23	все это	6	11
24	в себе	6	11
25	так как	9	11
26	прежде всего	2	10
27	несмотря на	6	10
28	то же	4	10
29	сказать что	2	10
30	никогда не	5	9
31	в том	11	9
32	так и	6	9
33	том что	7	9
34	ясно что	3	8
35	к нему	7	8
36	и как	3	7
37	но и	9	7
38	той или	2	7
39	с другой	8	6
40	можно сказать	3	6
41	хотя бы	3	6
42	не было	2	6
43	не в	2	6
44	его не	2	6
45	в то	4	6
46	но в	7	6
47	в этих	4	5
48	в своем	3	5
49	на то	2	5
50	но если	2	5
51	не с	2	5
52	все же	6	5
53	отношение к	5	5
54	в отношении	6	5
55	общего с	2	5
56	что оно	4	5
57	а в	4	5
58	и с	10	5
59	мы должны	6	5
60	в виду	2	5
61	по крайней	5	4
62	в конце	6	4
63	к тому	6	4
64	во всяком	6	4
65	крайней мере	5	4
66	но не	8	4
67	же время	2	4
68	в котором	4	4
69	быть и	2	4
70	так же	5	4
71	мы можем	2	4
72	ничего общего	2	4
73	о том	6	4
74	к богу	3	3
75	в них	2	3
76	или иной	2	3
77	что и	6	3
78	вплоть до	2	3
79	более или	5	3
80	от бога	2	3
81	ли это	2	3
82	случае не	3	3
83	конечно не	2	3
84	и о	3	3
85	и из	2	3
86	или иное	2	3
87	он не	4	3
88	в его	5	3
89	и потому	6	3
90	если в	3	3
91	один из	2	3
92	жизни и	2	3
93	или менее	5	3
94	в самом	4	3
95	в разных	2	3
96	но все	7	3
97	но с	3	3
98	только что	2	3
99	то или	2	3
100	всегда и	3	3
101	у них	3	3
102	конце концов	3	3
103	очень много	2	3
104	ничем не	4	3
105	только в	4	3
106	утверждать что	2	3
107	и все	2	3
108	не менее	3	2
109	того что	3	2
110	же как	3	2
111	именно в	2	2
112	в виде	4	2
113	в качестве	3	2
114	сравнению с	2	2
115	с этой	3	2
116	не как	2	2
117	и от	4	2
118	из этих	10	2
119	точно так	3	2
120	с другими	4	2
121	грань между	2	2
122	к этому	3	2
123	этой точки	2	2
124	большею частью	2	2
125	и сейчас	2	2
126	очень мало	4	2
127	в мире	5	2
128	ни было	2	2
129	и при	3	2
130	что именно	2	2
131	как о	3	2
132	связанные с	7	2
133	тому же	5	2
134	для него	3	2
135	до сих	5	2
136	явлений природы	2	2
137	еще не	2	2
138	одной стороны	7	2
139	для того	5	2
140	и больше	2	2
141	вслед за	2	2
142	по сравнению	2	2
143	к ним	3	2
144	и является	2	2
145	относится к	2	2
146	всяком случае	6	2
147	из них	7	2
148	к другу	2	2
149	с ней	3	2
150	сих пор	5	2
151	и тогда	4	2
152	для этого	2	2
153	иной раз	2	2
154	а с	7	2
155	этом отношении	2	2
156	с одной	7	2
157	все эти	6	2
158	мы имеем	2	2
159	можно только	2	2
160	в эпоху	7	2
161	уже не	3	2
162	и у	8	2
163	и для	5	2
164	отличается от	2	2
165	ко всему	2	2
166	в которых	4	2
167	или по	2	2
168	и это	2	2
