N	2gram	Ircho_Kome_2	Problemy
1	и в	26	34
2	и не	14	29
3	как бы	2	27
4	что он	5	23
5	в его	4	22
6	может быть	11	19
7	в нем	6	19
8	не может	3	19
9	и все	2	19
10	как и	4	18
11	но в	3	16
12	все это	3	16
13	и его	12	16
14	в этом	10	16
15	и с	5	15
16	прежде всего	4	15
17	он не	2	15
18	то же	3	14
19	к нему	3	14
20	но и	10	12
21	же время	3	12
22	и к	2	12
23	потому что	6	12
24	в то	6	12
25	вовсе не	2	11
26	то что	6	11
27	не только	7	10
28	не в	2	9
29	с самого	2	8
30	в самом	4	8
31	и т	2	8
32	в речах	2	8
33	точки зрения	4	8
34	и для	4	8
35	что в	9	7
36	все же	4	7
37	с которым	2	7
38	как мы	4	7
39	как будто	4	7
40	отношение к	2	6
41	что у	4	6
42	и на	7	6
43	с ними	2	6
44	с его	5	6
45	отношению к	3	6
46	так и	12	6
47	т п	2	6
48	только в	4	6
49	все время	2	5
50	что это	4	5
51	это не	2	5
52	и от	4	5
53	в конце	2	5
54	к тому	12	5
55	так что	5	5
56	но все	3	5
57	и что	2	5
58	и сам	3	5
59	всяком случае	2	5
60	в целом	4	5
61	из них	7	5
62	по отношению	3	5
63	таким образом	6	5
64	а в	3	5
65	с тем	5	5
66	это слово	4	5
67	в одном	2	5
68	на протяжении	10	5
69	даже в	2	5
70	что и	7	5
71	и у	2	5
72	хотя бы	2	5
73	во всяком	2	5
74	друг другу	3	4
75	то ни	2	4
76	с другой	2	4
77	ни было	2	4
78	ни в	5	4
79	да и	3	4
80	из его	2	4
81	на этом	2	4
82	у него	4	4
83	бы то	2	4
84	рядом с	2	4
85	в начале	4	4
86	его в	4	4
87	так как	4	4
88	если бы	9	4
89	этом смысле	2	4
90	но не	3	4
91	еще не	6	4
92	бы и	2	4
93	как в	3	4
94	в мире	2	4
95	тем что	3	4
96	и это	2	4
97	вместе с	9	4
98	за собой	2	3
99	не менее	4	3
100	уже в	4	3
101	в каждом	3	3
102	в том	11	3
103	что его	3	3
104	хотя и	4	3
105	в виду	2	3
106	в котором	3	3
107	жизни и	3	3
108	в одной	2	3
109	в ней	3	3
110	говорить о	2	3
111	как он	3	3
112	бы в	2	3
113	и во	2	3
114	в ее	2	3
115	том что	9	3
116	к концу	3	3
117	по своему	2	3
118	между тем	4	3
119	наконец в	2	3
120	еще в	4	3
121	нет и	2	3
122	в своей	3	3
123	если не	2	3
124	б и	4	3
125	это было	4	3
126	не было	3	2
127	тому что	4	2
128	столь же	9	2
129	с этой	3	2
130	вопрос о	3	2
131	мы знаем	3	2
132	обращает на	5	2
133	и если	2	2
134	друг с	2	2
135	в другой	2	2
136	например в	3	2
137	не удалось	2	2
138	не является	2	2
139	один из	5	2
140	друг друга	3	2
141	в своем	6	2
142	не для	2	2
143	с этим	5	2
144	о том	6	2
145	с которыми	2	2
146	признать что	2	2
147	во время	6	2
148	отнюдь не	2	2
149	однако в	2	2
150	в них	4	2
151	того времени	3	2
152	по всему	3	2
153	надо было	3	2
154	должна была	2	2
155	того же	3	2
156	с другом	2	2
157	тот же	2	2
158	было бы	8	2
159	во всех	3	2
160	так в	2	2
161	в отличие	2	2
162	тому же	11	2
163	еще более	2	2
164	в той	2	2
165	в которой	5	2
166	той же	3	2
167	такая же	2	2
168	да еще	2	2
169	и ее	2	2
170	которые в	2	2
171	отличие от	2	2
172	же не	2	2
173	о чем	3	2
