N	3gram	Trubetskoy_1	Russkaja
1	друг с другом	9	14
2	то же время	2	10
3	в то же	2	10
4	с точки зрения	8	9
5	в том что	15	7
6	во всяком случае	2	6
7	на самом деле	7	6
8	для того чтобы	7	6
9	а между тем	8	5
10	до сих пор	8	5
11	на то что	7	4
12	возможно лишь при	2	4
13	бы то ни	2	4
14	в том случае	4	4
15	более или менее	7	4
16	не может быть	3	4
17	в конце концов	4	3
18	в данном случае	3	3
19	не может не	3	3
20	и то что	3	3
21	вместе с тем	2	3
22	том случае если	4	3
23	в этом случае	4	3
24	друг от друга	6	2
25	в настоящее время	2	2
26	лишь при условии	2	2
27	котором идет речь	5	2
28	о том что	4	2
29	и в том	2	2
30	о котором идет	5	2
31	о том чтобы	2	2
32	тот факт что	4	2
33	лишь в том	5	2
34	в том и	2	2
35	таким же образом	2	2
