N	2gram	Tiupa_Lite_1	FransuaR
1	и в	8	56
2	то есть	6	24
3	в его	7	18
4	таким образом	3	17
5	все эти	2	15
6	в этом	12	14
7	в том	16	13
8	так и	4	13
9	и его	4	12
10	в то	5	12
11	как бы	7	11
12	и т.п	4	11
13	то же	5	11
14	же время	5	10
15	еще не	4	10
16	только в	8	9
17	в самом	3	9
18	но и	17	9
19	и не	12	9
20	том что	14	8
21	в сущности	2	8
22	не только	24	8
23	и др	3	8
24	в нем	2	8
25	и даже	3	8
26	в частности	15	7
27	у него	3	7
28	все они	2	6
29	прежде всего	11	6
30	в этой	4	6
31	своего времени	2	6
32	той же	3	6
33	потому что	3	6
34	точки зрения	6	6
35	связи с	6	6
36	но в	3	6
37	но не	4	5
38	с его	5	5
39	никогда не	4	5
40	в пределах	3	5
41	как и	6	5
42	одним из	5	5
43	один из	3	5
44	своего рода	11	5
45	что в	3	5
46	не было	3	5
47	роль в	2	5
48	в области	3	5
49	в себе	7	4
50	в качестве	17	4
51	например в	3	4
52	за пределы	2	4
53	даже в	2	4
54	с одной	2	4
55	при этом	19	4
56	в основе	3	4
57	в своих	4	4
58	ту же	2	4
59	о том	2	4
60	по своей	3	4
61	одна из	3	4
62	на рубеже	3	3
63	казалось бы	5	3
64	в своем	11	3
65	может быть	13	3
66	не мог	3	3
67	а также	5	3
68	то что	10	3
69	в их	3	3
70	не на	2	3
71	в связи	4	3
72	что для	2	3
73	еще и	3	3
74	в году	13	3
75	уже не	7	3
76	не в	8	3
77	между тем	2	3
78	в другом	2	3
79	о себе	4	2
80	с другой	3	2
81	это не	4	2
82	уже в	5	2
83	не как	4	2
84	человека и	2	2
85	для понимания	2	2
86	что он	5	2
87	для него	2	2
88	с их	3	2
89	одной стороны	2	2
90	было бы	2	2
91	и сам	6	2
92	из них	4	2
93	несмотря на	3	2
94	а в	3	2
95	по преимуществу	4	2
96	не тот	2	2
97	все же	4	2
98	в своей	4	2
99	в мире	2	2
100	самом деле	2	2
101	дело не	2	2
102	данном случае	4	2
103	только на	2	2
104	как раз	4	2
105	было у	2	2
106	не может	5	2
107	нового времени	2	2
108	а не	16	2
109	с собой	4	2
110	с точки	2	2
111	его в	3	2
112	в слове	2	2
113	в данном	5	2
114	и то	2	2
115	с этой	5	2
116	также и	3	2
117	культуры в	4	2
118	он и	3	2
119	мир и	2	2
120	для своего	2	2
121	далеко не	3	2
122	дело в	3	2
123	здесь как	2	2
