N	2gram	Tiupa_Hudo_1	FransuaR
1	и в	19	29
2	то есть	18	21
3	таким образом	3	20
4	и не	15	16
5	в этой	2	13
6	как и	2	12
7	и т.п	4	12
8	но в	7	12
9	так и	11	11
10	и на	2	11
11	в этом	11	11
12	то же	10	10
13	в романе	3	10
14	в то	6	10
15	не только	16	10
16	вовсе не	2	9
17	но и	10	9
18	все эти	2	9
19	его в	2	9
20	же время	5	8
21	прежде всего	4	8
22	в его	9	8
23	и его	12	8
24	как бы	9	8
25	в них	2	7
26	так же	2	7
27	в том	18	7
28	своего рода	5	6
29	но он	3	6
30	это не	2	5
31	того же	2	5
32	и о	3	5
33	далеко не	2	5
34	в нем	5	5
35	в своей	5	5
36	и по	2	5
37	сказать что	4	5
38	с его	6	4
39	в нашем	2	4
40	что он	3	4
41	по своему	2	4
42	еще не	3	4
43	и др	2	4
44	один из	2	4
45	то что	4	4
46	все это	2	4
47	и одновременно	5	4
48	с другой	7	4
49	точки зрения	10	4
50	мира и	2	4
51	в которой	2	4
52	в узком	3	3
53	том числе	2	3
54	в частности	13	3
55	в качестве	24	3
56	в своем	2	3
57	превращается в	2	3
58	с ее	5	3
59	в ее	5	3
60	но как	2	3
61	том что	8	3
62	и как	3	3
63	то в	2	3
64	более или	5	3
65	того что	4	3
66	по преимуществу	2	3
67	он не	4	3
68	к нему	3	3
69	здесь не	2	3
70	образом и	2	3
71	или менее	5	3
72	другой стороны	5	3
73	как к	2	3
74	при этом	13	3
75	на языке	2	3
76	в году	2	3
77	того чтобы	2	3
78	для того	2	3
79	не случайно	3	3
80	в себе	9	3
81	по своей	7	3
82	в чем	2	3
83	место в	4	2
84	времени и	2	2
85	и другие	2	2
86	в этих	3	2
87	жизни в	2	2
88	нового времени	2	2
89	в жизни	2	2
90	к тому	4	2
91	и к	3	2
92	одной из	2	2
93	ни в	5	2
94	из этого	2	2
95	есть в	2	2
96	именно в	2	2
97	но не	11	2
98	перед лицом	3	2
99	в себя	2	2
100	одной стороны	2	2
101	не может	7	2
102	о чем	2	2
103	может быть	14	2
104	хотя и	3	2
105	никогда не	2	2
106	уже не	4	2
107	а также	5	2
108	в виду	5	2
109	со стороны	2	2
110	и для	2	2
111	себя в	7	2
112	но она	2	2
113	как в	2	2
114	в их	5	2
115	как раз	3	2
116	не на	3	2
117	с одной	2	2
118	в той	3	2
119	с точки	3	2
120	между ними	4	2
121	не столько	3	2
122	в слове	3	2
123	или в	2	2
124	и то	4	2
125	их в	3	2
126	в основе	4	2
127	только в	5	2
128	о том	2	2
129	и это	2	2
130	с ним	2	2
131	к которому	4	2
