N	2gram	Medvedev_V_1	Hudozhes
1	в качестве	11	19
2	и не	19	16
3	в том	15	15
4	и в	26	15
5	не только	25	15
6	в частности	11	13
7	может быть	22	13
8	а в	3	12
9	и его	6	12
10	но не	2	11
11	в этом	26	11
12	в себе	6	11
13	как бы	5	10
14	отношению к	7	10
15	но и	10	10
16	так и	5	10
17	по отношению	7	10
18	то же	10	10
19	а не	7	10
20	в его	14	9
21	точки зрения	3	9
22	сводится к	3	8
23	с другой	11	7
24	или иной	2	7
25	в искусстве	6	7
26	в то	6	7
27	но в	2	7
28	с его	3	6
29	что в	10	6
30	в ее	4	6
31	том что	8	6
32	не в	6	6
33	же время	5	6
34	приводит к	5	6
35	не может	17	6
36	художественной деятельности	2	5
37	художественного творчества	18	5
38	могут быть	5	5
39	можно сказать	4	5
40	только в	7	5
41	в самом	4	5
42	того что	3	5
43	в нем	6	5
44	то что	6	5
45	между ними	3	5
46	или менее	6	5
47	другой стороны	8	5
48	в их	5	5
49	более или	6	5
50	не столько	2	4
51	прежде всего	13	4
52	к тому	4	4
53	и как	3	4
54	в другом	2	4
55	для него	8	4
56	еще не	2	4
57	например в	3	4
58	хотя и	2	4
59	он не	2	4
60	в своей	4	4
61	в форме	3	4
62	в слове	3	4
63	сказать что	5	4
64	между тем	5	4
65	мы имеем	3	4
66	говорить о	2	4
67	как это	12	4
68	художественного произведения	6	3
69	не менее	2	3
70	если бы	3	3
71	конечном счете	5	3
72	произведения как	5	3
73	в противоположность	3	3
74	это не	7	3
75	говорит и	8	3
76	что он	4	3
77	и к	3	3
78	к его	2	3
79	в пределах	5	3
80	о чем	2	3
81	в воображении	2	3
82	того или	2	3
83	как раз	3	3
84	в конечном	7	3
85	далеко не	2	3
86	как говорит	5	3
87	в целом	4	3
88	таким образом	31	3
89	как и	7	3
90	лишь в	2	3
91	во всей	2	3
92	и для	2	3
93	не следует	8	3
94	их в	6	3
95	и ее	4	3
96	его в	3	3
97	в художественном	10	3
98	всего лишь	3	3
99	в которой	2	3
100	в области	2	3
101	в виду	4	3
102	в творческом	2	2
103	том числе	2	2
104	в порядке	5	2
105	в противном	2	2
106	числе и	2	2
107	тому что	6	2
108	в своем	8	2
109	в них	4	2
110	в одном	4	2
111	человека и	3	2
112	вовсе не	3	2
113	по себе	2	2
114	только о	2	2
115	роль в	4	2
116	при всей	2	2
117	об этом	9	2
118	о его	2	2
119	говоря иначе	3	2
120	одна из	4	2
121	говорит в	3	2
122	в значительной	3	2
123	одной стороны	2	2
124	во всех	6	2
125	и потому	2	2
126	не вполне	2	2
127	даже в	5	2
128	не является	5	2
129	и др	9	2
130	художественное произведение	5	2
131	в романе	4	2
132	с одной	2	2
133	именно в	2	2
134	все эти	6	2
135	это и	6	2
136	в году	6	2
137	того чтобы	3	2
138	для того	3	2
139	из которых	2	2
140	и по	3	2
141	или в	3	2
142	так же	3	2
143	с другими	2	2
144	в силу	11	2
145	у него	6	2
146	даже самая	2	2
147	но как	3	2
148	начиная с	2	2
149	в этой	4	2
150	о том	10	2
151	мира и	3	2
152	в чем	2	2
153	бы не	2	2
154	противном случае	2	2
