N	2gram	Losev_Dial_2	Problemy
1	и в	19	43
2	и не	30	29
3	т е	30	26
4	может быть	20	23
5	как бы	14	22
6	не может	9	18
7	но и	12	14
8	как и	10	14
9	и т	17	13
10	точки зрения	12	13
11	в этом	8	13
12	что он	6	13
13	в нем	10	12
14	в одном	4	12
15	в каждом	2	11
16	не в	8	11
17	по себе	18	11
18	не только	19	11
19	прежде всего	8	10
20	но в	2	10
21	как мы	3	10
22	никогда не	9	9
23	еще не	4	9
24	в сущности	2	9
25	он не	4	9
26	т п	2	9
27	то же	12	8
28	с точки	8	8
29	и его	5	8
30	или в	2	8
31	перед нами	2	7
32	до сих	2	7
33	в самом	5	7
34	в то	6	7
35	то что	14	7
36	сих пор	2	7
37	что же	2	7
38	а не	16	7
39	в другом	4	7
40	в этих	3	6
41	в том	14	6
42	при этом	4	6
43	и все	12	6
44	не как	2	6
45	что я	2	6
46	да и	6	5
47	так что	7	5
48	же время	5	5
49	у меня	3	5
50	к нему	4	5
51	все это	4	5
52	таким образом	4	5
53	все эти	2	5
54	а в	4	5
55	и с	5	5
56	но ведь	2	5
57	вовсе не	13	5
58	о том	5	5
59	но не	6	5
60	было бы	3	5
61	и что	5	5
62	в той	3	5
63	самом деле	4	5
64	сам по	3	5
65	в себе	15	5
66	я не	6	4
67	не могут	4	4
68	сама по	7	4
69	что в	7	4
70	в своем	4	4
71	с другой	5	4
72	к тому	2	4
73	но это	7	4
74	и нет	2	4
75	между собою	3	4
76	себе и	3	4
77	т д	15	4
78	должно быть	7	4
79	в результате	2	4
80	их в	2	4
81	же и	9	4
82	но он	4	4
83	во время	2	4
84	так как	14	4
85	так чтобы	2	4
86	или как	3	4
87	совершенно не	7	4
88	в своей	8	4
89	во всех	2	4
90	не на	2	4
91	как раз	5	4
92	только в	5	4
93	и это	5	4
94	же не	3	4
95	не менее	3	3
96	что если	3	3
97	должна быть	5	3
98	это не	10	3
99	в одной	4	3
100	есть и	6	3
101	есть в	2	3
102	более или	2	3
103	кроме того	3	3
104	и следовательно	5	3
105	той или	4	3
106	в виду	5	3
107	и их	3	3
108	в их	2	3
109	того и	2	3
110	и только	4	3
111	в одно	5	3
112	и даже	14	3
113	ни на	2	3
114	его в	3	3
115	с ним	4	3
116	между тем	2	3
117	в жизни	2	3
118	сознания и	5	3
119	и к	7	3
120	даны в	3	3
121	говорят что	4	3
122	она не	8	3
123	мы уже	8	3
124	за пределы	4	3
125	даже в	3	3
126	что и	5	3
127	все же	4	3
128	себя в	2	3
129	на него	2	3
130	так и	10	3
131	или менее	2	3
132	уже не	3	3
133	другой стороны	4	3
134	также и	2	3
135	ничего не	3	3
136	тем что	2	3
137	в виде	2	3
138	могут быть	4	3
139	это все	2	3
140	уже в	4	2
141	что у	2	2
142	та же	4	2
143	в конце	2	2
144	человека и	2	2
145	была бы	3	2
146	вопрос о	3	2
147	одна и	4	2
148	что на	2	2
149	тем не	2	2
150	как же	3	2
151	ни в	10	2
152	без всякого	4	2
153	это я	2	2
154	и как	10	2
155	но все	2	2
156	в узком	2	2
157	времени и	9	2
158	что это	10	2
159	например в	2	2
160	что такое	3	2
161	оно должно	2	2
162	время как	7	2
163	то это	2	2
164	я сам	2	2
165	того что	6	2
166	так же	2	2
167	чтобы не	6	2
168	с ними	2	2
169	в своих	2	2
170	сказать что	10	2
171	что тут	4	2
172	из них	3	2
173	как он	4	2
174	во всяком	2	2
175	я и	2	2
176	уже и	2	2
177	и та	6	2
178	с этим	3	2
179	нельзя сказать	4	2
180	быть в	4	2
181	бы ни	2	2
182	об этом	3	2
183	и при	2	2
184	по своему	5	2
185	и говорить	2	2
186	и слова	3	2
187	то время	4	2
188	ведь это	3	2
189	одно и	4	2
190	себе как	3	2
191	конечно не	6	2
192	не могу	6	2
193	не есть	47	2
194	и пр	5	2
195	быть и	4	2
196	ее в	2	2
197	бы и	2	2
198	как в	2	2
199	это вовсе	2	2
200	не во	2	2
201	в голове	2	2
202	и они	2	2
203	если мы	2	2
204	он есть	3	2
205	том что	10	2
206	что не	6	2
207	должны быть	3	2
208	тем же	2	2
209	хотя бы	4	2
210	в таком	4	2
211	что этот	3	2
212	и то	7	2
213	в поэзии	7	2
214	иной раз	5	2
215	тело и	3	2
216	того как	2	2
217	все его	3	2
