N	2gram	Tiupa_Lite_2	Psycholo
1	в том	10	37
2	и в	19	32
3	и что	2	22
4	том что	7	21
5	то что	7	21
6	в искусстве	4	21
7	потому что	2	21
8	то есть	5	21
9	что в	4	20
10	может быть	17	18
11	что и	2	17
12	не может	9	17
13	точки зрения	4	17
14	что он	3	13
15	при этом	6	13
16	то же	12	13
17	для того	2	13
18	в этом	9	13
19	не только	8	12
20	так как	3	12
21	с тем	2	11
22	было бы	2	11
23	в основе	2	11
24	как и	10	10
25	и т	2	10
26	но и	10	10
27	и не	11	10
28	с точки	3	10
29	никогда не	3	9
30	в своих	2	9
31	тем что	4	9
32	не менее	6	8
33	не в	4	8
34	т п	2	8
35	той же	2	8
36	того что	5	8
37	и как	3	7
38	такой же	3	7
39	а не	20	7
40	в сущности	3	7
41	поэзии и	2	7
42	и его	3	7
43	в этой	3	6
44	тот же	2	6
45	он не	5	6
46	как бы	2	6
47	в художественном	2	6
48	о том	2	6
49	отнюдь не	4	5
50	в ней	4	5
51	как раз	2	5
52	этом отношении	3	5
53	и даже	8	5
54	как на	3	5
55	и на	6	5
56	в то	9	5
57	же как	2	4
58	столь же	5	4
59	едва ли	4	4
60	с этой	2	4
61	в жизни	2	4
62	тем не	2	4
63	как это	2	4
64	и сам	2	4
65	произведения искусства	2	4
66	в нем	3	4
67	все же	2	4
68	из них	2	4
69	жизни и	4	4
70	и до	2	4
71	данном случае	3	4
72	но только	2	4
73	а в	3	4
74	и для	3	4
75	в данном	3	4
76	и с	3	4
77	есть по	2	4
78	могут быть	2	4
79	в целом	2	4
80	ту же	2	4
81	ничего не	3	4
82	состоит в	9	3
83	в частности	4	3
84	конечном счете	5	3
85	для этого	2	3
86	хотя бы	2	3
87	с другой	8	3
88	в конце	2	3
89	и к	2	3
90	по существу	3	3
91	так что	4	3
92	но как	2	3
93	до конца	2	3
94	один из	4	3
95	с ее	2	3
96	так и	7	3
97	не к	2	3
98	то как	2	3
99	во всех	3	3
100	том чтобы	3	3
101	в их	3	3
102	на этом	2	3
103	и других	4	3
104	что не	2	3
105	в конечном	5	3
106	и он	3	3
107	при всем	2	3
108	тому как	2	3
109	как к	3	3
110	и то	3	3
111	в поэзии	3	3
112	но в	2	3
113	мы не	4	3
114	в виду	2	3
115	первый раз	2	2
116	в них	2	2
117	все что	2	2
118	в какой	2	2
119	в одном	2	2
120	в каждом	2	2
121	же время	9	2
122	а к	2	2
123	еще не	2	2
124	но не	5	2
125	очевидно что	2	2
126	того же	4	2
127	из которых	2	2
128	вовсе не	2	2
129	в его	4	2
130	не вполне	2	2
131	в него	2	2
132	если в	2	2
133	в ее	2	2
134	в руках	2	2
135	не так	2	2
136	как он	2	2
137	для нас	2	2
138	вместе с	5	2
139	себе и	3	2
140	и без	2	2
141	вплоть до	3	2
142	так в	5	2
143	другой стороны	4	2
144	не было	2	2
145	а потому	2	2
146	из того	2	2
147	к своему	2	2
148	доверие к	2	2
149	каждый из	4	2
150	но это	3	2
151	подобно тому	2	2
152	в первый	2	2
153	в себе	6	2
154	и только	2	2
155	в русском	2	2
156	в свое	2	2
157	могло бы	2	2
