N	2gram	Nazirov_Tv_1	Analitik
1	в этом	6	18
2	в частности	2	16
3	и в	21	16
4	не только	7	16
5	так и	2	15
6	как и	12	14
7	в том	7	12
8	своего рода	4	12
9	но и	3	12
10	и не	7	12
11	том что	11	12
12	в качестве	2	11
13	могут быть	2	10
14	как бы	17	10
15	при этом	7	10
16	а не	5	10
17	и даже	3	9
18	в этой	5	9
19	то есть	12	9
20	в данном	2	8
21	отнюдь не	5	8
22	в целом	4	8
23	не случайно	4	8
24	представляет собой	3	8
25	к тому	2	7
26	в себе	2	7
27	то что	8	7
28	о том	6	7
29	с другой	3	6
30	в самом	3	6
31	в мире	4	6
32	и на	7	6
33	может быть	5	6
34	но в	7	6
35	говорит о	3	5
36	данном случае	2	5
37	не менее	6	4
38	в своем	4	4
39	можно сказать	2	4
40	у него	7	4
41	уже не	3	4
42	не в	2	4
43	но не	3	4
44	того же	2	4
45	тем самым	7	4
46	для него	6	4
47	в один	2	4
48	по преимуществу	2	4
49	времени в	13	4
50	и тем	2	4
51	во второй	2	4
52	как в	8	4
53	все это	10	4
54	не может	4	4
55	и его	6	4
56	то же	13	4
57	не так	3	4
58	хотя и	3	4
59	только в	5	4
60	в себя	2	4
61	не был	3	3
62	место в	3	3
63	никогда не	3	3
64	не столько	2	3
65	по крайней	2	3
66	одного из	2	3
67	прежде всего	4	3
68	одной из	4	3
69	тем не	2	3
70	не мог	2	3
71	так что	2	3
72	крайней мере	2	3
73	на его	3	3
74	или в	2	3
75	что и	2	3
76	из них	2	3
77	в первой	2	3
78	в их	3	3
79	приводит к	2	3
80	только на	2	3
81	не знает	2	3
82	именно в	2	3
83	на смену	2	3
84	а в	6	3
85	воли и	3	3
86	как будто	5	3
87	я и	3	3
88	в конечном	4	3
89	и все	6	3
90	а как	2	2
91	своего собственного	2	2
92	того что	3	2
93	что все	3	2
94	к этому	2	2
95	вовсе не	5	2
96	свободе воли	2	2
97	конечном счете	4	2
98	его как	2	2
99	а затем	2	2
100	отличие от	2	2
101	в соответствии	3	2
102	соответствии с	3	2
103	же время	12	2
104	что в	12	2
105	времени как	3	2
106	в своей	4	2
107	еще в	2	2
108	в котором	6	2
109	себе не	2	2
110	даже в	3	2
111	один из	4	2
112	с ее	3	2
113	в отличие	2	2
114	вместе с	2	2
115	дело не	3	2
116	что она	2	2
117	вслед за	2	2
118	во времени	3	2
119	таким образом	5	2
120	той же	3	2
121	еще более	2	2
122	в двух	2	2
123	по природе	6	2
124	свидетельствует о	2	2
125	и он	2	2
126	так же	3	2
127	личности и	2	2
128	он не	8	2
129	на протяжении	3	2
130	о свободе	3	2
131	в то	15	2
132	в его	13	2
133	в этих	2	2
134	собой в	2	2
135	сказать что	2	2
136	с ним	3	2
