N	2gram	Nazirov_Tv_2	Myslijsy
1	потому что	7	49
2	то есть	5	30
3	и в	20	24
4	в душе	4	23
5	может быть	8	23
6	то что	3	20
7	и не	9	19
8	а не	6	18
9	в том	8	18
10	что в	7	16
11	не только	13	15
12	при этом	8	13
13	не в	4	13
14	но не	5	12
15	не может	7	12
16	то же	7	12
17	если бы	4	11
18	вместе с	3	11
19	мы не	4	11
20	только в	2	11
21	таким образом	10	11
22	для него	3	10
23	в себе	3	10
24	так что	2	10
25	как в	4	10
26	тогда как	3	10
27	так как	3	10
28	вовсе не	2	9
29	в нем	3	9
30	как бы	11	9
31	но и	8	9
32	а в	4	8
33	том что	4	8
34	и на	5	8
35	в этом	8	8
36	могут быть	2	8
37	быть может	3	7
38	прежде всего	8	7
39	во всяком	2	7
40	всяком случае	2	7
41	как и	6	7
42	тем что	3	7
43	в чем	4	7
44	с другой	2	6
45	в одном	2	6
46	и т	13	6
47	не было	2	6
48	между тем	3	6
49	в то	10	6
50	и только	2	6
51	уже в	2	5
52	не менее	2	5
53	по крайней	2	5
54	с ним	3	5
55	крайней мере	2	5
56	что они	4	5
57	что не	3	5
58	о том	5	5
59	так и	6	5
60	бы не	2	5
61	с другими	2	5
62	из них	2	5
63	только для	2	5
64	все же	5	5
65	в которой	2	5
66	место в	3	4
67	никогда не	11	4
68	что он	6	4
69	уже не	3	4
70	такой же	2	4
71	одна из	3	4
72	до сих	3	4
73	еще не	5	4
74	и если	2	4
75	в самом	3	4
76	в котором	3	4
77	сих пор	3	4
78	так в	2	4
79	если не	4	4
80	и что	2	4
81	тем самым	4	4
82	в таком	3	4
83	так сказать	2	4
84	одном из	2	4
85	но в	4	4
86	так например	3	3
87	это не	7	3
88	и от	4	3
89	человека и	3	3
90	хотя и	4	3
91	что на	2	3
92	но это	5	3
93	например в	5	3
94	его в	3	3
95	при виде	2	3
96	в целом	6	3
97	на него	2	3
98	что она	4	3
99	и тогда	2	3
100	что его	2	3
101	т п	2	3
102	т д	11	3
103	человека в	3	3
104	на ней	2	3
105	и у	2	3
106	не так	2	3
107	рядом с	2	3
108	во многих	2	3
109	с ними	2	3
110	и вообще	2	3
111	они имеют	2	2
112	таком случае	2	2
113	и есть	2	2
114	и его	9	2
115	что у	4	2
116	превращается в	3	2
117	не столько	2	2
118	несколько раз	3	2
119	и это	3	2
120	к этому	3	2
121	зависит от	2	2
122	у нас	2	2
123	все эти	4	2
124	так же	5	2
125	у него	6	2
126	же время	7	2
127	а скорее	2	2
128	но если	2	2
129	в его	10	2
130	это определение	3	2
131	и потому	4	2
132	один из	3	2
133	но эти	2	2
134	все это	6	2
135	другой стороны	2	2
136	а а	4	2
137	а с	3	2
138	и других	2	2
139	самом деле	2	2
140	мы видим	4	2
141	и по	2	2
142	друг друга	2	2
143	по отношению	3	2
144	боль в	3	2
145	их в	2	2
146	можно принять	2	2
147	к которому	2	2
148	и поэтому	2	2
