N	2gram	Ircho_Kome_3	Literetu
1	а не	4	20
2	и в	22	19
3	может быть	6	17
4	то же	7	12
5	и не	21	11
6	в том	12	10
7	как и	3	10
8	но и	4	10
9	состоит в	2	9
10	же время	5	9
11	не может	3	9
12	в мире	2	9
13	в этом	8	9
14	в то	6	9
15	с другой	4	8
16	не только	5	8
17	и даже	3	8
18	том что	13	7
19	то что	4	7
20	так и	4	7
21	с одной	3	7
22	не менее	5	6
23	однако в	4	6
24	в себе	4	6
25	одной стороны	3	6
26	при этом	7	6
27	и на	2	6
28	конечном счете	2	5
29	столь же	3	5
30	в качестве	2	5
31	он не	5	5
32	в конечном	2	5
33	вместе с	9	5
34	что в	5	4
35	в частности	3	4
36	прежде всего	5	4
37	не в	4	4
38	отнюдь не	4	4
39	того же	6	4
40	в ней	4	4
41	в его	8	4
42	один из	3	4
43	ли не	2	4
44	человека в	2	4
45	так что	6	4
46	другой стороны	2	4
47	мы не	2	4
48	по отношению	5	4
49	тем что	5	4
50	точки зрения	4	4
51	едва ли	7	4
52	в области	2	4
53	обращается к	3	3
54	никогда не	3	3
55	что он	8	3
56	идет о	3	3
57	в нем	3	3
58	по существу	2	3
59	одним из	2	3
60	в начале	3	3
61	в этой	3	3
62	и он	2	3
63	в сущности	2	3
64	во всех	2	3
65	вплоть до	2	3
66	речь идет	5	3
67	и ты	2	3
68	не с	2	3
69	отношению к	3	3
70	со стороны	11	3
71	в их	2	3
72	и для	4	3
73	этом отношении	2	3
74	так как	11	3
75	всего лишь	2	3
76	тем же	3	3
77	с точки	3	3
78	а в	7	3
79	и его	6	3
80	в глазах	8	3
81	и с	4	3
82	х годов	2	3
83	в другом	2	3
84	ничего не	3	3
85	уже в	2	2
86	не было	2	2
87	ни было	2	2
88	с тем	4	2
89	у него	4	2
90	себя и	2	2
91	не является	4	2
92	в них	3	2
93	в какой	3	2
94	с этой	3	2
95	в конце	7	2
96	в виду	2	2
97	в одном	2	2
98	все еще	2	2
99	вовсе не	4	2
100	из того	3	2
101	и к	3	2
102	а также	2	2
103	о которой	2	2
104	этом случае	2	2
105	в ее	3	2
106	а затем	2	2
107	тем не	3	2
108	все что	3	2
109	и без	2	2
110	до конца	4	2
111	тот же	2	2
112	еще не	6	2
113	было бы	3	2
114	и сам	5	2
115	не так	3	2
116	одной из	3	2
117	при всей	2	2
118	не по	7	2
119	как бы	3	2
120	в свое	2	2
121	был бы	2	2
122	перед ним	3	2
123	что и	8	2
124	как он	3	2
125	все же	4	2
126	и т	4	2
127	в целом	3	2
128	из них	5	2
129	при всем	2	2
130	как раз	6	2
131	т п	4	2
132	все равно	3	2
133	к своему	2	2
134	что ты	2	2
135	и что	6	2
136	для того	6	2
137	что не	3	2
138	из которых	2	2
139	за то	2	2
140	хотя бы	4	2
141	друг друга	4	2
142	не знает	3	2
143	в своих	2	2
144	в результате	2	2
145	потому что	10	2
146	в основе	2	2
147	на себя	4	2
148	он и	2	2
149	и еще	3	2
150	о том	8	2
151	представляет собой	3	2
152	к этой	2	2
153	как это	5	2
154	с ним	5	2
155	но в	5	2
