N	2gram	Vygotskiy__4	OGranits
1	и в	33	13
2	и его	5	12
3	прежде всего	2	9
4	не может	10	8
5	и не	13	8
6	может быть	22	8
7	точки зрения	6	7
8	в его	10	7
9	таким образом	13	6
10	не только	7	6
11	то что	44	6
12	только в	4	6
13	мы должны	6	6
14	как бы	25	6
15	все же	5	5
16	с точки	4	5
17	и эта	2	5
18	хотя бы	2	5
19	и наконец	2	5
20	то же	9	4
21	не является	2	4
22	тех пор	2	4
23	но мы	2	4
24	в своей	4	4
25	до тех	2	4
26	все это	13	4
27	в двух	4	4
28	мы не	5	4
29	мы можем	5	4
30	материала в	3	4
31	было бы	12	4
32	но в	2	4
33	пор пока	2	3
34	и уже	4	3
35	что в	21	3
36	никогда не	5	3
37	но и	3	3
38	материала и	2	3
39	так и	3	3
40	понятно что	3	3
41	в их	2	3
42	при анализе	2	3
43	и все	12	3
44	в одном	3	3
45	здесь мы	3	3
46	со всей	2	3
47	самом деле	12	3
48	в ее	2	3
49	да и	3	3
50	как и	5	3
51	не в	2	3
52	в которой	4	3
53	и то	2	3
54	в пределах	3	3
55	в себе	6	3
56	в искусстве	2	3
57	говорить о	3	3
58	с этим	5	3
59	и для	3	3
60	так как	12	3
61	слово в	2	3
62	и этот	3	2
63	ни одно	2	2
64	уже в	2	2
65	с этой	4	2
66	а как	2	2
67	самого начала	5	2
68	в нем	7	2
69	ее в	4	2
70	во всей	3	2
71	в целом	5	2
72	а не	6	2
73	что эта	6	2
74	думать что	2	2
75	другой стороны	2	2
76	с другой	2	2
77	не на	2	2
78	в них	2	2
79	а в	4	2
80	с одной	3	2
81	все эти	6	2
82	вовсе не	5	2
83	к анализу	3	2
84	те же	2	2
85	на две	2	2
86	в тех	2	2
87	с самого	5	2
88	к тому	12	2
89	и к	2	2
90	как в	3	2
91	если бы	10	2
92	не имеет	2	2
93	в том	21	2
94	так же	13	2
95	том что	22	2
96	мы видим	6	2
97	этот материал	4	2
98	в своих	3	2
99	что они	6	2
100	в этом	28	2
101	от этого	3	2
102	тем что	3	2
103	при этом	2	2
104	и ее	2	2
105	в руках	2	2
106	во всем	2	2
107	тот же	3	2
108	одной стороны	3	2
109	и может	5	2
110	в действительности	2	2
111	кажется что	2	2
112	мы уже	5	2
113	мы получим	3	2
114	слова и	4	2
115	в самом	12	2
116	героя и	2	2
117	вслед за	3	2
118	в ней	6	2
119	и является	2	2
