N	2gram	Ircho_Kome_3	slovoVRo
1	и в	22	39
2	может быть	6	37
3	и т	4	35
4	и его	6	33
5	т п	4	33
6	не только	5	24
7	и не	21	22
8	но и	4	21
9	не может	3	20
10	в нем	3	19
11	до конца	4	17
12	все это	5	16
13	в этом	8	16
14	так и	4	15
15	а не	4	14
16	как в	2	13
17	отличие от	2	13
18	в пределах	2	13
19	во всех	2	12
20	вовсе не	4	10
21	к своему	2	9
22	не в	4	9
23	и с	4	9
24	прежде всего	5	8
25	таким образом	12	8
26	точки зрения	4	8
27	с его	3	7
28	при этом	7	7
29	еще не	6	7
30	в его	8	7
31	как бы	3	7
32	никогда не	3	7
33	и даже	3	7
34	как мы	2	7
35	с ним	5	7
36	в них	3	6
37	и к	3	6
38	этом случае	2	6
39	все же	4	6
40	как и	3	6
41	в своем	8	6
42	она не	2	6
43	в сущности	2	6
44	но в	5	6
45	не могут	2	5
46	с другой	4	5
47	это не	2	5
48	и для	4	5
49	и все	2	5
50	том что	13	5
51	но все	4	5
52	одной стороны	3	5
53	в том	12	5
54	один из	3	5
55	с одной	3	5
56	человека в	2	5
57	остается в	2	5
58	конечно не	3	5
59	не менее	5	4
60	себя и	2	4
61	ни в	10	4
62	отношению к	3	4
63	же время	5	4
64	в отношении	4	4
65	по отношению	5	4
66	его не	2	4
67	отношения к	2	4
68	то же	7	4
69	с помощью	4	4
70	в таком	2	4
71	а в	7	4
72	с другими	2	4
73	и на	2	4
74	дело с	3	4
75	в основе	2	4
76	в то	6	4
77	отношение к	5	4
78	его в	8	4
79	здесь не	2	4
80	так как	11	4
81	что в	5	3
82	хотя бы	4	3
83	человека и	2	3
84	стороны и	2	3
85	не с	2	3
86	в свою	7	3
87	что и	8	3
88	из себя	3	3
89	связи с	5	3
90	его от	2	3
91	у него	4	3
92	в ней	4	3
93	к нему	5	3
94	этом отношении	2	3
95	не приходится	2	3
96	а также	2	3
97	с точки	3	3
98	между тем	2	3
99	говорить о	3	3
100	как это	5	3
101	во всяком	3	3
102	чем в	3	2
103	уже в	2	2
104	не было	2	2
105	хотя и	5	2
106	однако в	4	2
107	обстоит дело	2	2
108	в себе	4	2
109	и здесь	4	2
110	что он	8	2
111	без всякого	2	2
112	х годов	2	2
113	свою очередь	6	2
114	все что	3	2
115	за пределы	2	2
116	к ней	8	2
117	известной степени	2	2
118	всяком случае	3	2
119	и особенно	2	2
120	должен быть	2	2
121	сих пор	9	2
122	на его	2	2
123	то что	4	2
124	вместе с	9	2
125	на него	4	2
126	пор не	2	2
127	и речи	4	2
128	в их	2	2
129	в связи	4	2
130	с этим	3	2
131	на них	3	2
132	мы не	2	2
133	того чтобы	6	2
134	для того	6	2
135	одним из	2	2
136	роль в	2	2
137	меньше чем	2	2
138	людей и	2	2
139	в результате	2	2
140	за ней	2	2
141	он не	5	2
142	нуждается в	2	2
143	далеко не	3	2
144	в другом	2	2
145	не знает	3	2
146	о том	8	2
147	как он	3	2
148	в области	2	2
149	в одном	2	2
150	до сих	9	2
