N	2gram	Nazirov_Tr_1	Dialekti
1	и не	7	30
2	может быть	7	17
3	ничего не	2	17
4	то что	4	16
5	и в	18	15
6	как бы	7	14
7	не имеет	2	14
8	что это	5	13
9	это не	5	12
10	прежде всего	4	11
11	в том	2	11
12	не может	5	11
13	и все	4	11
14	в этом	9	11
15	с ее	3	10
16	личности и	2	10
17	потому что	2	10
18	том что	4	10
19	все это	4	9
20	и что	4	9
21	то же	5	9
22	уже не	2	9
23	ни в	2	8
24	не в	2	8
25	в себе	4	8
26	не только	8	8
27	и ее	2	8
28	и это	2	8
29	что в	4	7
30	не просто	2	7
31	что он	6	7
32	как и	5	7
33	и его	6	7
34	перед нами	2	6
35	так что	2	6
36	же время	6	6
37	и даже	4	6
38	в то	5	6
39	что и	2	6
40	я не	4	5
41	так и	5	5
42	в своем	3	5
43	как же	2	5
44	в нем	4	5
45	что она	2	5
46	и на	7	5
47	о том	2	5
48	с его	2	5
49	что я	4	5
50	что все	2	4
51	и как	3	4
52	но это	4	4
53	в этой	4	4
54	один из	3	4
55	но и	4	4
56	так же	4	4
57	и с	7	4
58	в одном	2	4
59	с тем	2	4
60	отнюдь не	3	4
61	еще не	4	4
62	в его	3	4
63	тем самым	3	3
64	к жизни	5	3
65	все эти	3	3
66	с ним	3	3
67	но в	6	3
68	об этом	4	3
69	только о	2	3
70	говорит о	2	3
71	от всего	2	3
72	бы и	2	3
73	как в	3	3
74	в данном	2	3
75	и то	2	3
76	в виде	2	3
77	не могут	2	2
78	она должна	2	2
79	в частности	2	2
80	точно так	2	2
81	вопрос о	2	2
82	но все	2	2
83	что с	3	2
84	при этом	3	2
85	мог бы	3	2
86	в самом	2	2
87	никогда не	2	2
88	у достоевского	5	2
89	то и	2	2
90	не мог	2	2
91	должно быть	3	2
92	а что	2	2
93	он всегда	4	2
94	как это	3	2
95	но они	2	2
96	а как	2	2
97	в ее	2	2
98	все же	5	2
99	никто не	3	2
100	жизнь и	3	2
101	что этот	2	2
102	тем что	2	2
103	как будто	3	2
104	отличие от	2	2
