N	3gram	Vinokur_St_1	EvropaiC
1	в том что	17	16
2	до сих пор	7	12
3	по отношению к	3	10
4	с точки зрения	8	8
5	на то что	4	7
6	на самом деле	6	7
7	для того чтобы	10	6
8	в самом деле	5	5
9	не может быть	5	4
10	в этой области	5	4
11	о том что	11	4
12	может быть и	2	4
13	тем не менее	2	4
14	с другой стороны	6	4
15	в этом случае	2	4
16	в данном случае	6	3
17	так же как	3	3
18	и то что	2	3
19	заключается в том	3	3
20	так или иначе	2	3
21	то что у	2	2
22	в то же	4	2
23	и в том	2	2
24	что же касается	3	2
25	то же время	4	2
26	с одной стороны	2	2
27	как и в	2	2
28	во всяком случае	6	2
29	но все же	3	2
30	ничего общего с	3	2
