N	2gram	Tiupa_Lite_1	Hudozhes
1	том что	14	16
2	и в	8	14
3	так и	4	13
4	а не	16	12
5	в том	16	12
6	не только	24	12
7	при этом	19	12
8	о том	2	12
9	прежде всего	11	11
10	в этом	12	11
11	в себе	7	11
12	для него	2	10
13	в своей	4	10
14	у него	3	9
15	что он	5	9
16	как и	6	9
17	в качестве	17	9
18	то же	5	9
19	как в	5	8
20	то что	10	8
21	же время	5	8
22	отношению к	2	8
23	по отношению	3	8
24	между тем	2	8
25	в этой	4	8
26	в то	5	8
27	в его	7	8
28	с собачкой	2	8
29	казалось бы	5	7
30	это не	4	7
31	к тому	2	7
32	уже не	7	7
33	не в	8	7
34	еще не	4	7
35	своего рода	11	7
36	как бы	7	7
37	не может	5	7
38	а в	3	7
39	не случайно	2	7
40	тогда как	13	7
41	никогда не	4	6
42	что в	3	6
43	читателя в	2	6
44	было бы	2	6
45	как правило	2	6
46	не менее	7	5
47	с его	5	5
48	в частности	15	5
49	к себе	3	5
50	может быть	13	5
51	только в	8	5
52	но и	17	5
53	жизни и	3	5
54	самом деле	2	5
55	друг друга	4	5
56	и его	4	5
57	можно было	2	5
58	потому что	3	5
59	точки зрения	6	5
60	но в	3	5
61	связи с	6	4
62	в своем	11	4
63	столь же	4	4
64	та же	2	4
65	а только	2	4
66	тем не	2	4
67	несмотря на	3	4
68	в самом	3	4
69	один из	3	4
70	себя в	6	4
71	из них	4	4
72	как раз	4	4
73	не было	3	4
74	художественного целого	2	4
75	уединенного сознания	50	4
76	того что	6	4
77	дамы с	2	4
78	человеческого я	3	4
79	по своей	3	4
80	как будто	2	4
81	в русской	10	4
82	в конце	4	4
83	всего лишь	4	4
84	но не	4	3
85	но одновременно	2	3
86	отнюдь не	2	3
87	превращается в	2	3
88	же в	5	3
89	в мире	2	3
90	на этом	2	3
91	в пределах	3	3
92	своего времени	2	3
93	такого рода	10	3
94	по преимуществу	4	3
95	несет в	2	3
96	еще в	4	3
97	даже в	2	3
98	для себя	5	3
99	в нем	2	3
100	русской литературе	5	3
101	все же	4	3
102	со стороны	4	3
103	в тексте	8	3
104	приводит к	3	3
105	то и	2	3
106	в связи	4	3
107	этом отношении	2	3
108	все эти	2	3
109	лишь в	4	3
110	и даже	3	3
111	друг для	2	3
112	с точки	2	3
113	в своих	4	3
114	для друга	2	3
115	тем что	2	3
116	в равной	2	3
117	его в	3	3
118	а также	5	3
119	в рамках	6	2
120	как все	2	2
121	жизни на	2	2
122	художественности как	3	2
123	так или	8	2
124	однако в	2	2
125	конечном счете	4	2
126	и м	2	2
127	не столько	5	2
128	в себя	2	2
129	художественного письма	9	2
130	личность не	2	2
131	в конечном	5	2
132	наш взгляд	5	2
133	состоит в	11	2
134	да и	3	2
135	или иную	2	2
136	в другом	2	2
137	одна из	3	2
138	по выражению	2	2
139	в целом	8	2
140	внутреннего я	2	2
141	ту или	2	2
142	например в	3	2
143	только на	2	2
144	литературе в	3	2
145	для нее	2	2
146	произведения с	2	2
147	как он	2	2
148	на том	2	2
149	в е	2	2
150	в их	3	2
151	для своего	2	2
152	мышления и	2	2
153	и не	12	2
154	при всей	3	2
155	от себя	2	2
156	на наш	5	2
157	что не	2	2
158	бы на	2	2
159	своей собственной	2	2
160	той же	3	2
161	или иначе	9	2
162	с этой	5	2
163	что я	2	2
164	отказ от	7	2
165	с позиции	2	2
166	его я	2	2
167	в художественном	4	2
168	нет ничего	2	2
169	которая не	2	2
170	я и	7	2
