N	2gram	Bakhtin_fo_1	Hudozhes
1	и в	50	28
2	том что	4	19
3	в ее	6	18
4	и не	14	18
5	в том	9	15
6	а не	3	14
7	не в	5	13
8	в этом	25	13
9	как и	8	11
10	при этом	3	11
11	в его	13	11
12	не только	9	11
13	уже не	2	10
14	но и	8	9
15	в себе	3	9
16	в жизни	6	8
17	может быть	11	8
18	так и	12	8
19	жизни в	8	7
20	и все	6	7
21	к тому	3	7
22	об этом	2	7
23	в частности	6	7
24	отношению к	5	7
25	по отношению	3	7
26	с ним	2	7
27	это не	6	6
28	в котором	4	6
29	то что	6	6
30	жизни и	8	6
31	в своей	2	6
32	человеческой жизни	6	6
33	если бы	5	6
34	то же	11	6
35	не было	7	6
36	а в	3	6
37	и с	4	6
38	тем что	2	6
39	для себя	7	6
40	в то	9	6
41	с его	9	5
42	и другие	5	5
43	у него	6	5
44	в своем	4	5
45	как бы	2	5
46	как в	6	5
47	да и	3	5
48	с ее	6	5
49	что в	5	5
50	в самом	8	5
51	наряду с	5	5
52	никогда не	2	5
53	его жизни	8	5
54	только на	3	5
55	и его	16	5
56	рядом с	2	5
57	одно из	3	5
58	для него	2	5
59	ничего не	9	5
60	чужой жизни	3	5
61	своей жизни	4	4
62	но не	5	4
63	в качестве	3	4
64	же время	9	4
65	для того	5	4
66	он не	5	4
67	что и	3	4
68	и уже	3	4
69	и т	8	4
70	как раз	13	4
71	не может	6	4
72	человека в	17	4
73	того чтобы	5	4
74	только в	4	4
75	в других	9	4
76	человек в	3	3
77	была бы	2	3
78	в них	4	3
79	характерно что	4	3
80	с другой	2	3
81	в одном	3	3
82	человека и	11	3
83	к себе	4	3
84	что все	2	3
85	прежде всего	15	3
86	что было	3	3
87	в нем	24	3
88	и ее	3	3
89	для нас	2	3
90	в соответствии	2	3
91	и тех	2	3
92	еще не	5	3
93	одной стороны	2	3
94	было бы	2	3
95	в это	2	3
96	этого произведения	2	3
97	одной из	3	3
98	раз в	4	3
99	по преимуществу	3	3
100	в ней	4	3
101	мы уже	11	3
102	в этих	3	3
103	все это	4	3
104	на фоне	3	3
105	с одной	3	3
106	так же	6	3
107	или в	3	3
108	с другими	3	3
109	для других	4	3
110	и на	8	3
111	соответствии с	2	3
112	на себя	2	3
113	как он	2	3
114	и это	4	3
115	героя и	7	3
116	все его	3	3
117	в основе	5	2
118	жизни не	3	2
119	место в	2	2
120	автора и	2	2
121	жизни на	2	2
122	себя и	3	2
123	отнюдь не	5	2
124	его и	2	2
125	именно в	3	2
126	не как	2	2
127	другой день	2	2
128	вовсе не	13	2
129	а как	3	2
130	или иной	2	2
131	как мы	14	2
132	в строгом	2	2
133	тому же	2	2
134	они были	2	2
135	ее по	2	2
136	же как	2	2
137	одна из	2	2
138	на другой	2	2
139	со своей	3	2
140	что не	3	2
141	и к	2	2
142	жизни то	2	2
143	же и	2	2
144	к ней	2	2
145	а также	2	2
146	до сих	3	2
147	не является	2	2
148	один из	3	2
149	в нашем	2	2
150	оно не	2	2
151	все же	6	2
152	отношение к	2	2
153	ни с	2	2
154	вместе с	3	2
155	сих пор	3	2
156	здесь не	4	2
157	т п	8	2
158	еще и	2	2
159	те же	2	2
160	жизнь в	2	2
161	лишь в	6	2
162	во втором	2	2
163	и у	5	2
164	и эта	2	2
165	между ними	3	2
166	хотя бы	2	2
167	и для	4	2
168	с точки	2	2
169	той же	2	2
170	роль в	9	2
171	характер и	7	2
172	в данном	2	2
173	и то	4	2
174	сказать что	3	2
175	потому что	4	2
176	личности и	2	2
177	точки зрения	5	2
178	самим собою	3	2
179	с самим	5	2
180	с мотивом	3	2
181	его в	3	2
182	нет ничего	4	2
183	не зная	2	2
184	но в	10	2
