N	2gram	Voloshinov_1	UchenyiS
1	и в	12	14
2	а не	5	10
3	не только	4	10
4	и не	10	8
5	прежде всего	8	8
6	то что	5	7
7	в этом	4	7
8	не может	16	7
9	может быть	14	6
10	в художественном	3	5
11	хотя бы	5	5
12	художественное произведение	3	5
13	художественного творчества	3	5
14	перестает быть	2	5
15	все это	3	5
16	то же	5	5
17	но и	3	4
18	конечно не	3	4
19	с другой	4	4
20	но в	5	3
21	как и	5	3
22	и то	2	3
23	все же	4	3
24	истории литературы	2	3
25	в своей	3	3
26	бы то	3	3
27	то ни	3	3
28	другой стороны	2	3
29	для него	3	3
30	это не	2	3
31	в то	2	3
32	ни было	4	3
33	но конечно	2	2
34	форму и	2	2
35	том что	5	2
36	но не	2	2
37	в том	6	2
38	художественной формы	5	2
39	художественного произведения	7	2
40	мы не	3	2
41	с его	2	2
42	не есть	2	2
43	не в	4	2
44	и для	3	2
45	но это	2	2
46	должна быть	5	2
47	если бы	9	2
48	литературы и	4	2
49	только в	6	2
50	и с	3	2
51	теоретической поэтики	3	2
52	сих пор	3	2
53	материала и	4	2
54	могут быть	2	2
55	все они	2	2
56	в себе	3	2
57	до сих	3	2
58	формы и	3	2
59	что мы	5	2
60	же самое	2	2
61	в самом	4	2
62	по себе	3	2
63	в некоторых	3	2
64	ничего не	2	2
65	самом деле	3	2
66	и является	4	2
67	что и	2	2
68	в его	2	2
69	между тем	3	2
70	таким образом	12	2
71	художественном произведении	3	2
