N	2gram	Trubetskoy_1	Hudozhes
1	том что	19	16
2	и в	23	14
3	так и	10	13
4	в том	30	12
5	не только	7	12
6	при этом	9	12
7	о том	7	12
8	прежде всего	3	11
9	в этом	12	11
10	в себе	5	11
11	для него	2	10
12	у него	5	9
13	что он	7	9
14	как и	9	9
15	то же	4	9
16	то что	18	8
17	же время	2	8
18	отношению к	9	8
19	по отношению	9	8
20	между тем	12	8
21	в этой	6	8
22	в то	6	8
23	в его	5	8
24	это не	3	7
25	к тому	8	7
26	не в	8	7
27	еще не	5	7
28	как бы	10	7
29	не может	17	7
30	именно в	5	7
31	а в	3	7
32	тогда как	6	7
33	никогда не	4	6
34	что в	8	6
35	было бы	3	6
36	в глазах	2	6
37	не менее	7	5
38	в частности	2	5
39	в этих	3	5
40	может быть	16	5
41	только в	6	5
42	но и	9	5
43	жизни и	2	5
44	самом деле	12	5
45	друг друга	2	5
46	потому что	9	5
47	точки зрения	13	5
48	но в	4	5
49	связи с	4	4
50	тому что	2	4
51	в своем	10	4
52	столь же	5	4
53	та же	3	4
54	и от	5	4
55	и все	7	4
56	на то	9	4
57	и к	5	4
58	тем не	4	4
59	то в	2	4
60	она не	2	4
61	несмотря на	6	4
62	мы уже	4	4
63	в самом	8	4
64	в ней	3	4
65	из них	5	4
66	не было	2	4
67	того что	6	4
68	только что	3	4
69	он не	3	4
70	по своей	7	4
71	как будто	5	4
72	в конце	4	4
73	и это	3	4
74	с ним	6	4
75	и с	5	4
76	но не	2	3
77	если бы	8	3
78	отнюдь не	2	3
79	что у	2	3
80	с этим	11	3
81	в мире	6	3
82	как мы	2	3
83	говорить о	2	3
84	от него	3	3
85	на этом	2	3
86	по своему	5	3
87	что при	6	3
88	даже в	3	3
89	для себя	2	3
90	в нем	3	3
91	все же	13	3
92	то и	2	3
93	в связи	3	3
94	и для	6	3
95	все эти	19	3
96	лишь в	5	3
97	того чтобы	8	3
98	с точки	8	3
99	и по	3	3
100	в таком	4	3
101	в своих	2	3
102	ничем не	4	3
103	такой же	2	3
104	и на	6	3
105	как к	5	3
106	его в	5	3
107	тех кто	5	2
108	себя и	2	2
109	так или	5	2
110	на вопрос	4	2
111	и так	2	2
112	и потому	3	2
113	в себя	2	2
114	ясно что	8	2
115	вопрос о	3	2
116	в такой	4	2
117	совершенно иной	2	2
118	мы знаем	10	2
119	так что	5	2
120	в другом	2	2
121	же как	3	2
122	одна из	2	2
123	и что	8	2
124	в целом	5	2
125	ближе к	3	2
126	на себе	2	2
127	в начале	2	2
128	хотя и	4	2
129	каждого человека	2	2
130	на том	2	2
131	сих пор	8	2
132	на него	2	2
133	что же	2	2
134	в их	4	2
135	все это	11	2
136	заключает в	2	2
137	а и	8	2
138	а с	4	2
139	не знает	2	2
140	иначе говоря	4	2
141	и не	8	2
142	но с	2	2
143	на самом	7	2
144	же касается	2	2
145	от себя	2	2
146	они не	2	2
147	должно быть	4	2
148	или иначе	5	2
149	с ними	2	2
150	с этой	3	2
151	в результате	9	2
152	с ее	2	2
153	о котором	7	2
154	но как	2	2
155	же мало	2	2
156	и поэтому	2	2
157	до сих	8	2
