N	2gram	Berdyaev_V_1	Istorich
1	и в	16	25
2	что он	4	22
3	и т	2	20
4	т д	2	18
5	не только	2	13
6	но и	5	13
7	в его	4	12
8	и не	20	11
9	уже не	2	11
10	так как	9	11
11	в этом	4	10
12	тем что	2	10
13	с тем	2	8
14	что в	3	8
15	том что	2	8
16	еще не	8	8
17	все эти	3	8
18	и что	3	8
19	тот кто	2	7
20	как и	4	7
21	но это	3	7
22	то что	9	7
23	в нем	4	7
24	превращается в	3	7
25	потому что	4	7
26	только в	2	7
27	в этих	3	6
28	это не	2	6
29	прежде всего	2	6
30	что и	3	6
31	не в	3	6
32	могут быть	2	6
33	в том	3	6
34	в образе	4	5
35	для нас	2	5
36	но не	2	5
37	в ней	4	5
38	мы не	2	5
39	если не	3	4
40	что все	4	4
41	все это	5	4
42	в истории	8	4
43	от этого	3	4
44	за ним	3	4
45	и это	2	4
46	с ним	2	4
47	никогда не	3	3
48	и все	4	3
49	ее и	2	3
50	всех людей	3	3
51	в себя	2	3
52	того чтобы	2	3
53	на том	2	3
54	на себя	5	3
55	но мы	2	3
56	то это	3	3
57	в форме	2	3
58	его не	2	3
59	а в	2	3
60	его к	2	3
61	их в	3	3
62	что от	2	2
63	его и	2	2
64	что во	3	2
65	человека и	6	2
66	мы и	2	2
67	по которым	2	2
68	одна из	2	2
69	и сам	2	2
70	жизни и	3	2
71	и мы	3	2
72	как бы	5	2
73	и потому	7	2
74	один из	2	2
75	в своей	3	2
76	во всех	3	2
77	ее в	2	2
78	и для	3	2
79	и они	3	2
80	а не	7	2
81	того что	5	2
82	что мы	4	2
83	превращаются в	2	2
