N	2gram	Propp_Isto_5	Poddanst
1	не только	13	17
2	и в	25	14
3	и не	11	12
4	в этом	10	10
5	то же	4	9
6	в том	6	9
7	в качестве	7	9
8	в пределах	4	8
9	в то	3	7
10	только в	7	7
11	но и	13	6
12	в ней	5	6
13	с другой	9	5
14	не в	6	5
15	в которых	3	5
16	и пр	3	5
17	может быть	17	5
18	же в	2	4
19	то что	7	4
20	что в	8	4
21	если бы	2	4
22	не может	6	4
23	по себе	2	4
24	а в	3	4
25	том что	8	4
26	мы должны	4	4
27	в русской	3	4
28	как бы	2	4
29	и потому	2	4
30	в нем	7	3
31	и т	20	3
32	с тем	8	3
33	это не	6	3
34	с одной	7	3
35	т е	16	3
36	прежде всего	6	3
37	для того	3	3
38	мы не	5	3
39	и как	3	3
40	но не	5	3
41	могут быть	6	3
42	точки зрения	2	3
43	что мы	2	3
44	одной стороны	7	3
45	наряду с	4	3
46	ей в	3	3
47	потому что	7	3
48	не менее	4	2
49	и тем	4	2
50	во всех	2	2
51	в частности	7	2
52	время в	2	2
53	не будем	5	2
54	со стороны	2	2
55	все это	4	2
56	с этим	5	2
57	и других	2	2
58	а не	2	2
59	того что	2	2
60	в которую	2	2
61	для нас	5	2
62	в ее	4	2
63	если в	3	2
64	одна из	2	2
65	в виде	9	2
66	в европе	3	2
67	из них	2	2
68	и мы	2	2
69	например в	5	2
70	и это	4	2
71	в его	12	2
72	и с	3	2
