N	2gram	Bakhtin_fo_1	Psycholo
1	в том	9	37
2	и в	50	32
3	том что	4	21
4	то что	6	21
5	таким образом	11	21
6	потому что	4	21
7	то есть	33	21
8	что в	5	20
9	так же	6	18
10	может быть	11	18
11	что и	3	17
12	не может	6	17
13	точки зрения	5	17
14	того чтобы	5	14
15	при этом	3	13
16	то же	11	13
17	для того	5	13
18	в этом	25	13
19	по себе	2	12
20	если мы	2	12
21	в самом	8	12
22	не только	9	12
23	так как	6	12
24	с тем	3	11
25	было бы	2	11
26	в основе	5	11
27	как и	8	10
28	и т	8	10
29	но и	8	10
30	и не	14	10
31	с точки	2	10
32	никогда не	2	9
33	что все	2	9
34	как в	6	9
35	тем что	2	9
36	не в	5	8
37	т п	8	8
38	той же	2	8
39	того что	2	8
40	к тому	3	7
41	ясно что	2	7
42	и как	10	7
43	а не	3	7
44	в сущности	3	7
45	все эти	9	7
46	и его	16	7
47	сказать что	3	7
48	только в	4	7
49	он не	5	6
50	как бы	2	6
51	те же	2	6
52	формы и	3	6
53	если бы	5	6
54	отнюдь не	5	5
55	в ней	4	5
56	далеко не	2	5
57	до сих	3	5
58	сих пор	3	5
59	все это	4	5
60	как раз	13	5
61	этом отношении	3	5
62	только на	3	5
63	и даже	2	5
64	есть только	2	5
65	и на	8	5
66	в то	9	5
67	же как	2	4
68	в жизни	6	4
69	есть не	3	4
70	в чем	2	4
71	совершенно не	2	4
72	и по	2	4
73	в нем	24	4
74	все же	6	4
75	жизни и	8	4
76	наряду с	5	4
77	и до	5	4
78	а в	3	4
79	и все	6	4
80	мы видим	3	4
81	не имеет	4	4
82	и для	4	4
83	и те	3	4
84	в данном	2	4
85	и с	4	4
86	могут быть	5	4
87	с этим	6	4
88	в целом	2	4
89	ту же	2	4
90	и это	4	4
91	ничего не	9	4
92	как она	2	4
93	не могут	3	3
94	процесс в	2	3
95	в частности	6	3
96	но он	2	3
97	хотя бы	2	3
98	с другой	2	3
99	не как	2	3
100	само собой	2	3
101	в конце	9	3
102	и к	2	3
103	а только	2	3
104	по существу	12	3
105	об этом	2	3
106	до конца	4	3
107	в свою	2	3
108	например в	6	3
109	в своей	2	3
110	один из	3	3
111	с ее	6	3
112	так и	12	3
113	не к	2	3
114	во всех	6	3
115	и их	8	3
116	и ее	3	3
117	в их	6	3
118	в отношении	3	3
119	еще более	3	3
120	и других	3	3
121	время как	5	3
122	что не	3	3
123	жизнь и	4	3
124	то время	4	3
125	в каком	2	3
126	в которых	2	3
127	по самому	2	3
128	и то	4	3
129	во всем	2	3
130	мы должны	2	3
131	тогда когда	2	3
132	но в	10	3
133	мы не	3	3
134	в виду	3	3
135	место в	2	2
136	с его	9	2
137	же что	2	2
138	мы будем	2	2
139	понятно что	4	2
140	в них	4	2
141	сравнению с	2	2
142	это не	6	2
143	это то	2	2
144	одного и	5	2
145	с другими	3	2
146	в одном	3	2
147	была бы	2	2
148	но эта	3	2
149	во всяком	3	2
150	ни в	8	2
151	в романе	32	2
152	же время	9	2
153	его от	2	2
154	еще не	5	2
155	но не	5	2
156	на другой	2	2
157	в глаза	2	2
158	того же	8	2
159	по сравнению	2	2
160	с этими	2	2
161	вовсе не	13	2
162	не имеют	3	2
163	превращение в	2	2
164	к ним	2	2
165	том же	2	2
166	и следовательно	4	2
167	в его	13	2
168	в ее	6	2
169	оно не	2	2
170	как он	2	2
171	его жизни	8	2
172	в этих	3	2
173	отношение к	2	2
174	для нас	2	2
175	в процессе	4	2
176	вместе с	3	2
177	значение в	5	2
178	значение и	3	2
179	себе и	3	2
180	в особенности	9	2
181	не было	7	2
182	роль в	9	2
183	мы находим	2	2
184	к своему	2	2
185	в самой	2	2
186	и у	5	2
187	в других	9	2
188	отличие от	2	2
189	у них	2	2
190	в таком	3	2
191	также и	2	2
192	их в	3	2
193	сами же	2	2
194	в себе	3	2
195	того и	2	2
196	и вообще	2	2
197	романе в	2	2
198	там где	2	2
199	эта форма	2	2
200	в которой	2	2
201	того не	2	2
