N	2gram	Bakhtin_fo_1	Analitik
1	в качестве	3	31
2	может быть	11	29
3	в том	9	27
4	не может	6	22
5	и не	14	21
6	в частности	6	19
7	и в	50	18
8	а не	3	17
9	но и	8	17
10	отнюдь не	5	15
11	не только	9	15
12	не в	5	14
13	как и	8	13
14	в его	13	13
15	в этом	25	13
16	том что	4	12
17	при этом	3	12
18	в себе	3	11
19	то есть	33	11
20	но не	5	10
21	то же	11	9
22	а в	3	9
23	в то	9	9
24	есть не	3	8
25	в той	4	8
26	но в	10	8
27	к тому	3	7
28	времени и	10	6
29	это не	6	6
30	прежде всего	15	6
31	или иной	2	6
32	же время	9	6
33	в самом	8	6
34	в сущности	3	6
35	той или	2	6
36	далеко не	2	6
37	то что	6	6
38	в своей	2	6
39	в отличие	2	6
40	отличие от	2	6
41	по отношению	3	6
42	в основе	5	6
43	точки зрения	5	6
44	только в	4	6
45	и того	6	5
46	и как	10	5
47	что в	5	5
48	имеет место	3	5
49	как бы	2	5
50	отношению к	5	5
51	в целом	2	5
52	в их	6	5
53	и т.п	4	5
54	лишь в	6	5
55	и его	16	5
56	и на	8	5
57	того что	2	4
58	могут быть	5	4
59	себя и	3	4
60	с другой	2	4
61	по себе	2	4
62	в литературе	16	4
63	ни в	8	4
64	тому же	2	4
65	в широком	2	4
66	того же	8	4
67	для того	5	4
68	все же	6	4
69	вместе с	3	4
70	так и	12	4
71	во времени	3	4
72	именно в	3	4
73	уже не	2	4
74	с точки	2	4
75	с другими	3	4
76	с ним	2	4
77	место в	2	3
78	том числе	4	3
79	не могут	3	3
80	с его	9	3
81	вступает в	2	3
82	человек в	3	3
83	в нашем	2	3
84	вследствие этого	3	3
85	хотя бы	2	3
86	и все	6	3
87	в нем	24	3
88	и к	2	3
89	и т	8	3
90	еще не	5	3
91	одной стороны	2	3
92	что не	3	3
93	никто не	2	3
94	он не	5	3
95	в котором	4	3
96	что и	3	3
97	ни с	2	3
98	таким образом	11	3
99	с одной	3	3
100	по природе	2	3
101	того чтобы	5	3
102	в таком	3	3
103	автора и	2	3
104	между двумя	6	3
105	т п	8	3
106	того и	2	3
107	более того	3	3
108	что мы	2	3
109	разного рода	2	3
110	как он	2	3
111	подхода к	3	3
112	а также	2	3
113	если бы	5	3
114	встречи с	2	2
115	и то	4	2
116	не являются	2	2
117	на фоне	3	2
118	никогда не	2	2
119	все эти	9	2
120	его и	2	2
121	между собой	4	2
122	не является	2	2
123	тогда когда	2	2
124	была бы	2	2
125	вовсе не	13	2
126	вопрос о	2	2
127	а как	3	2
128	неотделимо от	2	2
129	в начале	3	2
130	и потому	3	2
131	соответствии с	2	2
132	отношение к	2	2
133	для него	2	2
134	в пределах	5	2
135	или не	2	2
136	было бы	2	2
137	не о	2	2
138	и является	2	2
139	нет и	2	2
140	природе своей	2	2
141	широком смысле	2	2
142	один из	3	2
143	не к	2	2
144	в процессе	4	2
145	и до	5	2
146	здесь не	4	2
147	отношения к	3	2
148	той же	2	2
149	этом отношении	3	2
150	и по	2	2
151	роль в	9	2
152	как мы	14	2
153	на основе	2	2
154	на себя	2	2
155	самим собой	2	2
156	также и	2	2
157	в присутствии	4	2
158	для себя	7	2
159	в данном	2	2
160	одного и	5	2
161	романа в	5	2
162	жизни но	5	2
163	нет ничего	4	2
164	так как	6	2
165	потому что	4	2
166	в которой	2	2
167	и с	4	2
168	мире и	2	2
169	мира в	3	2
