N	2gram	Propp_Morf_1	Analitik
1	тогда как	2	19
2	в этом	14	18
3	в частности	2	16
4	и в	13	16
5	не только	4	16
6	так и	6	15
7	как и	3	14
8	в том	6	12
9	но и	4	12
10	и не	12	12
11	том что	4	12
12	в качестве	5	11
13	могут быть	16	10
14	как бы	3	10
15	а не	11	10
16	в пределах	3	9
17	в этой	2	9
18	ничего не	4	9
19	состоит в	2	8
20	в целом	3	8
21	представляет собой	17	8
22	к тому	4	7
23	то что	8	7
24	о том	2	7
25	а также	4	7
26	с другой	8	6
27	говорить о	3	6
28	может быть	52	6
29	как это	3	6
30	но в	2	6
31	и к	4	5
32	не менее	5	4
33	в поле	4	4
34	можно сказать	2	4
35	в ходе	4	4
36	этом случае	8	4
37	уже не	2	4
38	не в	3	4
39	но не	4	4
40	в сущности	3	4
41	в один	3	4
42	и тем	2	4
43	не с	2	4
44	отношению к	4	4
45	во всех	4	4
46	как в	3	4
47	по отношению	4	4
48	не может	14	4
49	на этом	3	4
50	то же	7	4
51	хотя и	3	4
52	точки зрения	2	4
53	только в	2	4
54	в нашем	3	3
55	прежде всего	9	3
56	как уже	2	3
57	тем не	5	3
58	со смертью	2	3
59	было бы	3	3
60	несмотря на	4	3
61	мы имеем	9	3
62	на его	4	3
63	и за	2	3
64	или в	4	3
65	что и	7	3
66	из них	3	3
67	со стороны	3	3
68	приводит к	2	3
69	если бы	2	3
70	можно было	2	3
71	а в	7	3
72	как мы	6	3
73	тому как	5	3
74	в результате	7	3
75	тем что	4	3
76	подобно тому	6	3
77	как будто	2	3
78	того что	3	2
79	обоих случаях	2	2
80	можно отметить	2	2
81	к этому	3	2
82	вовсе не	4	2
83	на то	2	2
84	связывается с	2	2
85	а затем	4	2
86	по существу	12	2
87	из его	2	2
88	также может	2	2
89	а то	3	2
90	что в	8	2
91	так например	3	2
92	она не	2	2
93	еще не	3	2
94	в обоих	2	2
95	в таких	2	2
96	один из	5	2
97	это было	3	2
98	и их	2	2
99	дело не	2	2
100	на него	3	2
101	что она	2	2
102	вслед за	5	2
103	другой стороны	4	2
104	таким образом	21	2
105	на котором	3	2
106	т е	21	2
107	и наоборот	4	2
108	узнает о	3	2
109	этих случаях	11	2
110	не имеет	2	2
111	и для	2	2
112	с точки	2	2
113	так же	3	2
114	между тем	5	2
115	он не	3	2
116	в то	3	2
117	его в	2	2
118	представляют собой	11	2
119	в этих	13	2
120	собой в	2	2
121	сказать что	2	2
