N	2gram	Berdyaev_V_1	FransuaR
1	и в	16	41
2	во всех	3	17
3	в нем	4	16
4	но и	5	13
5	в этом	4	12
6	все это	5	11
7	все эти	3	11
8	прежде всего	2	10
9	не только	2	10
10	так как	9	10
11	то что	9	10
12	и все	4	9
13	никогда не	3	8
14	но в	3	8
15	в них	3	7
16	том что	2	7
17	как бы	5	7
18	как и	4	7
19	что в	3	7
20	в его	4	7
21	в образе	4	6
22	что он	4	6
23	один из	2	6
24	с его	3	5
25	так и	4	5
26	и что	3	5
27	тем что	2	5
28	не в	3	4
29	все что	4	4
30	тот же	3	4
31	в ней	4	4
32	в котором	4	4
33	того чтобы	2	4
34	земли и	2	4
35	а в	2	4
36	с ним	2	4
37	до того	2	3
38	в духе	2	3
39	но это	3	3
40	они и	2	3
41	и сам	2	3
42	вместо того	2	3
43	конечно не	2	3
44	людей в	3	3
45	жизни и	3	3
46	и для	3	3
47	и не	20	3
48	того что	5	3
49	что не	4	3
50	людей и	2	3
51	только в	2	3
52	в чем	3	3
53	потому что	4	3
54	что их	2	2
55	не могут	2	2
56	в земной	2	2
57	и вечно	2	2
58	в этих	3	2
59	превращается в	3	2
60	и во	2	2
61	в конце	3	2
62	человека и	6	2
63	что все	4	2
64	для нас	2	2
65	в том	3	2
66	что они	7	2
67	от него	2	2
68	но не	2	2
69	должна быть	3	2
70	в своей	3	2
71	хотя и	5	2
72	и потому	7	2
73	в форме	2	2
74	это все	2	2
75	в истории	8	2
76	лишь в	3	2
77	а не	7	2
78	мы не	2	2
79	и то	2	2
80	их в	3	2
81	между тем	2	2
82	говорить о	4	2
83	что мы	4	2
84	мира в	2	2
