N	2gram	Tiupa_Lite_1	Myshleni
1	в том	16	28
2	и в	8	28
3	то что	10	28
4	в этом	12	27
5	того что	6	24
6	потому что	3	22
7	не может	5	19
8	том что	14	19
9	таким образом	3	18
10	что он	5	18
11	только в	8	18
12	что в	3	17
13	в силу	4	17
14	не только	24	16
15	может быть	13	13
16	точки зрения	6	13
17	в сфере	3	12
18	и не	12	11
19	как бы	7	11
20	к тому	2	10
21	но и	17	10
22	по отношению	3	10
23	но не	4	10
24	отношению к	2	10
25	с точки	2	10
26	было бы	2	9
27	никогда не	4	8
28	в самом	3	8
29	еще не	4	8
30	тем самым	5	8
31	тем что	2	8
32	того же	2	7
33	в нем	2	7
34	в сущности	2	7
35	в своем	11	7
36	мышления и	2	7
37	то же	5	7
38	можно было	2	7
39	для него	2	6
40	в то	5	6
41	его в	3	6
42	как и	6	6
43	так и	4	6
44	приводит к	3	6
45	как раз	4	6
46	в области	3	6
47	это не	4	5
48	в пределах	3	5
49	и тем	4	5
50	но в	3	5
51	том же	3	5
52	из того	2	5
53	могут быть	2	5
54	в этой	4	5
55	я не	7	4
56	в частности	15	4
57	не в	8	4
58	отношения между	2	4
59	на этом	2	4
60	например в	3	4
61	друг друга	4	4
62	в сознании	2	4
63	в качестве	17	4
64	относится к	2	4
65	и того	2	4
66	той же	3	4
67	и то	2	4
68	в себе	7	4
69	из этих	2	3
70	как это	8	3
71	в нашей	2	3
72	при этом	19	3
73	в целом	8	3
74	в их	3	3
75	и только	2	3
76	этом отношении	2	3
77	во втором	2	3
78	в сферу	2	3
79	в своих	4	3
80	в основе	3	3
81	нуждается в	3	3
82	по своей	3	3
83	только то	2	3
84	с его	5	3
85	для всей	2	3
86	в случае	4	3
87	связи с	6	3
88	один из	3	3
89	в его	7	3
90	как в	5	3
91	в себя	2	3
92	а не	16	3
93	что такое	2	3
94	и его	4	3
95	представляет собой	4	3
96	ту же	2	3
97	не менее	7	2
98	казалось бы	5	2
99	все более	2	2
100	для этого	4	2
101	с другой	3	2
102	с этой	5	2
103	в конце	4	2
104	в любом	2	2
105	прежде всего	11	2
106	новых и	2	2
107	а только	2	2
108	самом деле	2	2
109	несмотря на	3	2
110	одним из	5	2
111	и является	2	2
112	и др	3	2
113	исходит из	3	2
114	из них	4	2
115	в связи	4	2
116	все эти	2	2
117	на том	2	2
118	состоит в	11	2
119	у него	3	2
120	раз и	2	2
121	различие между	2	2
122	в своей	4	2
123	еще в	4	2
124	не могло	2	2
125	все же	4	2
126	только на	2	2
127	не на	2	2
128	а в	3	2
129	в данном	5	2
130	оказывается не	2	2
131	что я	2	2
132	в другом	2	2
133	к общему	2	2
134	в уме	4	2
