N	2gram	Vygotskiy__1	KulturaY
1	и т	26	39
2	потому что	10	25
3	т п	16	24
4	и в	31	23
5	т е	3	22
6	не только	13	20
7	в том	30	19
8	в этом	12	18
9	и не	16	16
10	было бы	6	15
11	так как	18	15
12	может быть	22	15
13	т д	8	14
14	точки зрения	15	14
15	если бы	6	12
16	у нас	4	12
17	в самом	11	12
18	том что	16	11
19	того чтобы	7	11
20	в области	11	11
21	но в	3	11
22	в русском	2	10
23	что в	23	10
24	русском языке	2	10
25	по себе	9	10
26	а не	13	10
27	вовсе не	6	9
28	вопрос о	3	9
29	в сущности	10	9
30	то что	32	9
31	самом деле	9	9
32	для того	6	9
33	не может	17	9
34	с другой	5	8
35	прежде всего	4	8
36	не в	11	8
37	в качестве	2	8
38	уже не	2	8
39	и что	8	8
40	с точки	2	8
41	что это	6	7
42	не менее	2	7
43	в силу	3	7
44	все же	5	7
45	но и	2	7
46	другой стороны	5	7
47	и с	2	7
48	слова в	3	6
49	в этой	3	6
50	но не	3	6
51	тем не	2	6
52	то же	5	6
53	между тем	4	6
54	ту же	2	6
55	что мы	8	6
56	не могут	3	5
57	должна быть	3	5
58	что все	3	5
59	этом смысле	2	5
60	ясно что	19	5
61	что он	7	5
62	по существу	4	5
63	тот же	2	5
64	несмотря на	5	5
65	в его	6	5
66	всяком случае	6	5
67	этого слова	4	5
68	один из	4	5
69	и тем	2	5
70	вместе с	8	5
71	что же	2	5
72	приводит к	2	5
73	все это	8	5
74	таким образом	20	5
75	там где	4	5
76	и вот	3	5
77	целый ряд	6	5
78	как это	4	5
79	и то	2	5
80	во всяком	8	5
81	само по	5	5
82	и здесь	2	5
83	только в	14	5
84	зависимости от	6	5
85	мы имеем	4	5
86	можно ли	2	4
87	отнюдь не	6	4
88	в зависимости	5	4
89	в них	2	4
90	к этому	4	4
91	бы и	2	4
92	на то	10	4
93	если мы	12	4
94	к тому	4	4
95	что на	3	4
96	но только	3	4
97	мы знаем	3	4
98	для нас	5	4
99	ни в	9	4
100	что я	4	4
101	от того	3	4
102	хотя и	3	4
103	как бы	5	4
104	в нем	2	4
105	со стороны	4	4
106	так же	12	4
107	в связи	2	4
108	не было	3	4
109	этой области	2	4
110	и о	4	4
111	в результате	4	4
112	сказать что	7	4
113	могут быть	11	4
114	в каком	2	4
115	в то	5	4
116	в конце	3	4
117	ничего не	2	4
118	так и	3	4
119	уже в	3	3
120	или иное	2	3
121	казалось бы	2	3
122	у него	4	3
123	точно так	3	3
124	гораздо более	2	3
125	главным образом	2	3
126	что оно	3	3
127	различие между	4	3
128	а только	2	3
129	это и	3	3
130	но это	3	3
131	того же	2	3
132	до конца	6	3
133	этого вопроса	2	3
134	совершенно не	5	3
135	никак не	4	3
136	он не	3	3
137	что и	13	3
138	в процессе	5	3
139	что она	6	3
140	как в	9	3
141	отличается от	2	3
142	как раз	2	3
143	с этим	3	3
144	то и	2	3
145	этом отношении	2	3
146	те же	4	3
147	как мы	2	3
148	того что	10	3
149	из которых	3	3
150	что такое	2	3
151	и по	3	3
152	то или	2	3
153	а в	6	3
154	и его	7	3
155	конце концов	3	3
156	последнее время	2	3
157	на это	2	3
158	и это	3	3
159	есть в	7	3
160	к этой	2	3
161	в виду	4	3
162	все дело	2	2
163	том случае	2	2
164	есть продукт	2	2
165	же как	4	2
166	с тем	3	2
167	себе не	3	2
168	это в	2	2
169	и есть	5	2
170	в частности	3	2
171	никогда не	8	2
172	смысле этого	2	2
173	состоит в	3	2
174	но даже	2	2
175	что у	3	2
176	с этой	4	2
177	и от	2	2
178	и все	5	2
179	представить себе	3	2
180	не всегда	2	2
181	что они	2	2
182	очень часто	4	2
183	конечном счете	3	2
184	утверждать что	5	2
185	чтобы понять	4	2
186	и потому	2	2
187	только о	2	2
188	с одной	5	2
189	очевидно что	6	2
190	смысле слова	3	2
191	что само	2	2
192	но что	2	2
193	как будто	5	2
194	ли это	2	2
195	она не	5	2
196	на примере	3	2
197	при этом	19	2
198	по поводу	2	2
199	и если	4	2
200	в конечном	3	2
201	и даже	6	2
202	речь идет	3	2
203	был бы	5	2
204	к нему	2	2
205	мы видели	2	2
206	в своей	3	2
207	и следовательно	2	2
208	в своем	3	2
209	в отличие	3	2
210	и для	5	2
211	на самом	2	2
212	как и	16	2
213	этой точки	5	2
214	и сейчас	2	2
215	тем самым	2	2
216	должны быть	3	2
217	и у	4	2
218	тем же	3	2
219	той же	3	2
220	что для	2	2
221	роль в	3	2
222	почти всегда	3	2
223	в которых	3	2
224	нуждается в	3	2
225	в своих	4	2
226	это только	2	2
227	заключается в	7	2
228	будто бы	2	2
229	что эта	3	2
230	тех же	2	2
231	отличие от	4	2
232	не то	2	2
