N	2gram	Vinokur_St_2	Morfolog
1	может быть	2	52
2	и т	9	49
3	т д	6	47
4	и пр	8	40
5	таким образом	10	20
6	не может	2	17
7	т е	10	16
8	в этих	3	16
9	с этим	3	14
10	и в	29	13
11	в этом	21	13
12	действующих лиц	4	13
13	и др	2	12
14	так как	2	12
15	связи с	4	11
16	прежде всего	5	9
17	так и	9	9
18	то же	2	9
19	и не	9	9
20	а не	5	9
21	с другой	4	8
22	а затем	2	8
23	по существу	2	8
24	что и	2	8
25	при помощи	4	8
26	в результате	2	8
27	вопрос о	6	7
28	в тех	2	7
29	в качестве	5	7
30	все же	6	7
31	и здесь	3	6
32	в том	27	6
33	но не	3	6
34	а также	2	6
35	во время	2	6
36	не менее	3	5
37	и другие	2	5
38	в образе	3	5
39	как бы	5	5
40	то что	11	5
41	потому что	9	5
42	что в	19	4
43	и как	2	4
44	раньше чем	4	4
45	вовсе не	6	4
46	об этом	6	4
47	тем не	2	4
48	случае не	2	4
49	было бы	5	4
50	на его	2	4
51	несмотря на	2	4
52	не только	19	4
53	в некоторых	2	4
54	как в	3	4
55	другой стороны	3	4
56	так же	3	4
57	как и	2	4
58	там где	2	4
59	хотя и	4	4
60	тем что	3	4
61	точки зрения	5	4
62	с точки	2	4
63	также и	2	4
64	его в	2	4
65	ничего не	4	4
66	только что	2	3
67	если бы	2	3
68	в начале	3	3
69	в какой	2	3
70	том что	27	3
71	но все	7	3
72	но это	3	3
73	что они	2	3
74	кроме того	4	3
75	того чтобы	6	3
76	он не	9	3
77	не является	3	3
78	ни в	3	3
79	но и	19	3
80	на самом	3	3
81	самом деле	3	3
82	и по	3	3
83	из них	3	3
84	в то	2	3
85	в один	2	3
86	но в	8	3
87	и более	2	2
88	с тем	7	2
89	ниже в	2	2
90	в частности	4	2
91	хотя бы	3	2
92	что эта	3	2
93	к этому	4	2
94	что он	13	2
95	утверждать что	2	2
96	б в	2	2
97	так например	7	2
98	и к	4	2
99	или с	2	2
100	из его	2	2
101	только в	2	2
102	следует еще	2	2
103	для него	4	2
104	одной из	3	2
105	в обоих	3	2
106	оно не	3	2
107	или менее	2	2
108	как например	2	2
109	а с	3	2
110	относятся к	3	2
111	все эти	2	2
112	и что	6	2
113	того что	5	2
114	для того	7	2
115	что такое	2	2
116	тем же	2	2
117	не имеет	2	2
118	и его	6	2
119	по их	2	2
120	в каком	2	2
121	этот вопрос	2	2
122	в другом	4	2
123	о том	17	2
124	сказать что	2	2
125	как это	2	2
126	более или	2	2
127	это было	2	2
