N	2gram	Voloshinov_1	Myslijsy
1	потому что	4	46
2	в том	4	32
3	и в	15	30
4	может быть	13	28
5	то же	7	23
6	не только	5	21
7	только в	6	21
8	но и	4	19
9	том что	5	18
10	то что	10	18
11	того что	2	18
12	что в	6	17
13	по себе	2	16
14	в себе	4	16
15	в сознании	3	15
16	не в	4	15
17	и не	16	15
18	а не	2	15
19	таким образом	21	14
20	что и	2	13
21	так как	9	13
22	вместе с	4	12
23	а в	6	12
24	если бы	3	12
25	так и	10	11
26	что оно	2	11
27	в душе	13	10
28	как и	6	10
29	как в	3	10
30	и что	3	10
31	в этом	13	10
32	в то	6	10
33	из этих	4	9
34	для него	5	9
35	было бы	6	9
36	в нем	4	9
37	мы не	4	9
38	между тем	2	9
39	в самом	6	8
40	от того	3	8
41	в ней	5	8
42	что мы	2	8
43	и то	2	8
44	вовсе не	2	7
45	к тому	4	7
46	как мы	10	7
47	но не	5	7
48	в сознание	9	7
49	а потому	2	6
50	что он	8	6
51	но это	2	6
52	с этим	6	6
53	душевной жизни	6	6
54	те же	4	6
55	не может	13	6
56	уже не	5	6
57	с ним	12	6
58	же с	2	6
59	одно из	3	5
60	не могут	3	5
61	думать что	2	5
62	человека и	6	5
63	в каком	3	5
64	же время	5	5
65	в своем	2	5
66	еще не	7	5
67	отношению к	9	5
68	не менее	3	5
69	по отношению	11	5
70	должно быть	2	5
71	как на	3	5
72	это содержание	2	5
73	с другими	5	5
74	не следует	2	5
75	сказать что	6	5
76	сам по	2	5
77	к ней	2	5
78	слова и	2	5
79	что это	3	4
80	оно не	2	4
81	мы видели	5	4
82	все это	5	4
83	все что	9	4
84	в его	9	4
85	себя и	3	4
86	один из	4	4
87	и его	15	4
88	он не	4	4
89	не было	4	4
90	но вместе	2	4
91	и по	5	4
92	по поводу	2	4
93	мы должны	7	4
94	далеко не	4	4
95	и потому	8	4
96	и при	3	4
97	не существует	3	3
98	этого не	2	3
99	в человеке	5	3
100	и есть	2	3
101	могут быть	6	3
102	тому что	3	3
103	прежде всего	11	3
104	и все	4	3
105	что все	5	3
106	к этому	7	3
107	связь с	4	3
108	не можем	3	3
109	я и	6	3
110	тем не	2	3
111	именно в	3	3
112	и оно	3	3
113	мы можем	12	3
114	что при	2	3
115	в свою	2	3
116	до сих	3	3
117	можно сказать	4	3
118	при этом	7	3
119	и может	4	3
120	что она	2	3
121	как бы	11	3
122	в целом	2	3
123	время в	2	3
124	на него	4	3
125	со стороны	2	3
126	только на	2	3
127	того чтобы	2	3
128	дает нам	2	3
129	к нему	7	3
130	в таком	3	3
131	и на	3	3
132	в искусстве	3	3
133	самого себя	2	3
134	не знает	3	3
135	его в	8	3
136	в первом	2	3
137	ответ на	2	3
138	в чем	4	3
139	возможно только	2	3
140	сих пор	3	3
141	во многом	2	2
142	во время	5	2
143	с сознанием	6	2
144	но все	2	2
145	об этом	4	2
146	человек может	2	2
147	к сознанию	2	2
148	в одном	3	2
149	на все	2	2
150	не всегда	4	2
151	в собственном	2	2
152	человек не	2	2
153	для развития	2	2
154	отношение к	7	2
155	идеи и	2	2
156	художественный образ	2	2
157	в ее	4	2
158	в этой	5	2
159	единство и	3	2
160	у него	3	2
161	она не	2	2
162	и тот	2	2
163	и о	3	2
164	мы уже	5	2
165	за пределы	2	2
166	но мы	2	2
167	его жизни	6	2
168	все же	5	2
169	в свой	2	2
170	жизни и	5	2
171	то или	2	2
172	в своей	9	2
173	и до	3	2
174	что же	4	2
175	мысли и	4	2
176	на первых	2	2
177	в нас	2	2
178	и содержание	3	2
179	этом отношении	2	2
180	для ребенка	2	2
181	из того	2	2
182	самом деле	7	2
183	что такое	3	2
184	и наконец	10	2
185	и даже	2	2
186	той же	2	2
187	их в	2	2
188	ни в	6	2
189	точки зрения	13	2
190	бы в	2	2
191	ничего общего	2	2
192	может стать	3	2
193	явлений и	2	2
194	связанное с	2	2
195	так сказать	3	2
196	таком случае	2	2
197	в области	3	2
198	и с	7	2
199	из него	2	2
