N	2gram	Bakhtin_fo_1	Istorich
1	и в	50	28
2	может быть	11	25
3	и т	8	25
4	не может	6	15
5	а не	3	15
6	никогда не	2	14
7	для нас	2	13
8	мы должны	2	13
9	что в	5	12
10	то же	11	12
11	не только	9	12
12	мы видим	3	11
13	только в	4	11
14	все же	6	10
15	прежде всего	15	10
16	но и	8	10
17	мы не	3	10
18	в том	9	9
19	то что	6	9
20	и не	14	9
21	не в	5	9
22	так и	12	9
23	если бы	5	8
24	таким образом	11	8
25	в этом	25	8
26	но в	10	8
27	в этих	3	7
28	это не	6	7
29	том что	4	7
30	еще не	5	7
31	было бы	2	7
32	в ней	4	7
33	и др	9	7
34	а в	3	7
35	так же	6	7
36	что мы	2	7
37	с другой	2	6
38	к тому	3	6
39	что и	3	6
40	его в	3	6
41	так как	6	6
42	вместе с	3	6
43	мы будем	2	5
44	не знает	3	5
45	в одном	3	5
46	вопрос о	2	5
47	по существу	12	5
48	в дальнейшем	6	5
49	но не	5	5
50	до сих	3	5
51	например в	6	5
52	в качестве	3	5
53	ее в	2	5
54	сих пор	3	5
55	в своем	4	5
56	на основе	2	5
57	или в	3	5
58	их в	3	5
59	сказать что	3	5
60	в его	13	5
61	попадает в	2	5
62	все это	4	4
63	с тем	3	4
64	связи с	6	4
65	и другие	5	4
66	там где	2	4
67	между собой	4	4
68	в пределах	5	4
69	об этом	2	4
70	но все	5	4
71	одной стороны	2	4
72	но оно	2	4
73	один из	3	4
74	в связи	5	4
75	с этим	6	4
76	с одной	3	4
77	как и	8	4
78	того что	2	4
79	и даже	2	4
80	хотя бы	2	4
81	и для	4	4
82	и с	4	4
83	и на	8	4
84	к ним	2	4
85	потому что	4	4
86	в основе	5	4
87	могут быть	5	4
88	они не	3	4
89	все эти	9	4
90	здесь не	4	4
91	мы еще	3	3
92	точку зрения	2	3
93	в стороне	2	3
94	не как	2	3
95	в образе	5	3
96	по себе	2	3
97	именно в	3	3
98	в начале	3	3
99	при этом	3	3
100	то время	4	3
101	наряду с	5	3
102	и их	8	3
103	в котором	4	3
104	и по	2	3
105	отношению к	5	3
106	в форме	3	3
107	в их	6	3
108	связь между	2	3
109	уже не	2	3
110	и его	16	3
111	если мы	2	3
112	как мы	14	3
113	есть только	2	3
114	время как	5	3
115	по отношению	3	3
116	также и	2	3
117	тем что	2	3
118	во всем	2	3
119	в то	9	3
120	дело в	2	3
121	раз и	2	3
122	но они	3	2
123	не могут	3	2
124	самого начала	2	2
125	всех этих	5	2
126	это время	7	2
127	отличие от	2	2
128	в частности	6	2
129	к этому	3	2
130	его и	2	2
131	он должен	2	2
132	и потому	3	2
133	между ними	3	2
134	была бы	2	2
135	вовсе не	13	2
136	вследствие этого	3	2
137	ясно что	2	2
138	значение и	3	2
139	здесь в	2	2
140	к своему	2	2
141	в ее	6	2
142	с самого	2	2
143	и как	10	2
144	одна из	2	2
145	для него	2	2
146	в данной	2	2
147	нет в	2	2
148	что не	3	2
149	одной из	3	2
150	никто не	2	2
151	с ним	2	2
152	же как	2	2
153	как бы	2	2
154	был бы	3	2
155	как оно	2	2
156	в нем	24	2
157	в целом	2	2
158	во всех	6	2
159	в некоторых	2	2
160	конечно не	4	2
161	большую роль	3	2
162	как в	6	2
163	даже не	2	2
164	во всей	3	2
165	как раз	13	2
166	в отличие	2	2
167	в особенности	9	2
168	отношения к	3	2
169	он не	5	2
170	еще и	2	2
171	на них	2	2
172	для всех	2	2
173	а только	2	2
174	ничего не	9	2
175	нас в	3	2
176	ни к	3	2
177	от этого	2	2
178	вступает в	2	2
179	можно назвать	2	2
180	в основном	5	2
181	в себе	3	2
182	его но	3	2
183	как он	2	2
184	всякого рода	2	2
185	тогда когда	2	2
