N	2gram	Tiupa_Hudo_2	RusskieA
1	и в	28	29
2	т е	2	24
3	что в	5	22
4	том что	19	22
5	в том	15	22
6	как бы	5	18
7	состоит в	7	15
8	в других	4	15
9	и другие	5	14
10	может быть	8	13
11	как и	11	11
12	одна из	2	11
13	в этом	13	11
14	все это	3	10
15	и с	6	10
16	не только	11	10
17	о том	12	9
18	а в	6	9
19	но и	9	8
20	его в	2	8
21	данном случае	2	7
22	как в	5	7
23	или в	3	7
24	еще не	3	6
25	для того	4	6
26	для нас	3	6
27	вместе с	2	6
28	при этом	11	6
29	того чтобы	4	6
30	и на	3	6
31	в данном	2	6
32	потому что	2	5
33	это не	6	5
34	то что	6	5
35	но не	4	5
36	и т	4	5
37	не может	4	5
38	т д	2	5
39	следующим образом	3	5
40	будто бы	3	5
41	но в	2	5
42	по полю	2	4
43	именно в	2	4
44	о чем	8	4
45	в них	3	4
46	и все	7	4
47	а за	2	4
48	не все	3	4
49	уже не	10	4
50	не в	13	4
51	из них	2	4
52	к нему	3	4
53	же как	2	4
54	а также	2	4
55	так же	3	4
56	то и	4	4
57	то же	6	4
58	а не	14	4
59	в виде	2	4
60	как это	7	4
61	на этом	2	3
62	тем что	6	3
63	в этих	3	3
64	в качестве	4	3
65	и от	2	3
66	в ее	18	3
67	она не	5	3
68	было бы	3	3
69	и о	4	3
70	что она	7	3
71	в котором	6	3
72	с другими	3	3
73	как мы	2	3
74	тому как	4	3
75	между тем	8	3
76	подобно тому	4	3
77	в этой	5	3
78	что это	5	3
79	не менее	5	2
80	об этом	7	2
81	никогда не	5	2
82	жизни в	7	2
83	о них	3	2
84	с другой	3	2
85	к числу	2	2
86	не столько	2	2
87	из этих	2	2
88	другой день	2	2
89	прежде всего	3	2
90	как уже	2	2
91	что и	4	2
92	к ней	2	2
93	в г	2	2
94	говорит о	4	2
95	на другой	2	2
96	одной стороны	3	2
97	что на	3	2
98	тем не	4	2
99	на могилах	2	2
100	в церкви	2	2
101	один из	2	2
102	не с	2	2
103	все же	2	2
104	в своей	6	2
105	этом и	3	2
106	дело не	2	2
107	тогда как	7	2
108	того как	2	2
109	а с	3	2
110	не было	6	2
111	с одной	3	2
112	ее на	2	2
113	и для	2	2
114	можно было	3	2
115	и то	2	2
116	пока еще	3	2
117	одно из	5	2
118	на себя	3	2
119	и ее	3	2
120	в то	6	2
121	та же	2	2
