N	3gram	Vygotskiy__3	Problema
1	тем не менее	5	18
2	на то что	3	8
3	для того чтобы	7	8
4	в этом смысле	2	6
5	то что мы	2	6
6	о том что	3	5
7	в том что	17	5
8	той или иной	2	4
9	в связи с	5	4
10	сами по себе	3	3
11	мы никогда не	2	3
12	с другой стороны	3	3
13	то что в	2	3
14	во всяком случае	4	3
15	и того же	4	2
16	потому что оно	2	2
17	можно было бы	5	2
18	так же как	6	2
19	и в этом	2	2
20	только потому что	2	2
21	того или иного	2	2
22	то и другое	4	2
23	одного и того	4	2
24	как мы увидим	2	2
25	с тем что	3	2
26	не может быть	2	2
27	и то что	2	2
