N	2gram	Vygotskiy__6	Formalny
1	и в	28	38
2	в этом	27	27
3	может быть	13	23
4	и его	3	21
5	таким образом	18	20
6	и не	11	20
7	в самом	8	16
8	прежде всего	2	15
9	не в	4	15
10	не может	19	14
11	в нем	7	13
12	но и	10	13
13	связи с	3	13
14	языка и	5	12
15	в пределах	5	12
16	с его	3	11
17	с тем	5	11
18	в том	28	11
19	в его	3	10
20	в связи	2	10
21	с помощью	13	10
22	с другими	2	10
23	как и	6	9
24	при этом	3	9
25	в процессе	9	9
26	не только	16	9
27	языка в	2	9
28	что и	4	8
29	все же	2	8
30	так и	6	8
31	самом деле	2	8
32	тем что	8	8
33	точки зрения	13	8
34	что в	17	7
35	не могут	5	7
36	по себе	3	7
37	для него	6	7
38	по существу	2	7
39	во втором	3	7
40	в своей	2	7
41	в других	2	7
42	этом отношении	3	7
43	как мы	10	7
44	с точки	10	7
45	в первом	4	7
46	все время	3	6
47	то что	28	6
48	в этой	5	6
49	было бы	9	6
50	вместе с	7	6
51	в их	3	6
52	то же	7	6
53	все эти	2	6
54	а не	3	6
55	как раз	6	6
56	могут быть	5	6
57	он не	7	6
58	только в	18	6
59	а в	2	6
60	если бы	7	5
61	что он	18	5
62	именно в	4	5
63	это и	3	5
64	во всех	4	5
65	если мы	2	5
66	с этим	4	5
67	и только	3	5
68	более того	2	5
69	в основе	3	5
70	в то	6	5
71	бы в	3	5
72	независимо от	3	4
73	оно не	4	4
74	раз и	2	4
75	на фоне	3	4
76	к тому	10	4
77	мы видели	8	4
78	что они	2	4
79	чем он	2	4
80	в сущности	7	4
81	как таковое	2	4
82	как они	2	4
83	известной степени	2	4
84	как бы	11	4
85	и к	6	4
86	в высшей	2	4
87	из них	2	4
88	как в	3	4
89	другой стороны	2	4
90	восприятия и	3	4
91	мы говорим	2	4
92	что оно	7	4
93	и наконец	2	4
94	там где	7	4
95	языка у	2	4
96	они не	4	4
97	так как	10	4
98	но в	5	4
99	же как	6	3
100	была бы	2	3
101	и др	2	3
102	с другой	2	3
103	из этих	3	3
104	мы знаем	4	3
105	и здесь	3	3
106	и как	6	3
107	зависимости от	5	3
108	своего развития	4	3
109	например в	4	3
110	по принципу	3	3
111	в ином	3	3
112	в зависимости	5	3
113	к предмету	6	3
114	в целом	3	3
115	только на	2	3
116	все это	2	3
117	до известной	3	3
118	в значительной	2	3
119	того что	24	3
120	того чтобы	10	3
121	для того	8	3
122	между этими	4	3
123	мы не	6	3
124	и на	5	3
125	речи и	5	3
126	хотя и	3	3
127	понятий и	10	3
128	и все	5	3
129	его в	6	3
130	том смысле	2	3
131	в области	6	3
132	от этого	3	3
133	значение слова	3	2
134	между двумя	2	2
135	самого начала	7	2
136	и более	2	2
137	и другие	2	2
138	все более	2	2
139	никогда не	8	2
140	состоит в	2	2
141	в этих	2	2
142	в качестве	4	2
143	тому что	11	2
144	для этого	2	2
145	это не	5	2
146	в одной	4	2
147	до крайности	2	2
148	в такой	2	2
149	в конце	2	2
150	в понятии	4	2
151	между ними	7	2
152	этого факта	2	2
153	тем и	3	2
154	бы совершенно	2	2
155	что именно	2	2
156	а только	2	2
157	на котором	2	2
158	самое понятие	2	2
159	до конца	3	2
160	с самого	7	2
161	том что	19	2
162	смысле что	2	2
163	но это	2	2
164	то в	5	2
165	является не	2	2
166	от него	2	2
167	но не	10	2
168	очевидно что	3	2
169	но как	3	2
170	перехода от	9	2
171	и другое	2	2
172	она не	2	2
173	и функции	2	2
174	что на	4	2
175	как увидим	3	2
176	к другому	4	2
177	к другим	11	2
178	совпадает с	4	2
179	но совершенно	2	2
180	в котором	2	2
181	один из	3	2
182	и тем	5	2
183	в развитии	24	2
184	этом смысле	2	2
185	отношение к	7	2
186	во второй	2	2
187	не по	3	2
188	ее в	2	2
189	приводит к	6	2
190	понятия в	6	2
191	на этом	4	2
192	и других	7	2
193	в той	4	2
194	тем самым	8	2
195	не имеет	6	2
196	и по	3	2
197	исследования в	3	2
198	с ними	2	2
199	этот вопрос	3	2
200	и то	4	2
201	сказать что	13	2
202	и от	2	2
203	эти функции	2	2
204	к его	2	2
205	своем развитии	4	2
206	в школе	12	2
207	из этого	2	2
208	что эта	2	2
209	должен был	3	2
210	в чем	6	2
211	потому что	22	2
212	как это	3	2
213	в которой	7	2
214	с ним	2	2
215	не могли	5	2
216	в плане	3	2
