N	2gram	Vinokur_St_2	Hudozhes
1	и в	29	28
2	том что	27	19
3	в ее	2	18
4	и не	9	18
5	своего рода	5	16
6	в том	27	15
7	а не	5	14
8	не в	4	13
9	в этом	21	13
10	о том	17	12
11	как и	2	11
12	при этом	2	11
13	в его	13	11
14	не только	19	11
15	но и	19	9
16	в себе	2	9
17	о чем	5	8
18	что он	13	8
19	может быть	2	8
20	так и	9	8
21	между тем	5	8
22	я не	7	7
23	к тому	10	7
24	об этом	6	7
25	в частности	4	7
26	тогда как	2	7
27	как это	2	7
28	в котором	7	6
29	то что	11	6
30	в своей	7	6
31	если бы	2	6
32	то же	2	6
33	не было	3	6
34	и с	4	6
35	тем что	3	6
36	в то	2	6
37	с его	2	5
38	что это	3	5
39	и другие	2	5
40	не менее	3	5
41	в своем	9	5
42	как бы	5	5
43	как в	3	5
44	в этой	2	5
45	что в	19	5
46	и сам	2	5
47	в самом	7	5
48	никогда не	3	5
49	и его	6	5
50	для него	4	5
51	ничего не	4	5
52	тому что	7	4
53	тем не	2	4
54	говорит о	2	4
55	но не	3	4
56	что они	2	4
57	в качестве	5	4
58	для того	7	4
59	и о	4	4
60	он не	9	4
61	что и	2	4
62	и т	9	4
63	как раз	8	4
64	не может	2	4
65	того чтобы	6	4
66	только в	2	4
67	была бы	5	3
68	в них	2	3
69	с другой	4	3
70	в одном	6	3
71	с нею	3	3
72	прежде всего	5	3
73	что было	2	3
74	в нем	4	3
75	что на	3	3
76	самом деле	3	3
77	было бы	5	3
78	по поводу	8	3
79	в это	2	3
80	несмотря на	2	3
81	одной из	3	3
82	раз в	2	3
83	в ней	7	3
84	в этих	3	3
85	со стороны	2	3
86	все это	11	3
87	а с	3	3
88	у всех	2	3
89	и он	3	3
90	внимание на	4	3
91	по его	3	3
92	так же	3	3
93	и на	6	3
94	на себя	3	3
95	что у	4	3
96	как он	2	3
97	и это	2	3
98	это был	2	2
99	только не	2	2
100	т е	10	2
101	давно уже	3	2
102	за него	2	2
103	именно в	4	2
104	не столько	7	2
105	в духе	2	2
106	вовсе не	6	2
107	а как	4	2
108	о которых	2	2
109	в г	7	2
110	тому же	3	2
111	что я	2	2
112	же как	3	2
113	как у	3	2
114	и к	4	2
115	не по	2	2
116	которая была	2	2
117	а также	2	2
118	до сих	6	2
119	не является	3	2
120	оно не	3	2
121	это было	2	2
122	все же	6	2
123	из них	3	2
124	ни с	2	2
125	вместе с	7	2
126	дело не	2	2
127	сих пор	5	2
128	как на	9	2
129	т п	3	2
130	т д	6	2
131	того как	7	2
132	еще и	3	2
133	ни одного	3	2
134	хотя бы	3	2
135	с точки	2	2
136	в данном	2	2
137	сказать что	2	2
138	потому что	9	2
139	точки зрения	5	2
140	в другом	4	2
141	его в	2	2
142	думал о	2	2
143	но в	8	2
