N	2gram	Potebnia_M_1	Tvorches
1	и в	39	20
2	не только	21	13
3	и т	6	13
4	никогда не	4	11
5	т д	4	11
6	как бы	6	11
7	в его	5	10
8	таким образом	13	10
9	в то	4	10
10	там же	9	9
11	и его	5	9
12	и не	18	9
13	же с	7	9
14	прежде всего	4	8
15	в том	26	8
16	при этом	6	8
17	но и	20	8
18	может быть	27	8
19	в этом	15	8
20	и с	3	8
21	это не	7	7
22	же время	4	7
23	что в	22	7
24	не может	22	7
25	то же	6	7
26	потому что	52	7
27	как и	9	6
28	в целом	2	6
29	в своей	3	6
30	так и	13	6
31	а не	21	6
32	в мире	3	5
33	но это	5	5
34	еще не	6	5
35	но не	8	5
36	все же	6	5
37	и даже	4	5
38	так же	5	5
39	в этой	3	5
40	о том	2	5
41	то есть	42	5
42	в душе	11	4
43	и от	3	4
44	мы не	10	4
45	показывает что	3	4
46	том что	16	4
47	мы видим	4	4
48	хотя и	3	4
49	как в	10	4
50	если не	2	4
51	тем самым	4	4
52	не в	15	4
53	а в	5	4
54	и потому	5	4
55	если бы	14	4
56	но в	9	4
57	с этой	2	3
58	с ним	3	3
59	отношению к	13	3
60	так например	3	3
61	для него	4	3
62	что не	10	3
63	в самом	3	3
64	он не	3	3
65	в нем	20	3
66	то что	10	3
67	но уже	2	3
68	и это	3	3
69	вместе с	8	3
70	в их	2	3
71	по отношению	13	3
72	по мнению	3	3
73	тогда как	2	3
74	так как	21	3
75	уже не	2	3
76	одним из	2	3
77	в таком	5	3
78	этот вопрос	2	3
79	тем что	9	3
80	заставляет нас	2	3
81	в своих	4	3
82	в себе	13	3
83	в начале	2	3
84	нет ничего	2	3
85	между тем	5	3
86	зависит от	5	2
87	не менее	6	2
88	и есть	2	2
89	и без	3	2
90	с другой	7	2
91	или даже	3	2
92	в стороне	4	2
93	по крайней	2	2
94	в одном	8	2
95	вовсе не	5	2
96	во всяком	3	2
97	что на	6	2
98	крайней мере	2	2
99	у нас	2	2
100	так что	16	2
101	и если	2	2
102	том же	2	2
103	но если	2	2
104	не могли	2	2
105	только для	3	2
106	в истории	7	2
107	но эти	2	2
108	на него	3	2
109	т п	4	2
110	бы не	6	2
111	не было	4	2
112	и других	4	2
113	и что	10	2
114	связь с	2	2
115	на этот	2	2
116	другой стороны	5	2
117	не так	3	2
118	и по	6	2
119	друг друга	5	2
120	во многих	2	2
121	могут быть	9	2
122	известно что	2	2
123	в которой	2	2
124	с другим	3	2
125	и вообще	3	2
126	и только	2	2
127	только в	25	2
128	при помощи	2	2
129	таком случае	2	2
130	из этого	2	2
131	эта мысль	2	2
132	так сказать	2	2
133	познания и	2	2
134	к которому	3	2
