N	2gram	Bakhtin_Fr_6	Russkaja
1	не может	4	22
2	и не	3	19
3	в том	2	17
4	в этом	12	17
5	и в	41	14
6	то что	10	13
7	самим собой	2	12
8	таким образом	17	11
9	то же	5	11
10	точки зрения	2	11
11	же время	5	10
12	но и	13	10
13	в то	6	10
14	том что	7	9
15	не только	10	9
16	в себе	5	9
17	с точки	2	9
18	может быть	2	9
19	прежде всего	10	8
20	того чтобы	4	8
21	самом деле	4	7
22	в данном	3	7
23	о том	9	7
24	и с	16	7
25	что он	6	6
26	все это	11	6
27	в своем	5	6
28	и для	3	6
29	и на	9	5
30	при этом	3	5
31	до сих	3	5
32	было бы	3	5
33	конечно не	3	5
34	в своей	2	5
35	он не	2	5
36	никогда не	8	5
37	в нем	16	5
38	сих пор	3	5
39	во всех	17	5
40	а в	4	5
41	потому что	3	5
42	только в	3	5
43	между тем	2	5
44	но не	2	4
45	не могут	2	4
46	что в	7	4
47	тогда когда	2	4
48	как и	7	4
49	все что	4	4
50	когда они	3	4
51	как бы	7	4
52	все же	4	4
53	себя в	2	4
54	жизни и	3	4
55	в корне	2	4
56	вместе с	6	4
57	не в	4	4
58	и то	2	4
59	в этой	8	4
60	во всем	5	4
61	в его	7	4
62	так как	10	4
63	он сам	3	3
64	что это	5	3
65	именно в	4	3
66	в большинстве	4	3
67	из этих	2	3
68	в конце	2	3
69	что все	2	3
70	всех этих	2	3
71	и как	4	3
72	в другом	4	3
73	лишь в	2	3
74	что они	2	3
75	в самом	10	3
76	одной из	3	3
77	но если	2	3
78	и потому	2	3
79	для этого	2	3
80	из них	5	3
81	все они	2	3
82	данном случае	2	3
83	и сейчас	2	3
84	в значительной	2	3
85	того что	3	3
86	или в	6	3
87	тем что	5	3
88	и во	2	3
89	говорить о	2	3
90	связи с	2	3
91	о котором	4	3
92	из этого	4	3
93	должна быть	2	2
94	в частности	2	2
95	у него	7	2
96	и от	4	2
97	с этим	3	2
98	к себе	2	2
99	народа и	3	2
100	однако они	2	2
101	так что	2	2
102	но это	3	2
103	от него	2	2
104	именно на	4	2
105	есть и	2	2
106	там и	2	2
107	и тот	2	2
108	в ней	4	2
109	в котором	4	2
110	для нас	2	2
111	все эти	11	2
112	этой роли	2	2
113	и что	5	2
114	а не	2	2
115	и наконец	4	2
116	и даже	4	2
117	к нему	3	2
118	так же	5	2
119	и те	2	2
120	на которой	2	2
121	людей и	3	2
122	в результате	4	2
123	их в	2	2
124	мы уже	18	2
125	в начале	3	2
126	во время	9	2
127	в таких	2	2
128	в этих	2	2
129	большинстве случаев	5	2
130	только с	3	2
131	с ним	4	2
132	отметить что	2	2
133	в области	2	2
134	но в	8	2
