N	2gram	Losev_Prob_1	OGranits
1	и в	32	13
2	и его	3	12
3	прежде всего	10	9
4	не может	8	8
5	и не	31	8
6	может быть	14	8
7	точки зрения	3	7
8	и пр	4	7
9	в его	6	7
10	таким образом	6	6
11	не только	17	6
12	то что	42	6
13	только в	7	6
14	мы должны	5	6
15	как бы	14	6
16	с точки	3	5
17	но ведь	3	5
18	хотя бы	3	5
19	то же	10	4
20	не является	5	4
21	в своей	8	4
22	вопроса о	2	4
23	все это	7	4
24	еще и	5	4
25	только и	3	4
26	мы не	2	4
27	мы можем	4	4
28	было бы	8	4
29	в сознании	5	4
30	но в	14	4
31	и уже	3	3
32	что в	12	3
33	никогда не	7	3
34	но и	9	3
35	так и	12	3
36	что же	9	3
37	в их	4	3
38	не как	2	3
39	и все	7	3
40	самом деле	6	3
41	в ее	3	3
42	да и	3	3
43	как и	3	3
44	не в	4	3
45	за пределы	6	3
46	в которой	2	3
47	и то	6	3
48	в себе	15	3
49	в искусстве	3	3
50	говорить о	6	3
51	ничего общего	11	3
52	с этим	3	3
53	и для	4	3
54	общего с	8	3
55	так как	11	3
56	но для	3	3
57	не менее	19	2
58	себе что	2	2
59	для себя	3	2
60	уже в	3	2
61	и тем	13	2
62	в нем	13	2
63	может иметь	2	2
64	ее в	2	2
65	во всей	3	2
66	сознания и	2	2
67	который мы	2	2
68	данном случае	8	2
69	а не	15	2
70	в отношении	3	2
71	другой стороны	3	2
72	с другой	3	2
73	она является	2	2
74	от всех	2	2
75	не на	3	2
76	в них	7	2
77	в связи	4	2
78	входит в	4	2
79	собственно говоря	2	2
80	и должно	2	2
81	а в	4	2
82	все эти	8	2
83	вовсе не	35	2
84	или иного	2	2
85	но такое	2	2
86	конечно в	2	2
87	есть не	6	2
88	к тому	3	2
89	как в	4	2
90	если бы	4	2
91	в чем	3	2
92	не имеет	2	2
93	в том	9	2
94	что иное	2	2
95	так же	9	2
96	только ее	2	2
97	том что	12	2
98	мы видим	2	2
99	в ряд	2	2
100	в данном	9	2
101	что они	3	2
102	в этом	19	2
103	учение о	3	2
104	тем что	7	2
105	между тем	2	2
106	и следовательно	3	2
107	могут быть	2	2
108	при этом	6	2
109	чем же	2	2
110	смысле слова	7	2
111	и ее	8	2
112	не что	2	2
113	для него	2	2
114	и может	2	2
115	в действительности	3	2
116	несмотря на	3	2
117	того или	2	2
118	мы уже	5	2
119	в целях	2	2
120	в области	2	2
121	нет ничего	10	2
122	в самом	6	2
123	путем отвлечения	2	2
124	и при	2	2
125	между собою	7	2
126	иное как	2	2
127	и является	7	2
128	а также	4	2
