N	2gram	Vinokur_Vv_1	Istorich
1	и в	27	25
2	что он	4	22
3	вместе с	6	22
4	и т	43	20
5	т д	37	18
6	может быть	24	17
7	т е	38	16
8	мы имеем	3	14
9	не только	21	13
10	но и	5	13
11	в его	10	12
12	и не	13	11
13	уже не	5	11
14	так как	13	11
15	все же	8	10
16	в этом	34	10
17	тем что	6	10
18	с другой	8	9
19	его в	6	9
20	и его	5	9
21	таким образом	19	9
22	в виде	4	9
23	с тем	6	8
24	связи с	3	8
25	что в	11	8
26	этих случаях	2	8
27	том что	26	8
28	еще не	4	8
29	другой стороны	5	8
30	все эти	3	8
31	и что	4	8
32	и на	3	8
33	в частности	3	7
34	в качестве	7	7
35	мы видели	2	7
36	как и	5	7
37	то что	17	7
38	этом случае	6	7
39	одной стороны	4	7
40	в нем	13	7
41	при помощи	2	7
42	с одной	4	7
43	потому что	14	7
44	представляет собой	12	7
45	только в	13	7
46	о том	15	7
47	в этих	3	6
48	это не	8	6
49	прежде всего	8	6
50	что и	3	6
51	себя в	2	6
52	не может	13	6
53	не в	8	6
54	могут быть	4	6
55	в том	31	6
56	что это	3	5
57	ясно что	9	5
58	с этим	2	5
59	как мы	9	5
60	но все	3	5
61	но не	7	5
62	например в	2	5
63	в ней	3	5
64	так же	3	5
65	входит в	2	5
66	мы не	2	5
67	не менее	8	4
68	не как	3	4
69	раньше чем	3	4
70	и тем	5	4
71	тем не	8	4
72	в ее	11	4
73	в дальнейшем	2	4
74	наряду с	2	4
75	же как	3	4
76	на этой	3	4
77	а именно	6	4
78	все это	6	4
79	в связи	2	4
80	то же	8	4
81	в истории	9	4
82	от этого	5	4
83	и это	6	4
84	того как	3	4
85	никогда не	3	3
86	и как	9	3
87	в более	2	3
88	в целом	5	3
89	после того	2	3
90	в этой	3	3
91	в то	5	3
92	того чтобы	21	3
93	и требует	2	3
94	на том	3	3
95	и др	2	3
96	то это	3	3
97	но уже	2	3
98	представляют собой	6	3
99	в форме	2	3
100	на этом	3	3
101	только после	2	3
102	в особенности	4	3
103	для того	21	3
104	к нему	2	3
105	а в	5	3
106	его к	2	3
107	в которых	6	3
108	в данном	11	3
109	и с	2	3
110	и вообще	3	3
111	что здесь	2	3
112	но вместе	2	3
113	или же	3	3
114	е в	4	3
115	уже после	3	2
116	уже в	5	2
117	уже и	7	2
118	тогда когда	3	2
119	к этому	3	2
120	вовсе не	6	2
121	а как	3	2
122	вопрос о	8	2
123	по себе	9	2
124	в различных	2	2
125	можно сказать	3	2
126	так что	5	2
127	об этом	5	2
128	о которых	2	2
129	с этой	4	2
130	по существу	2	2
131	и при	2	2
132	одна из	2	2
133	того же	3	2
134	после этого	2	2
135	до сих	5	2
136	и сам	2	2
137	жизни и	2	2
138	несмотря на	2	2
139	если бы	2	2
140	из которых	2	2
141	от себя	3	2
142	одним из	5	2
143	как бы	5	2
144	из двух	2	2
145	по мере	4	2
146	один из	6	2
147	должен быть	4	2
148	сих пор	5	2
149	в своей	4	2
150	отношению к	4	2
151	во всех	2	2
152	том чтобы	6	2
153	время в	2	2
154	с ней	2	2
155	данном случае	5	2
156	со стороны	12	2
157	говорит о	3	2
158	так например	6	2
159	по отношению	4	2
160	язык и	3	2
161	и для	4	2
162	в течение	5	2
163	и других	3	2
164	самом деле	6	2
165	именно на	2	2
166	а не	3	2
167	того что	12	2
168	чтобы он	2	2
169	сказать что	5	2
170	точки зрения	7	2
171	во всем	2	2
172	что мы	2	2
173	из них	3	2
174	в свое	2	2
175	на нее	2	2
176	а если	2	2
177	ничего не	2	2
178	о чем	4	2
179	или как	3	2
180	мы можем	2	2
