N	2gram	Losev_Dial_2	Tvorches
1	и в	19	20
2	не только	19	13
3	и т	17	13
4	никогда не	9	11
5	т д	15	11
6	как бы	14	11
7	таким образом	4	10
8	в то	6	10
9	и его	5	9
10	и не	30	9
11	прежде всего	8	8
12	в том	14	8
13	при этом	4	8
14	но и	12	8
15	может быть	20	8
16	в этом	8	8
17	и с	5	8
18	это не	10	7
19	же время	5	7
20	что в	7	7
21	не может	9	7
22	то же	12	7
23	потому что	14	7
24	в конце	2	6
25	что он	6	6
26	как и	10	6
27	в своей	8	6
28	так и	10	6
29	все это	4	6
30	именно в	2	6
31	а не	16	6
32	в мире	2	5
33	но это	7	5
34	еще не	4	5
35	но не	6	5
36	например в	2	5
37	все же	4	5
38	и даже	14	5
39	так же	2	5
40	в этой	3	5
41	о том	5	5
42	об этом	3	4
43	в душе	7	4
44	что у	2	4
45	и от	3	4
46	том что	10	4
47	мы видим	2	4
48	что они	6	4
49	отнюдь не	6	4
50	на его	2	4
51	что она	14	4
52	как в	2	4
53	все эти	2	4
54	не в	8	4
55	а в	4	4
56	в чем	3	4
57	и потому	5	4
58	ничего не	3	4
59	но в	2	4
60	же как	3	3
61	в одной	4	3
62	человека и	2	3
63	с ним	4	3
64	что не	6	3
65	в самом	5	3
66	и мы	3	3
67	он не	4	3
68	в нем	10	3
69	мифа в	4	3
70	то что	14	3
71	и это	5	3
72	вместе с	2	3
73	сих пор	2	3
74	в их	2	3
75	так как	14	3
76	уже не	3	3
77	в таком	4	3
78	тем что	2	3
79	в своих	2	3
80	в себе	15	3
81	у пушкина	2	3
82	его в	3	3
83	между тем	2	3
84	до сих	2	3
85	уже в	4	2
86	зависит от	2	2
87	все время	3	2
88	не менее	3	2
89	и есть	4	2
90	это уже	2	2
91	личности в	8	2
92	с другой	5	2
93	по крайней	9	2
94	и эстетика	2	2
95	в одном	4	2
96	я не	6	2
97	не мешает	5	2
98	вовсе не	13	2
99	во всяком	2	2
100	а я	2	2
101	что на	2	2
102	крайней мере	9	2
103	в ее	4	2
104	в искусстве	2	2
105	д и	2	2
106	так что	7	2
107	что я	2	2
108	только через	2	2
109	личности это	3	2
110	как известно	2	2
111	и если	4	2
112	в частности	2	2
113	всяком случае	2	2
114	себя в	2	2
115	в истории	2	2
116	на него	2	2
117	и тогда	3	2
118	т п	2	2
119	не было	3	2
120	самом деле	4	2
121	и что	5	2
122	другой стороны	4	2
123	и по	4	2
124	с ними	2	2
125	тут же	4	2
126	что этот	3	2
127	из них	3	2
128	в виде	2	2
129	могут быть	4	2
130	говорил что	2	2
131	в которой	2	2
132	он всегда	2	2
133	говорить о	5	2
134	и вообще	6	2
135	и только	4	2
136	только в	5	2
137	но ведь	2	2
138	таком случае	3	2
139	это все	2	2
140	их в	2	2
141	же не	3	2
142	однако это	2	2
