N	2gram	Berdyaev_M_2	Sovremen
1	не может	15	17
2	точки зрения	2	12
3	может быть	21	12
4	в каждом	3	8
5	в этом	20	7
6	и в	46	7
7	и не	18	6
8	как и	13	6
9	ничего не	2	6
10	что же	2	5
11	прежде всего	12	5
12	как бы	8	4
13	жизни и	6	4
14	вместе с	2	4
15	это не	5	4
16	а в	2	4
17	вопрос о	6	4
18	не только	18	4
19	в том	3	4
20	так как	8	4
21	уже в	2	3
22	в конце	5	3
23	то же	5	3
24	у всех	2	3
25	в нем	22	3
26	а не	13	3
27	и к	7	3
28	у нас	11	3
29	не в	9	3
30	в этой	7	3
31	он в	3	3
32	и все	5	3
33	как он	3	3
34	в себе	10	3
35	что она	5	3
36	но в	10	3
37	и потому	7	3
38	что это	6	2
39	и есть	8	2
40	у него	22	2
41	быть и	2	2
42	в нашем	7	2
43	и во	3	2
44	что все	5	2
45	еще более	2	2
46	уже не	4	2
47	в свою	4	2
48	или иной	2	2
49	и что	2	2
50	к чему	4	2
51	той же	3	2
52	мы видим	2	2
53	на этом	2	2
54	что в	4	2
55	тот же	2	2
56	на его	2	2
57	такого рода	2	2
58	в самом	5	2
59	в новых	2	2
60	в которой	2	2
61	в его	5	2
