N	2gram	Propp_Morf_1	Problemy
1	и в	13	35
2	как бы	3	31
3	и не	12	27
4	что он	4	24
5	но в	2	19
6	не может	14	18
7	как и	3	18
8	то же	7	15
9	но и	4	14
10	может быть	52	14
11	в сущности	3	14
12	в этом	14	14
13	к нему	3	13
14	он не	3	13
15	прежде всего	9	12
16	и к	4	12
17	в другом	2	12
18	в пределах	3	11
19	в то	3	11
20	не в	3	10
21	самом деле	4	10
22	не только	4	10
23	то что	8	10
24	на самом	4	9
25	так и	6	8
26	себя и	2	8
27	к герою	3	8
28	потому что	3	8
29	все же	7	8
30	как мы	6	8
31	и для	2	8
32	так же	3	7
33	а в	7	7
34	точки зрения	2	7
35	с его	2	7
36	вовсе не	4	7
37	еще не	3	7
38	отношению к	4	7
39	что же	2	7
40	в виде	2	7
41	там где	5	7
42	таким образом	21	7
43	что в	8	6
44	к тому	4	6
45	но это	6	6
46	что они	2	6
47	и что	2	6
48	но не	4	6
49	по отношению	4	6
50	только в	2	6
51	в том	6	5
52	в глаза	2	5
53	во время	6	5
54	на него	3	5
55	как в	3	5
56	героя в	4	5
57	с другой	8	4
58	та же	2	4
59	но все	3	4
60	на его	4	4
61	всяком случае	2	4
62	ивана в	3	4
63	между тем	5	4
64	но как	2	4
65	его в	2	4
66	так как	16	4
67	по своему	2	4
68	а не	11	4
69	во всяком	2	4
70	тем что	4	4
71	как будто	2	4
72	он старается	2	4
73	то ни	3	3
74	ни было	2	3
75	совсем не	3	3
76	героя из	2	3
77	бы то	3	3
78	в целом	3	3
79	из них	3	3
80	другой стороны	4	3
81	его и	2	3
82	в форме	6	3
83	все эти	2	3
84	того что	3	3
85	это не	6	3
86	сказать что	2	3
87	говорить о	3	3
88	в начале	3	3
89	мы должны	3	3
90	этого не	2	3
91	с тем	2	3
92	друг к	2	3
93	с этим	11	3
94	это и	2	3
95	том что	4	3
96	было бы	3	3
97	во всех	4	3
98	что и	7	3
99	к другу	2	3
100	только что	2	3
101	а с	2	3
102	уже не	2	3
103	ничего не	4	3
104	не менее	5	2
105	на вопрос	2	2
106	это уже	3	2
107	в этих	13	2
108	тому что	4	2
109	вопрос о	7	2
110	без всякого	2	2
111	что его	2	2
112	из его	2	2
113	на этом	3	2
114	в большинстве	3	2
115	в последнем	2	2
116	она в	2	2
117	например в	2	2
118	хотя и	3	2
119	время как	3	2
120	себя за	2	2
121	и по	2	2
122	тому как	5	2
123	друг на	2	2
124	но для	2	2
125	в которых	2	2
126	на друга	2	2
127	о том	2	2
128	в первом	3	2
129	герой не	2	2
130	большинстве случаев	3	2
131	бы они	2	2
132	от другого	2	2
133	однако в	2	2
134	с собой	3	2
135	а затем	4	2
136	то в	3	2
137	никаких новых	2	2
138	очень часто	6	2
139	мы увидим	8	2
140	друг друга	3	2
141	благодаря этому	3	2
142	быть и	2	2
143	приводит к	2	2
144	показать что	4	2
145	и как	5	2
146	хотя бы	4	2
147	с точки	2	2
148	в которой	3	2
149	или в	4	2
150	можно было	2	2
151	мы можем	2	2
152	подобно тому	6	2
153	у ивана	2	2
154	это было	3	2
