N	2gram	Losev_Prob_2	Vladivir
1	и в	35	31
2	не только	24	24
3	но и	16	19
4	то что	38	18
5	и не	37	17
6	и даже	11	15
7	том что	19	14
8	что в	11	14
9	в этом	17	14
10	и с	10	14
11	что он	4	12
12	по поводу	2	12
13	в его	7	12
14	но в	6	12
15	в том	12	11
16	потому что	13	11
17	о том	18	11
18	так что	11	10
19	и то	10	10
20	также и	12	10
21	он не	2	10
22	как мы	5	9
23	а в	4	9
24	даже и	18	9
25	только в	14	9
26	в конце	7	9
27	и по	3	8
28	в то	6	8
29	так как	7	8
30	уже в	3	7
31	кроме того	5	7
32	об этом	2	7
33	о нем	2	7
34	как раз	8	7
35	тут же	8	7
36	сказать что	24	7
37	мы уже	3	7
38	еще и	5	7
39	и к	3	6
40	можно сказать	6	6
41	у нас	18	6
42	в качестве	2	6
43	и сам	2	6
44	может быть	18	6
45	иной раз	3	6
46	так и	7	6
47	не может	13	6
48	то же	5	6
49	и что	13	6
50	разного рода	4	6
51	это было	2	6
52	не был	4	5
53	не очень	2	5
54	все это	4	5
55	вовсе не	37	5
56	на то	6	5
57	не в	2	5
58	но как	6	5
59	которой он	4	5
60	и если	3	5
61	и от	3	5
62	а также	2	5
63	что и	2	5
64	что же	9	5
65	не было	3	5
66	в своих	3	5
67	в своем	4	4
68	и все	5	4
69	этом смысле	5	4
70	н г	4	4
71	для нас	9	4
72	в себе	5	4
73	да и	10	4
74	и вообще	16	4
75	как и	5	4
76	и как	4	4
77	мы и	6	4
78	в этой	9	4
79	совсем не	7	4
80	такого рода	15	4
81	можно судить	3	4
82	никак не	11	4
83	хотя и	3	4
84	еще в	2	4
85	и особенно	2	4
86	один из	3	4
87	в нашем	3	4
88	ни с	2	4
89	в истории	3	4
90	мысли и	2	4
91	а а	6	4
92	что для	3	4
93	м с	2	4
94	несмотря на	3	4
95	к нему	2	4
96	а м	2	4
97	для меня	5	4
98	в общем	4	3
99	но только	4	3
100	к тому	3	3
101	в виде	6	3
102	отнюдь не	5	3
103	с другой	6	3
104	раз и	5	3
105	настоящей работы	6	3
106	но не	4	3
107	но это	6	3
108	что они	3	3
109	более или	4	3
110	по своему	5	3
111	с этими	2	3
112	ничего не	10	3
113	тот же	4	3
114	конце концов	7	3
115	все же	8	3
116	в целом	3	3
117	вместе с	2	3
118	на него	2	3
119	или менее	4	3
120	только на	9	3
121	другой стороны	5	3
122	в отношении	4	3
123	в связи	5	3
124	и речи	3	3
125	собственно говоря	2	3
126	таким образом	4	3
127	все эти	7	3
128	если не	4	3
129	в в	2	3
130	здесь мы	3	3
131	уже не	8	3
132	свидетельствует о	2	3
133	в науке	3	3
134	и притом	3	3
135	едва ли	9	3
136	и на	5	3
137	хотели бы	2	3
138	и здесь	4	3
139	здесь не	2	3
140	то есть	39	3
141	и действительно	2	3
142	тем что	4	2
143	он сам	3	2
144	с и	2	2
145	с тем	3	2
146	уже и	3	2
147	время и	2	2
148	первый план	3	2
149	не менее	13	2
150	в частности	5	2
151	по этому	3	2
152	но даже	3	2
153	нет и	3	2
154	в них	2	2
155	хотя бы	12	2
156	ввиду своей	3	2
157	указывает на	5	2
158	и весьма	2	2
159	что все	6	2
160	ясно что	8	2
161	всей этой	3	2
162	на всю	2	2
163	в тех	2	2
164	на первый	4	2
165	но зато	2	2
166	тем не	12	2
167	и можно	3	2
168	ни в	6	2
169	это и	3	2
170	м а	7	2
171	тем более	10	2
172	же о	3	2
173	никуда не	2	2
174	учение о	2	2
175	все что	3	2
176	что с	2	2
177	и тот	3	2
178	никак нельзя	3	2
179	еще не	10	2
180	при этом	3	2
181	того что	12	2
182	было бы	8	2
183	и мы	2	2
184	совершенно не	2	2
185	что на	4	2
186	в самом	5	2
187	конечно не	2	2
188	и о	4	2
189	или о	2	2
190	на это	2	2
191	а ф	5	2
192	всяком случае	10	2
193	даже в	2	2
194	для себя	9	2
195	и тут	4	2
196	и т	6	2
197	и а	2	2
198	не будем	4	2
199	из этого	2	2
200	что она	4	2
201	а именно	6	2
202	даже не	3	2
203	но мы	3	2
204	то и	4	2
205	т д	6	2
206	и для	6	2
207	этой области	3	2
208	лишь в	3	2
209	тем самым	7	2
210	того чтобы	2	2
211	для того	3	2
212	что мы	14	2
213	что такое	18	2
214	как на	2	2
215	той же	2	2
216	необходимо сказать	6	2
217	в результате	4	2
218	пока еще	9	2
219	под ред	2	2
220	во всяком	13	2
221	точки зрения	2	2
222	в каком	4	2
223	из этих	3	2
224	о котором	3	2
225	мы должны	3	2
226	один и	2	2
227	и это	5	2
228	и ни	3	2
229	всякого рода	4	2
230	а это	3	2
