N	2gram	Bakhtin_sl_1	Tragedij
1	и в	41	18
2	в романе	21	10
3	в этом	12	9
4	не только	16	8
5	и не	16	7
6	и на	14	7
7	и с	4	7
8	может быть	14	7
9	как бы	12	7
10	и его	14	6
11	же время	12	6
12	у него	3	6
13	но в	8	6
14	все же	7	5
15	так и	11	5
16	это не	6	5
17	не может	14	5
18	то же	14	5
19	как и	4	5
20	в то	14	5
21	но и	16	4
22	в целом	2	4
23	все это	5	4
24	прежде всего	8	4
25	и все	4	4
26	в нем	30	4
27	и даже	6	4
28	так же	2	4
29	том что	2	4
30	в себе	3	4
31	еще не	4	4
32	один из	4	3
33	с ее	4	3
34	в своем	3	3
35	романа и	5	3
36	как в	8	3
37	все эти	9	3
38	к нему	5	3
39	в основном	3	3
40	должно быть	2	3
41	в его	13	3
42	для него	3	3
43	при этом	6	3
44	и сам	3	3
45	с ним	7	3
46	то есть	26	3
47	перед нами	4	2
48	не могут	3	2
49	в частности	2	2
50	данном случае	3	2
51	в известной	2	2
52	что все	2	2
53	а как	2	2
54	из своих	2	2
55	уже не	2	2
56	бы и	3	2
57	с его	4	2
58	вместе со	2	2
59	отношение к	7	2
60	к тому	3	2
61	между этими	2	2
62	столь же	2	2
63	и здесь	3	2
64	в ее	2	2
65	в том	3	2
66	до конца	12	2
67	друг друга	3	2
68	так что	2	2
69	не в	7	2
70	в данном	3	2
71	и то	2	2
72	одна из	2	2
73	потому что	2	2
74	в первом	3	2
75	в виде	2	2
76	чем он	2	2
77	и ее	3	2
78	о том	3	2
79	его в	3	2
80	в самом	5	2
81	ничего не	4	2
82	он не	3	2
83	в одном	2	2
84	никогда не	3	2
