N	2gram	Propp_Russ_2	Komedia
1	и в	29	22
2	т е	24	16
3	в дом	8	14
4	том что	22	13
5	в том	22	12
6	таким образом	6	12
7	так как	13	11
8	потому что	5	10
9	вместе с	6	9
10	к ней	2	8
11	что и	2	8
12	в этом	11	8
13	о том	9	8
14	его в	8	8
15	о чем	4	7
16	об этом	2	7
17	при этом	6	7
18	то же	4	7
19	а в	9	7
20	во время	12	6
21	к этому	5	6
22	еще не	6	6
23	для того	6	6
24	может быть	13	6
25	и что	5	6
26	того чтобы	6	6
27	так что	4	6
28	в то	2	6
29	не менее	2	5
30	связи с	2	5
31	что в	22	5
32	прежде всего	2	5
33	как это	4	5
34	не только	10	5
35	в своей	2	5
36	из них	4	5
37	все это	10	5
38	тем что	3	5
39	к нему	4	5
40	в которых	4	5
41	но в	5	5
42	с тем	6	4
43	должен был	3	4
44	между собой	2	4
45	с другой	2	4
46	сразу же	2	4
47	все же	2	4
48	не в	4	4
49	до конца	3	4
50	и т	5	4
51	то что	5	4
52	но и	8	4
53	что она	3	4
54	а не	4	4
55	и для	2	4
56	друг друга	3	4
57	так же	4	4
58	на себя	2	4
59	и с	10	4
60	никогда не	2	3
61	в них	4	3
62	в глаза	2	3
63	на них	4	3
64	с этой	2	3
65	с этим	2	3
66	далеко не	4	3
67	тем не	2	3
68	и еще	2	3
69	в ее	3	3
70	как и	11	3
71	в этой	3	3
72	чем в	2	3
73	одной стороны	2	3
74	было бы	3	3
75	должно было	3	3
76	как бы	18	3
77	один из	2	3
78	не может	5	3
79	с одной	2	3
80	в течение	2	3
81	не имеет	3	3
82	в других	15	3
83	их в	4	3
84	но если	3	3
85	представляет собой	2	3
86	в которой	2	3
87	состоит в	15	2
88	в качестве	3	2
89	как в	7	2
90	это не	5	2
91	и все	4	2
92	ироническое отношение	2	2
93	представление о	5	2
94	в образе	2	2
95	если он	2	2
96	это в	2	2
97	нет никаких	2	2
98	не ясно	2	2
99	этом случае	6	2
100	в г	2	2
101	а затем	4	2
102	отличие от	3	2
103	по существу	4	2
104	человека который	2	2
105	за ним	3	2
106	она не	3	2
107	а на	9	2
108	то время	2	2
109	что с	2	2
110	в и	3	2
111	только как	2	2
112	совершенно не	2	2
113	и о	3	2
114	одним из	2	2
115	не совсем	2	2
116	а также	4	2
117	за пределами	2	2
118	в котором	3	2
119	должен быть	2	2
120	представляют собой	7	2
121	не с	2	2
122	после этого	2	2
123	во всех	3	2
124	дело не	2	2
125	в их	2	2
126	как мы	3	2
127	не было	2	2
128	ней в	2	2
129	мы не	6	2
130	из которых	2	2
131	после чего	2	2
132	что для	3	2
133	с другими	3	2
134	в таком	4	2
135	можно было	2	2
136	в своих	2	2
137	и на	6	2
138	людей и	2	2
139	между тем	3	2
140	в руки	2	2
141	вывод что	2	2
142	и ее	2	2
143	на улицу	2	2
144	видно что	2	2
145	и после	3	2
146	е в	10	2
147	из этого	2	2
148	в виду	2	2
