N	2gram	Vinokur_St_2	slovoVRo
1	и в	29	41
2	в нем	4	30
3	и т	9	28
4	т п	3	23
5	в романе	4	21
6	литературного языка	2	20
7	в роман	2	19
8	но и	19	16
9	и не	9	16
10	точки зрения	5	16
11	языка в	2	16
12	не только	19	16
13	а не	5	15
14	то же	2	14
15	может быть	2	14
16	и др	2	14
17	не может	2	14
18	и его	6	14
19	и на	6	14
20	в то	2	14
21	в его	13	13
22	до конца	3	12
23	как бы	5	12
24	в этом	21	12
25	так и	9	11
26	в той	5	10
27	таким образом	10	9
28	все эти	2	9
29	прежде всего	5	8
30	на его	2	8
31	в особенности	2	8
32	но в	8	8
33	как в	3	8
34	с точки	2	8
35	не в	4	7
36	вовсе не	6	7
37	в своей	7	7
38	все же	6	7
39	во всяком	3	7
40	в отношении	2	6
41	того же	2	6
42	при этом	2	6
43	и даже	3	6
44	в них	2	6
45	оно не	3	6
46	к своему	2	6
47	только в	2	6
48	отношении к	3	6
49	с другой	4	5
50	в самом	7	5
51	всяком случае	3	5
52	все это	11	5
53	т д	6	5
54	и к	4	5
55	не на	2	5
56	еще более	4	5
57	в языке	5	5
58	кроме того	4	4
59	одним из	6	4
60	в ней	7	4
61	в их	3	4
62	и с	4	4
63	в которой	11	4
64	поэзии и	2	4
65	с его	2	4
66	как и	2	4
67	том же	2	4
68	и потому	2	4
69	на почве	2	4
70	в процессе	2	4
71	другой стороны	3	4
72	там где	2	4
73	ничего не	4	4
74	никогда не	3	3
75	хотя бы	3	3
76	к тому	10	3
77	в том	27	3
78	более или	2	3
79	и сам	2	3
80	для него	4	3
81	из них	3	3
82	в своем	9	3
83	именно в	4	3
84	того что	5	3
85	вообще не	3	3
86	поэтического языка	2	3
87	также и	2	3
88	в результате	2	3
89	и здесь	3	3
90	не было	3	3
91	в истории	2	3
92	от его	2	3
93	о том	17	3
94	его в	2	3
95	так как	2	3
96	с этим	3	3
97	не могло	3	3
98	бы ни	2	3
99	в себе	2	3
100	с этой	2	3
101	по существу	2	3
102	в качестве	5	3
103	было бы	5	3
104	одной из	3	3
105	он не	9	3
106	или менее	2	3
107	в данном	2	3
108	выражение в	2	3
109	действительно не	2	2
110	же как	3	2
111	в частности	4	2
112	тому что	7	2
113	ни было	2	2
114	его как	2	2
115	так что	3	2
116	ему не	2	2
117	что они	2	2
118	например в	3	2
119	такого рода	2	2
120	где нет	2	2
121	для того	7	2
122	хотя и	4	2
123	и по	3	2
124	в этих	3	2
125	xviii века	2	2
126	мнение о	2	2
127	так же	3	2
128	и те	2	2
129	конечно и	2	2
130	сказать что	2	2
131	потому что	9	2
132	в сочетании	2	2
133	но он	3	2
134	свое выражение	2	2
135	между тем	5	2
136	в чисто	2	2
137	не является	3	2
138	в известном	3	2
139	а как	4	2
140	в котором	7	2
141	дело не	2	2
142	в одном	6	2
143	в духе	2	2
144	к этому	4	2
145	связь с	2	2
146	у нас	3	2
147	том что	27	2
148	но не	3	2
149	по своему	2	2
150	чем он	2	2
151	до сих	6	2
152	совершенно не	2	2
153	и о	4	2
154	наконец в	3	2
155	а также	2	2
156	даже в	2	2
157	сих пор	5	2
158	из романа	2	2
159	в ее	2	2
160	и речи	2	2
161	как раз	8	2
162	а с	3	2
163	на самом	3	2
164	эти слова	2	2
165	в другом	4	2
166	связи с	4	2
167	и вообще	2	2
168	в эту	3	2
