N	2gram	Bakhtin_Fr_5	Tragedij
1	и в	45	18
2	в романе	11	10
3	в году	3	9
4	в этом	14	9
5	не только	14	8
6	и не	15	7
7	и на	5	7
8	и с	10	7
9	может быть	2	7
10	как бы	12	7
11	что он	6	6
12	и его	13	6
13	же время	9	6
14	у него	4	6
15	но в	14	6
16	все же	2	5
17	что это	2	5
18	так и	6	5
19	это не	3	5
20	не может	5	5
21	то же	11	5
22	как и	10	5
23	в то	11	5
24	несмотря на	2	5
25	это очень	2	5
26	но и	10	4
27	то что	2	4
28	в целом	2	4
29	что в	12	4
30	все это	7	4
31	прежде всего	10	4
32	и все	7	4
33	в нем	10	4
34	и даже	4	4
35	так же	8	4
36	том что	7	4
37	но это	5	4
38	в этой	6	4
39	и что	2	4
40	об этом	4	4
41	один из	2	3
42	с ее	5	3
43	о чем	3	3
44	в своем	11	3
45	в конце	7	3
46	как в	3	3
47	все эти	5	3
48	жизнь и	2	3
49	и он	3	3
50	и как	5	3
51	к нему	2	3
52	в его	13	3
53	для него	3	3
54	при этом	2	3
55	своего отца	3	3
56	своего рода	4	3
57	как это	4	3
58	с ним	5	3
59	то есть	25	3
60	еще в	2	2
61	не имеет	3	2
62	перед нами	4	2
63	и до	2	2
64	не могут	2	2
65	но они	3	2
66	что и	7	2
67	очень важно	2	2
68	и за	2	2
69	в отличие	2	2
70	права на	2	2
71	данном случае	2	2
72	в известной	2	2
73	что все	2	2
74	из своих	2	2
75	но эта	2	2
76	с его	7	2
77	к тому	2	2
78	и здесь	4	2
79	ни в	3	2
80	он был	7	2
81	в том	10	2
82	отличие от	2	2
83	не в	7	2
84	тут же	2	2
85	в данном	2	2
86	потому что	7	2
87	с тем	2	2
88	он и	3	2
89	по поводу	4	2
90	о том	4	2
91	его в	5	2
92	и это	4	2
93	в самом	4	2
94	не мог	4	2
95	ничего не	4	2
96	он не	6	2
97	в одном	3	2
98	что она	3	2
