N	2gram	Vinokur_St_2	Vladivir
1	и в	29	31
2	в году	3	30
3	не только	19	24
4	а к	2	22
5	но и	19	19
6	то что	11	18
7	и не	9	17
8	и даже	3	15
9	он был	2	14
10	том что	27	14
11	что в	19	14
12	в этом	21	14
13	и с	4	14
14	что он	13	12
15	по поводу	8	12
16	в его	13	12
17	но в	8	12
18	с его	2	11
19	в том	27	11
20	между прочим	12	11
21	потому что	9	11
22	о том	17	11
23	так что	3	10
24	также и	2	10
25	он не	9	10
26	письме к	8	10
27	никогда не	3	9
28	в течение	6	9
29	только в	2	9
30	в конце	2	9
31	в письме	5	8
32	и по	3	8
33	в то	2	8
34	так как	2	8
35	в москве	2	8
36	для него	4	7
37	кроме того	4	7
38	об этом	6	7
39	как раз	8	7
40	и его	6	7
41	как это	2	7
42	сказать что	2	7
43	еще и	3	7
44	к этому	4	6
45	и к	4	6
46	у нас	3	6
47	в качестве	5	6
48	того же	2	6
49	и потому	2	6
50	и сам	2	6
51	может быть	2	6
52	в котором	7	6
53	так и	9	6
54	не может	2	6
55	то же	2	6
56	и что	6	6
57	на этот	2	6
58	это было	2	6
59	это был	2	5
60	а с	3	5
61	не был	3	5
62	все это	11	5
63	вовсе не	6	5
64	на то	2	5
65	в период	2	5
66	не в	4	5
67	а также	2	5
68	что и	2	5
69	не было	3	5
70	но он	3	5
71	я не	7	4
72	в своем	9	4
73	что у	4	4
74	и теперь	2	4
75	в нем	4	4
76	в себе	2	4
77	и вообще	2	4
78	как и	2	4
79	и как	2	4
80	в этой	2	4
81	такого рода	2	4
82	никак не	2	4
83	хотя и	4	4
84	еще в	2	4
85	в своей	7	4
86	ни с	2	4
87	в истории	2	4
88	в особенности	2	4
89	не раз	2	4
90	он писал	3	4
91	несмотря на	2	4
92	из его	2	4
93	как он	2	4
94	дело в	4	4
95	в россии	3	4
96	в которой	11	4
97	в общем	3	3
98	вот что	3	3
99	только к	2	3
100	к тому	10	3
101	с другой	4	3
102	как в	3	3
103	к своему	2	3
104	но не	3	3
105	но это	3	3
106	что они	2	3
107	более или	2	3
108	по своему	2	3
109	ничего не	4	3
110	года в	3	3
111	все же	6	3
112	на его	2	3
113	вместе с	7	3
114	или менее	2	3
115	другой стороны	3	3
116	в отношении	2	3
117	и речи	2	3
118	таким образом	10	3
119	свидетельствуют о	2	3
120	все эти	2	3
121	если не	2	3
122	не мог	3	3
123	и он	3	3
124	и всегда	2	3
125	был для	4	3
126	что этот	2	3
127	и на	6	3
128	на себя	3	3
129	это время	2	3
130	и здесь	3	3
131	в начале	3	3
132	во время	2	3
133	во многом	2	2
134	тем что	3	2
135	больше всего	2	2
136	с и	2	2
137	с тем	7	2
138	не менее	3	2
139	в частности	4	2
140	по этому	2	2
141	нет и	2	2
142	в них	2	2
143	хотя бы	3	2
144	по существу	2	2
145	не столько	7	2
146	то обстоятельство	4	2
147	и я	2	2
148	в тех	2	2
149	был склонен	2	2
150	одной из	3	2
151	тем не	2	2
152	очень мало	2	2
153	ни в	3	2
154	судить по	2	2
155	тому же	3	2
156	что я	2	2
157	что с	2	2
158	своего времени	4	2
159	при этом	2	2
160	того что	5	2
161	было бы	5	2
162	в это	2	2
163	кажется что	3	2
164	совершенно не	2	2
165	что на	3	2
166	в самом	7	2
167	для своего	2	2
168	обратить внимание	5	2
169	и о	4	2
170	одним из	6	2
171	которую он	2	2
172	на это	2	2
173	всяком случае	3	2
174	даже в	2	2
175	и т	9	2
176	из них	3	2
177	не по	2	2
178	дело не	2	2
179	со стороны	2	2
180	русской истории	3	2
181	и который	2	2
182	только что	2	2
183	так например	7	2
184	т д	6	2
185	и сейчас	3	2
186	на первом	2	2
187	письма к	2	2
188	того чтобы	6	2
189	для того	7	2
190	что такое	2	2
191	по его	3	2
192	как на	9	2
193	ко времени	2	2
194	была не	2	2
195	где он	2	2
196	в результате	2	2
197	во всяком	3	2
198	точки зрения	5	2
199	в каком	2	2
200	обстоятельство что	4	2
201	у меня	3	2
202	в которую	2	2
203	и это	2	2
204	в полной	2	2
