N	2gram	Tiupa_Teor_1	Vvedenie
1	и в	18	32
2	в том	16	31
3	в этом	8	30
4	может быть	17	26
5	том что	9	26
6	не только	16	22
7	таким образом	3	19
8	то что	3	16
9	потому что	3	15
10	не может	4	14
11	в самом	4	13
12	в нем	4	13
13	со стороны	2	13
14	того что	4	12
15	в их	2	12
16	и не	13	12
17	представляет собой	9	12
18	в его	6	12
19	только в	6	12
20	в ее	5	11
21	в данном	8	11
22	что в	9	10
23	но в	9	9
24	и как	2	9
25	между тем	5	9
26	этом смысле	2	9
27	то же	7	9
28	в той	2	9
29	не менее	4	8
30	с другой	7	8
31	это не	2	8
32	а только	3	8
33	тем не	3	8
34	не в	7	8
35	именно в	3	8
36	прежде всего	2	7
37	точки зрения	9	7
38	но не	9	7
39	не могут	2	6
40	из этих	3	6
41	же время	5	6
42	один из	2	6
43	но и	9	6
44	все это	2	6
45	и даже	2	6
46	в то	6	6
47	его в	2	6
48	вовсе не	3	6
49	как и	4	6
50	в качестве	24	6
51	а именно	2	6
52	и его	8	6
53	и это	2	6
54	в какой	2	5
55	как бы	5	5
56	и тем	3	5
57	в целом	3	5
58	данном случае	5	5
59	другой стороны	5	5
60	одним из	2	5
61	с их	2	5
62	сказать что	3	5
63	в них	2	5
64	об этом	2	5
65	по своему	2	5
66	на почве	4	5
67	вместе с	2	5
68	а не	9	5
69	могут быть	4	5
70	особого рода	2	4
71	времени и	2	4
72	одной стороны	2	4
73	так или	4	4
74	в тексте	14	4
75	по отношению	4	4
76	с одной	2	4
77	и что	3	4
78	а в	13	4
79	в первом	2	4
80	как это	8	4
81	мы имеем	7	4
82	еще не	4	4
83	отношению к	4	4
84	в своей	6	4
85	как раз	2	4
86	уже не	4	4
87	и для	2	4
88	или иначе	5	4
89	и то	2	4
90	и ее	3	4
91	в себе	9	4
92	быть названо	2	4
93	и т.д	3	4
94	в частности	16	3
95	в этих	3	3
96	в конце	2	3
97	можно сказать	3	3
98	к тому	2	3
99	что может	2	3
100	в этой	3	3
101	при этом	12	3
102	такого рода	8	3
103	от себя	3	3
104	хотя и	3	3
105	в конечном	6	3
106	не вполне	2	3
107	в виду	5	3
108	отношение к	5	3
109	во второй	7	3
110	дело не	2	3
111	что она	2	3
112	в своем	4	3
113	все эти	2	3
114	и вот	3	3
115	заключается в	2	3
116	так же	2	3
117	языка в	4	3
118	говорить о	3	3
119	если бы	3	3
120	однако в	7	3
121	и к	3	3
122	одной из	2	3
123	в одном	2	3
124	своей природе	2	3
125	а также	6	3
126	что и	2	3
127	дело в	2	3
128	своего рода	7	3
129	в текстах	4	3
130	может служить	2	3
131	времени в	2	3
132	может оказаться	2	3
133	как будто	2	3
134	в области	4	3
135	казалось бы	2	2
136	и другие	2	2
137	к действительности	3	2
138	никогда не	4	2
139	тому что	2	2
140	в отношении	3	2
141	или иной	4	2
142	соответствии с	2	2
143	мог бы	3	2
144	жизни как	4	2
145	в форме	2	2
146	что можно	3	2
147	во втором	3	2
148	в принципе	4	2
149	не следует	4	2
150	и здесь	2	2
151	так и	10	2
152	ни к	3	2
153	состоит в	17	2
154	не с	3	2
155	у нас	2	2
156	в соответствии	3	2
157	того же	3	2
158	без остатка	2	2
159	или иным	3	2
160	этого слова	3	2
161	быть и	2	2
162	тогда как	15	2
163	между ними	4	2
164	с точки	3	2
165	в другом	3	2
166	однако с	2	2
