N	2gram	Nazirov_Tr_1	VeschiIm
1	не может	5	33
2	не только	8	31
3	может быть	7	29
4	и не	7	28
5	и в	18	26
6	то что	4	24
7	не просто	2	18
8	что я	4	16
9	что она	2	14
10	и что	4	13
11	что это	5	12
12	но и	4	12
13	все же	5	12
14	и то	2	12
15	и ее	2	12
16	то же	5	10
17	уже не	2	10
18	как бы	7	10
19	потому что	2	10
20	в том	2	9
21	в самом	2	9
22	и с	7	9
23	прежде всего	4	9
24	но это	4	8
25	с ее	3	8
26	в себе	4	8
27	и это	2	8
28	ничего не	2	8
29	в то	5	7
30	его в	2	7
31	том что	4	7
32	от всего	2	7
33	в этом	9	7
34	так что	2	6
35	и как	3	6
36	что в	4	6
37	для него	3	6
38	должно быть	3	6
39	но в	6	6
40	бы и	2	6
41	с ним	3	6
42	это не	5	5
43	не в	2	5
44	еще не	4	5
45	и до	2	5
46	с тем	2	5
47	отнюдь не	3	5
48	в ее	2	5
49	одна из	2	5
50	я не	4	4
51	в своем	3	4
52	как же	2	4
53	же время	6	4
54	то и	2	4
55	и даже	4	4
56	о том	2	4
57	и все	4	4
58	как и	5	4
59	что и	2	4
60	в данном	2	4
61	тем что	2	4
62	она должна	2	3
63	никогда не	2	3
64	вопрос о	2	3
65	к тому	2	3
66	несмотря на	5	3
67	было в	2	3
68	и сам	3	3
69	в нем	4	3
70	отношение к	2	3
71	все это	4	3
72	в одном	2	3
73	один из	3	3
74	что он	6	3
75	так и	5	3
76	это уже	2	2
77	в частности	2	2
78	ни в	2	2
79	но все	2	2
80	мог бы	3	2
81	данном случае	2	2
82	не мог	2	2
83	так же	4	2
84	жизнь и	3	2
85	в первом	2	2
86	как это	3	2
87	то есть	3	2
88	ничем не	2	2
89	но они	2	2
90	о чем	3	2
91	а я	5	2
92	об этом	4	2
93	он не	2	2
94	только к	2	2
95	как в	3	2
96	и его	6	2
97	тут же	2	2
98	не случайно	2	2
99	состоит из	2	2
