N	2gram	Propp_Morf_1	Marksizm
1	точки зрения	2	34
2	может быть	52	26
3	и не	12	26
4	не может	14	24
5	с точки	2	20
6	и в	13	19
7	таким образом	21	17
8	в этом	14	16
9	как бы	3	15
10	прежде всего	9	13
11	как мы	6	13
12	как и	3	12
13	и пр	37	12
14	так и	6	11
15	если мы	5	11
16	и для	2	11
17	связи с	10	11
18	ни было	2	10
19	самом деле	4	10
20	в результате	7	9
21	только в	2	9
22	бы то	3	8
23	но и	4	8
24	то ни	3	8
25	друг друга	3	8
26	не только	4	8
27	все же	7	8
28	то что	8	8
29	в связи	9	7
30	все эти	2	7
31	так же	3	7
32	но в	2	7
33	во всех	4	7
34	то же	7	7
35	а не	11	7
36	в том	6	6
37	в настоящее	3	6
38	в пределах	3	6
39	другой стороны	4	6
40	и здесь	5	6
41	настоящее время	3	6
42	мы не	8	6
43	ничего не	4	6
44	с другой	8	5
45	не в	3	5
46	совершается в	2	5
47	в начале	3	5
48	к этому	3	5
49	вовсе не	4	5
50	входит в	2	5
51	того чтобы	3	5
52	хотя бы	4	5
53	этот вопрос	2	5
54	во всяком	2	5
55	ясно что	5	5
56	что в	8	4
57	не менее	5	4
58	вопрос о	7	4
59	как же	2	4
60	не является	3	4
61	от того	3	4
62	здесь мы	3	4
63	а в	7	4
64	сказать что	2	4
65	с этим	11	4
66	еще не	3	4
67	было бы	3	4
68	не будем	4	4
69	лишь с	2	4
70	что же	2	4
71	как в	3	4
72	для того	2	4
73	оно может	3	4
74	далеко не	5	4
75	и есть	2	3
76	в какой	3	3
77	можно сказать	2	3
78	и как	5	3
79	в большинстве	3	3
80	из них	3	3
81	по отношению	4	3
82	того что	3	3
83	не имеет	2	3
84	между тем	5	3
85	в то	3	3
86	его в	2	3
87	большинстве случаев	3	3
88	не существует	3	3
89	он может	2	3
90	первом случае	3	3
91	не могут	4	3
92	в каком	2	3
93	и к	4	3
94	этом случае	8	3
95	том что	4	3
96	мы должны	3	3
97	в сущности	3	3
98	он не	3	3
99	в первом	3	3
100	быть и	2	3
101	целый ряд	3	3
102	это и	2	3
103	на самом	4	3
104	но все	3	3
105	этой школы	4	3
106	нашей работы	2	3
107	и ее	3	3
108	в которой	3	3
109	независимо от	3	2
110	в частности	2	2
111	тому что	4	2
112	тем не	5	2
113	но для	2	2
114	но если	7	2
115	всяком случае	2	2
116	и др	10	2
117	эти формы	2	2
118	в нашем	3	2
119	и их	2	2
120	это положение	2	2
121	пр и	2	2
122	это так	2	2
123	во втором	3	2
124	можно было	2	2
125	о том	2	2
126	так как	16	2
127	ни к	2	2
128	если бы	2	2
129	между собой	4	2
130	что он	4	2
131	же они	2	2
132	у нас	2	2
133	то в	3	2
134	этот момент	3	2
135	одна из	4	2
136	они и	3	2
137	в качестве	5	2
138	она не	2	2
139	к тому	4	2
140	на первый	3	2
141	может существовать	3	2
142	то как	2	2
143	не все	6	2
144	что и	7	2
145	отношению к	4	2
146	благодаря этому	3	2
147	из которых	3	2
148	что такое	3	2
149	и иных	2	2
150	или в	4	2
151	мы пока	2	2
152	связана с	3	2
153	то мы	4	2
154	мы можем	2	2
155	тем что	4	2
156	могут быть	16	2
157	в другом	2	2
158	ту же	2	2
159	могла бы	4	2
160	и вне	3	2
161	без всякой	2	2
162	там где	5	2
