N	2gram	Voloshinov_1	VelikijI
1	и не	14	20
2	и в	38	16
3	то что	8	9
4	так как	7	9
5	еще не	3	8
6	и потому	2	7
7	а не	6	7
8	в мире	2	5
9	хотя и	3	5
10	как бы	28	5
11	но и	13	5
12	все это	4	5
13	того что	4	5
14	что он	2	4
15	в нем	4	4
16	как и	10	4
17	что мы	11	4
18	в котором	3	4
19	так и	6	4
20	потому что	5	4
21	в этом	10	4
22	в ней	8	4
23	и все	4	4
24	в его	6	4
25	с его	7	3
26	если не	3	3
27	в этих	2	3
28	в конце	6	3
29	в жизни	2	3
30	в том	2	3
31	не в	6	3
32	но это	2	3
33	тот же	2	3
34	к тому	4	3
35	во всех	6	3
36	никогда не	7	3
37	что и	3	3
38	жизни и	3	3
39	как не	2	3
40	в своей	2	3
41	бы и	2	3
42	тому что	5	3
43	не было	2	3
44	лишь в	4	3
45	к чему	2	3
46	хотя бы	18	3
47	и для	3	3
48	должно быть	2	3
49	их в	3	3
50	все эти	2	3
51	нет ничего	2	3
52	но в	5	3
53	до того	3	2
54	с тем	8	2
55	его и	3	2
56	это не	3	2
57	прежде всего	21	2
58	что было	3	2
59	для нас	3	2
60	да и	4	2
61	том что	3	2
62	а к	2	2
63	но не	2	2
64	не к	3	2
65	конечно не	3	2
66	для него	3	2
67	для них	2	2
68	и сам	2	2
69	того чтобы	7	2
70	не только	27	2
71	нет и	3	2
72	один из	4	2
73	но мы	2	2
74	не с	3	2
75	не будет	3	2
76	всего в	3	2
77	в форме	6	2
78	и тогда	2	2
79	а с	5	2
80	тем что	2	2
81	мы не	9	2
82	уже не	4	2
83	не так	3	2
84	его не	2	2
85	а в	5	2
86	с ним	2	2
87	можно было	4	2
88	и то	3	2
89	между тем	3	2
90	только в	6	2
91	и это	7	2
