N	2gram	Tiupa_Hudo_2	OGranits
1	и в	28	13
2	и его	5	12
3	прежде всего	3	9
4	не может	4	8
5	и не	18	8
6	может быть	8	8
7	точки зрения	2	7
8	в его	11	7
9	не только	11	6
10	то что	6	6
11	только в	4	6
12	как бы	5	6
13	все же	2	5
14	с точки	2	5
15	и эта	2	5
16	хотя бы	2	5
17	и т.д	2	5
18	то же	6	4
19	не является	2	4
20	в своей	6	4
21	все это	3	4
22	еще и	2	4
23	на фоне	3	4
24	в двух	2	4
25	лишь в	2	4
26	было бы	3	4
27	но в	2	4
28	и уже	4	3
29	отношению к	7	3
30	что в	5	3
31	никогда не	5	3
32	но и	9	3
33	так и	8	3
34	что же	2	3
35	по отношению	7	3
36	не как	2	3
37	и все	7	3
38	в одном	3	3
39	превращается в	4	3
40	со всей	2	3
41	самом деле	3	3
42	в ее	18	3
43	да и	5	3
44	как и	11	3
45	не в	13	3
46	и то	2	3
47	не столько	2	3
48	в себе	9	3
49	говорить о	2	3
50	и для	2	3
51	не менее	5	2
52	для себя	6	2
53	а как	2	2
54	в нем	3	2
55	своего рода	16	2
56	данном случае	2	2
57	а не	14	2
58	с другой	3	2
59	от своего	2	2
60	в них	3	2
61	а в	6	2
62	с одной	3	2
63	вовсе не	2	2
64	те же	2	2
65	роль в	2	2
66	или иного	2	2
67	к тому	7	2
68	и к	2	2
69	как в	5	2
70	если бы	6	2
71	в г	2	2
72	в том	15	2
73	так же	3	2
74	том что	19	2
75	с ними	3	2
76	в данном	2	2
77	что они	4	2
78	в этом	13	2
79	тем что	6	2
80	между тем	8	2
81	при этом	11	2
82	нуждается в	2	2
83	и ее	3	2
84	соответствии с	3	2
85	для него	5	2
86	в другом	2	2
87	одной стороны	3	2
88	несмотря на	3	2
89	того или	2	2
90	мы уже	3	2
91	нет ничего	2	2
92	в самом	5	2
93	героя и	3	2
94	вслед за	4	2
95	в ней	3	2
96	а также	2	2
