N	2gram	Propp_Isto_2	RusskieA
1	и в	15	29
2	т е	29	24
3	что в	12	22
4	том что	7	22
5	в том	6	22
6	как бы	6	18
7	состоит в	2	15
8	в других	3	15
9	и другие	4	14
10	может быть	17	13
11	так как	14	13
12	во время	2	12
13	как и	2	11
14	одна из	2	11
15	в этом	11	11
16	все это	3	10
17	в лесу	15	10
18	и с	4	10
19	не только	18	10
20	о том	3	9
21	в некоторых	2	9
22	а в	12	9
23	в дом	3	8
24	показывает что	4	8
25	или на	4	8
26	но и	14	8
27	ее в	2	8
28	его в	10	8
29	из леса	2	7
30	мы видели	2	7
31	как в	5	7
32	или в	2	7
33	представляют собой	3	7
34	с тем	9	6
35	мы не	3	6
36	этом случае	5	6
37	в обряде	7	6
38	еще не	9	6
39	для нас	4	6
40	вместе с	7	6
41	таким образом	7	6
42	при этом	4	6
43	того чтобы	2	6
44	и на	4	6
45	на нее	2	6
46	мы имеем	15	6
47	представление о	2	5
48	потому что	9	5
49	это не	2	5
50	то что	12	5
51	и что	6	5
52	но не	2	5
53	эти обряды	2	5
54	и т	19	5
55	не может	5	5
56	т д	18	5
57	будто бы	2	5
58	но в	6	5
59	видели что	3	4
60	именно в	2	4
61	не все	2	4
62	вопрос о	4	4
63	а затем	2	4
64	по существу	2	4
65	так что	6	4
66	не в	7	4
67	в земле	2	4
68	предположить что	3	4
69	этих случаях	10	4
70	из них	2	4
71	к нему	5	4
72	же как	5	4
73	а также	2	4
74	в русских	3	4
75	так же	13	4
76	то же	10	4
77	этих обрядов	2	4
78	мы рассмотрим	2	4
79	а не	5	4
80	эти представления	3	4
81	в которых	2	4
82	их в	2	4
83	как это	3	4
84	тем что	4	3
85	должен был	3	3
86	в этих	11	3
87	в качестве	3	3
88	должно было	3	3
89	главным образом	2	3
90	живет в	2	3
91	она не	5	3
92	что здесь	4	3
93	в лес	27	3
94	того что	3	3
95	было бы	5	3
96	руки и	4	3
97	что ее	3	3
98	что она	5	3
99	но если	3	3
100	в котором	5	3
101	с другими	2	3
102	во всех	2	3
103	не будем	4	3
104	связь с	4	3
105	а именно	3	3
106	в свете	2	3
107	бросают в	2	3
108	все эти	4	3
109	д к	3	3
110	и по	2	3
111	к зеленин	2	3
112	выше мы	3	3
113	тому как	3	3
114	леса и	2	3
115	но он	4	3
116	подобно тому	3	3
117	в этой	4	3
118	в таких	2	3
119	что это	6	3
120	в эту	2	3
121	связи с	8	2
122	об этом	11	2
123	могут быть	2	2
124	никогда не	15	2
125	с другой	2	2
126	представления о	5	2
127	не столько	2	2
128	из этих	3	2
129	прежде всего	5	2
130	магическую силу	2	2
131	не что	2	2
132	что и	6	2
133	здесь имеем	3	2
134	к ней	2	2
135	царство мертвых	6	2
136	в новой	2	2
137	кроме того	2	2
138	этого обряда	2	2
139	на другой	2	2
140	в глаза	2	2
141	здесь в	2	2
142	после того	3	2
143	одной стороны	3	2
144	и пр	7	2
145	не совсем	3	2
146	в него	2	2
147	в виду	2	2
148	силу и	3	2
149	один из	8	2
150	также в	2	2
151	все же	9	2
152	после этого	4	2
153	дело не	4	2
154	мнение что	2	2
155	что при	5	2
156	в их	3	2
157	смерти и	7	2
158	того как	4	2
159	а с	2	2
160	не было	2	2
161	должны были	8	2
162	с одной	4	2
163	на самом	2	2
164	здесь мы	3	2
165	эта связь	3	2
166	мы здесь	6	2
167	отправляется в	2	2
168	силе огня	2	2
169	не говорится	2	2
170	и для	2	2
171	можно было	5	2
172	право на	3	2
173	так в	3	2
174	и то	2	2
175	также что	2	2
176	в руки	2	2
177	одно из	2	2
178	с этим	5	2
179	и ее	2	2
180	под названием	2	2
181	что иное	2	2
182	видно что	6	2
183	к таким	2	2
184	представляет собой	5	2
185	когда мы	2	2
186	заметить что	2	2
187	в которой	2	2
188	иное как	2	2
