N	2gram	Propp_Isto_6	Tragedij
1	и в	26	18
2	в этом	12	9
3	не только	10	8
4	и не	10	7
5	и на	12	7
6	и с	6	7
7	может быть	11	7
8	как бы	4	7
9	в образе	10	6
10	что он	9	6
11	и его	7	6
12	у него	7	6
13	но в	7	6
14	все же	8	5
15	что это	2	5
16	так и	5	5
17	это не	4	5
18	не может	6	5
19	то же	5	5
20	как и	5	5
21	в то	5	5
22	но и	9	4
23	то что	6	4
24	что в	12	4
25	прежде всего	4	4
26	в нем	8	4
27	так же	2	4
28	том что	10	4
29	но это	4	4
30	в этой	2	4
31	и что	5	4
32	в себе	3	4
33	еще не	9	4
34	один из	3	3
35	о чем	2	3
36	в своем	2	3
37	никто не	2	3
38	как в	6	3
39	все эти	8	3
40	тем самым	2	3
41	и он	4	3
42	и как	2	3
43	в его	5	3
44	при этом	3	3
45	и сам	2	3
46	своего рода	2	3
47	как будто	3	3
48	как это	5	3
49	с ним	8	3
50	еще в	3	2
51	не имеет	2	2
52	перед нами	2	2
53	и до	2	2
54	превратилось в	2	2
55	что и	4	2
56	в частности	3	2
57	данном случае	3	2
58	то и	2	2
59	но при	2	2
60	вопрос о	3	2
61	ее к	3	2
62	голод и	2	2
63	уже не	7	2
64	с его	4	2
65	к тому	2	2
66	не так	2	2
67	ни в	2	2
68	он был	2	2
69	в том	12	2
70	но все	2	2
71	так что	3	2
72	не в	3	2
73	что этот	2	2
74	точно так	2	2
75	в данном	3	2
76	и то	3	2
77	одна из	2	2
78	потому что	13	2
79	этим объясняется	3	2
80	с тем	4	2
81	тем что	5	2
82	в виде	6	2
83	он и	2	2
84	и ее	3	2
85	как у	2	2
86	в это	4	2
87	о том	7	2
88	его в	5	2
89	что эти	2	2
90	и это	8	2
91	нет в	3	2
92	во сне	3	2
93	ничего не	2	2
94	он не	2	2
95	в одном	3	2
96	что она	3	2
97	никогда не	13	2
