N	2gram	Trubetskoy_1	Mirosoze
1	может быть	10	30
2	не только	10	29
3	и в	26	28
4	не может	4	28
5	но и	9	25
6	а не	5	25
7	он не	4	24
8	в этом	15	20
9	не было	2	18
10	не в	2	16
11	потому что	7	16
12	никогда не	5	14
13	в нем	4	13
14	и это	2	12
15	для него	3	11
16	в самом	4	11
17	и не	8	11
18	что в	9	10
19	в своем	3	10
20	в мире	5	10
21	прежде всего	2	10
22	и все	2	10
23	что он	4	10
24	бога и	4	10
25	и потому	6	10
26	с тем	18	9
27	в его	5	9
28	но не	8	8
29	в котором	4	8
30	в самой	2	7
31	того что	3	7
32	в конце	6	7
33	но в	7	7
34	к нему	7	7
35	в себе	6	7
36	в том	11	6
37	в этой	4	6
38	все это	6	6
39	человек должен	2	6
40	лишь в	5	6
41	и на	2	6
42	вместе с	15	6
43	только в	4	6
44	в которой	3	6
45	не могут	2	5
46	добра и	2	5
47	то что	7	5
48	уже в	2	4
49	в этих	4	4
50	с этой	3	4
51	и вместе	4	4
52	не к	2	4
53	отношение к	5	4
54	и по	4	4
55	а в	4	4
56	в которых	4	4
57	точки зрения	13	4
58	должен был	4	4
59	в них	2	4
60	не как	2	4
61	один из	2	4
62	к концу	3	4
63	что и	6	4
64	уже не	3	4
65	на пути	2	4
66	к тому	6	3
67	но если	2	3
68	от человека	2	3
69	заключает в	2	3
70	не имеет	5	3
71	его не	2	3
72	особенно в	2	3
73	так как	9	3
74	то есть	4	3
75	и с	10	3
76	с его	2	3
77	одно из	2	3
78	к богу	3	3
79	том что	7	3
80	учение о	4	3
81	этот путь	2	3
82	конечно не	2	3
83	когда он	3	3
84	когда человек	2	3
85	хотя бы	3	3
86	за собой	3	2
87	связана с	2	2
88	по своему	2	2
89	и мир	2	2
90	и от	4	2
91	и нет	3	2
92	в свою	2	2
93	для того	5	2
94	одним из	2	2
95	на этот	4	2
96	в виду	2	2
97	жизни и	2	2
98	отличается от	2	2
99	все эти	6	2
100	у всех	2	2
101	и что	4	2
102	и те	3	2
103	в путях	2	2
104	людей и	2	2
105	сказать что	2	2
106	в начале	2	2
107	по своей	2	2
108	как бы	12	2
109	о том	6	2
110	в россии	2	2
111	если бы	3	2
112	к этому	3	2
113	отношению к	3	2
114	в то	4	2
115	все что	2	2
116	связано с	2	2
117	до сих	5	2
118	и к	5	2
119	относится к	2	2
120	все же	6	2
121	по сравнению	2	2
122	с ней	3	2
123	сих пор	5	2
124	приводит к	2	2
125	оказывается что	3	2
126	того чтобы	5	2
127	и у	8	2
128	и как	3	2
129	и для	5	2
130	конце концов	3	2
131	он в	2	2
132	душа его	2	2
133	с того	2	2
