N	2gram	Tiupa_Anal_3	VelikijI
1	и не	12	20
2	и в	18	16
3	то что	2	9
4	еще не	6	8
5	что они	3	7
6	и потому	2	7
7	а не	9	7
8	не есть	4	6
9	в мире	5	5
10	хотя и	2	5
11	как бы	10	5
12	но и	13	5
13	все это	3	5
14	по пути	4	5
15	на себя	2	5
16	что он	4	4
17	в нем	2	4
18	как и	14	4
19	что мы	2	4
20	так и	14	4
21	что не	3	4
22	в этом	14	4
23	в ней	2	4
24	говорить о	3	4
25	и все	2	4
26	в его	7	4
27	с его	8	3
28	что в	9	3
29	в них	2	3
30	в конце	5	3
31	в жизни	2	3
32	в том	9	3
33	не в	6	3
34	к тому	6	3
35	во всех	2	3
36	никогда не	5	3
37	что и	5	3
38	бы и	2	3
39	не было	3	3
40	лишь в	5	3
41	и для	2	3
42	личности и	2	3
43	все эти	2	3
44	но в	2	3
45	с тем	2	2
46	это не	2	2
47	прежде всего	5	2
48	да и	2	2
49	том что	12	2
50	одна из	2	2
51	но не	7	2
52	для него	6	2
53	и сам	4	2
54	не только	22	2
55	один из	2	2
56	не с	2	2
57	не будет	3	2
58	освобождения от	2	2
59	в форме	2	2
60	тем что	2	2
61	в себя	2	2
62	им что	2	2
63	мы не	3	2
64	уже не	5	2
65	более чем	2	2
66	его не	3	2
67	а в	10	2
68	от своей	2	2
69	между тем	5	2
70	могут быть	2	2
71	только в	2	2
72	во всяком	2	2
