N	2gram	Berdyaev_M_1	StatiiOP
1	и в	28	29
2	том что	3	27
3	в том	6	27
4	в этом	20	21
5	но и	25	19
6	что в	10	19
7	не только	29	19
8	о том	2	17
9	что он	10	13
10	в его	9	13
11	то что	5	11
12	все это	6	11
13	в которой	6	11
14	к тому	3	10
15	т е	2	10
16	в своем	10	9
17	и не	11	9
18	потому что	16	9
19	он не	24	9
20	но в	7	8
21	с тем	9	7
22	в самом	11	7
23	в ней	15	7
24	в виду	2	7
25	в котором	8	7
26	в своей	15	7
27	вместе с	6	7
28	для того	2	7
29	вопрос о	2	6
30	до сих	2	6
31	одним из	2	6
32	все же	2	6
33	и что	2	6
34	того чтобы	2	6
35	и его	9	6
36	и на	6	6
37	о чем	2	5
38	прежде всего	10	5
39	в той	2	5
40	было бы	10	5
41	как бы	2	5
42	сих пор	2	5
43	а не	25	5
44	того что	7	5
45	точки зрения	4	5
46	а как	2	4
47	должен был	4	4
48	к этому	2	4
49	не в	16	4
50	для него	11	4
51	и к	2	4
52	в нем	13	4
53	ничего не	3	4
54	и с	3	4
55	не был	7	3
56	в этих	4	3
57	но он	9	3
58	вообще не	2	3
59	с этим	3	3
60	не мог	3	3
61	у нас	5	3
62	в начале	2	3
63	но не	8	3
64	до конца	14	3
65	никогда не	14	3
66	как в	2	3
67	в их	4	3
68	вряд ли	3	3
69	не было	18	3
70	тем что	4	3
71	и он	12	3
72	и по	4	3
73	хотя бы	3	3
74	его не	3	3
75	отношении к	2	3
76	в россии	2	3
77	xix века	4	3
78	с его	3	2
79	если бы	2	2
80	в них	4	2
81	с этой	4	2
82	в конце	7	2
83	и я	5	2
84	что и	4	2
85	его как	2	2
86	он был	14	2
87	в ее	3	2
88	как и	5	2
89	и как	2	2
90	в этой	6	2
91	в истории	2	2
92	в то	2	2
93	по своему	2	2
94	о своей	2	2
95	может быть	30	2
96	потому ли	2	2
97	и потому	10	2
98	еще в	2	2
99	нет и	5	2
100	только в	6	2
101	не к	4	2
102	также и	2	2
103	ни с	4	2
104	и самый	2	2
105	не может	28	2
106	пишет он	2	2
107	истории и	2	2
108	все эти	2	2
109	у всех	2	2
110	на этот	2	2
111	не имеет	3	2
112	особенно в	3	2
113	и те	2	2
114	сказать что	2	2
115	в движении	3	2
116	которую он	2	2
117	эти слова	2	2
118	в каком	2	2
119	в себе	7	2
120	от его	2	2
121	его в	3	2
122	как он	2	2
123	и это	12	2
124	том смысле	2	2
125	так как	3	2
126	это очень	3	2
127	о мире	2	2
