N	2gram	Kanaev_Sov_1	Myshleni
1	в том	4	33
2	точки зрения	12	26
3	в развитии	4	26
4	в этом	7	19
5	с точки	5	18
6	и в	7	15
7	не только	4	15
8	что в	2	14
9	таким образом	11	14
10	и т.д	3	12
11	в самом	2	11
12	в целом	4	10
13	было бы	3	10
14	мы не	9	10
15	мы можем	6	10
16	может быть	12	9
17	не может	17	9
18	не в	3	8
19	и что	2	8
20	мы знаем	2	7
21	с одной	2	7
22	и не	6	7
23	как бы	4	7
24	тот же	2	7
25	во всяком	2	7
26	что это	2	6
27	точку зрения	4	6
28	как мы	2	6
29	в этой	3	6
30	мы видели	4	6
31	развития в	2	6
32	мы должны	4	6
33	как он	3	6
34	но в	3	6
35	в зависимости	4	6
36	и к	3	6
37	как и	6	6
38	зависимости от	4	6
39	как известно	2	6
40	вместе с	4	6
41	если мы	4	6
42	самом деле	2	6
43	на этот	2	6
44	всяком случае	2	6
45	это не	4	5
46	уже в	3	5
47	вопрос о	4	5
48	с помощью	4	5
49	и даже	2	5
50	видели что	3	5
51	приводит к	2	5
52	то же	3	5
53	прежде всего	5	4
54	из этих	2	4
55	что все	2	4
56	для нас	3	4
57	все это	3	4
58	а в	4	4
59	их в	4	4
60	так как	4	4
61	все же	3	4
62	мы видим	2	4
63	в которой	2	4
64	не можем	7	3
65	при этом	3	3
66	из двух	3	3
67	но мы	3	3
68	из них	4	3
69	все эти	5	3
70	и по	2	3
71	в результате	6	3
72	и все	3	3
73	с этим	2	3
74	что при	2	3
75	что она	3	3
76	а не	3	3
77	из которых	2	3
78	значение в	2	3
79	он в	3	3
80	в отличие	2	3
81	отличие от	2	3
82	ничего не	6	3
83	не могут	2	2
84	и есть	2	2
85	так называемых	3	2
86	каждая из	2	2
87	или иной	2	2
88	же это	4	2
89	самый вопрос	2	2
90	но все	2	2
91	не дает	2	2
92	и мы	3	2
93	друг с	2	2
94	на этой	3	2
95	могут быть	2	2
96	в некоторых	2	2
97	свою собственную	2	2
98	говорить о	2	2
99	же самое	2	2
100	в одном	3	2
101	все те	2	2
102	у него	2	2
103	отнюдь не	3	2
104	он должен	2	2
105	этих двух	2	2
106	в один	2	2
107	следующим образом	3	2
108	в его	2	2
109	нет и	4	2
110	что же	5	2
111	к чему	2	2
112	той же	2	2
113	в себе	3	2
114	с другом	2	2
