N	2gram	Vygotskiy__1	Problema
1	и не	9	28
2	не только	16	24
3	только в	6	23
4	в виде	2	22
5	вовсе не	3	21
6	в том	24	20
7	и в	23	20
8	ни в	4	17
9	все эти	4	16
10	смысле слова	3	15
11	то что	17	15
12	потому что	6	15
13	было бы	4	14
14	но и	14	14
15	точки зрения	26	14
16	перед нами	5	13
17	не в	4	13
18	в нашем	2	12
19	в себе	6	12
20	том что	21	12
21	прежде всего	10	11
22	по себе	5	11
23	с точки	18	11
24	в качестве	9	10
25	не является	9	10
26	так и	5	10
27	и его	6	10
28	едва ли	2	10
29	может быть	14	9
30	все это	6	9
31	и даже	2	9
32	в этом	17	9
33	если бы	5	8
34	что он	7	8
35	таким образом	26	8
36	в результате	4	8
37	во всяком	3	8
38	и все	5	8
39	но в	5	8
40	с другой	10	7
41	ясно что	2	7
42	мы не	7	7
43	и потому	2	7
44	и тем	6	7
45	то же	8	7
46	именно в	6	7
47	а не	3	7
48	сказать что	11	7
49	и с	9	7
50	хотя бы	4	7
51	об этом	3	6
52	всех этих	2	6
53	и от	3	6
54	как и	14	6
55	есть не	2	6
56	при этом	4	6
57	другой стороны	9	6
58	в данном	2	6
59	сам по	3	6
60	в каком	3	6
61	же самое	3	6
62	но не	4	5
63	хотя и	2	5
64	в смысле	2	5
65	можно сказать	5	5
66	в ее	2	5
67	и если	3	5
68	жизни и	2	5
69	вместе с	9	5
70	данном случае	2	5
71	как в	4	5
72	так же	16	5
73	то и	3	5
74	не может	12	5
75	в них	2	5
76	так как	7	5
77	если мы	2	5
78	уже не	2	5
79	в этих	2	5
80	о том	6	5
81	уже в	3	4
82	с тем	7	4
83	в отношении	10	4
84	в какой	5	4
85	или даже	2	4
86	в одном	4	4
87	и ее	7	4
88	что его	2	4
89	в этой	7	4
90	тем самым	5	4
91	указывает на	2	4
92	несмотря на	2	4
93	в своей	4	4
94	что она	4	4
95	как бы	11	4
96	какой мере	2	4
97	всяком случае	3	4
98	тем более	5	4
99	не имеет	2	4
100	во всех	3	4
101	с этим	6	4
102	а в	2	4
103	и наконец	2	4
104	можно было	3	4
105	как раз	4	4
106	в то	7	4
107	к тому	4	3
108	и более	5	3
109	независимо от	6	3
110	для всех	4	3
111	если не	3	3
112	он как	2	3
113	с собой	2	3
114	и к	4	3
115	является для	2	3
116	как мы	5	3
117	для него	2	3
118	и как	5	3
119	но все	2	3
120	связи с	3	3
121	учение о	3	3
122	сознания и	3	3
123	себе и	2	3
124	в его	14	3
125	только для	3	3
126	в зависимости	2	3
127	что в	14	3
128	бы и	2	3
129	в своем	3	3
130	самом деле	3	3
131	для того	15	3
132	из которых	3	3
133	что мы	5	3
134	в самых	3	3
135	с другими	2	3
136	и на	8	3
137	тем что	6	3
138	и мышления	11	3
139	к его	2	3
140	в другом	7	3
141	мы должны	5	3
142	зависимости от	2	3
143	без этого	2	3
144	как это	2	3
145	из этого	5	3
146	в области	3	3
147	мы можем	6	3
148	в известном	2	2
149	за собой	2	2
150	мы хотели	3	2
151	все время	6	2
152	в частности	2	2
153	между собой	5	2
154	для этого	5	2
155	столь же	6	2
156	в конце	2	2
157	на все	3	2
158	представить себе	5	2
159	для себя	4	2
160	что именно	3	2
161	с его	4	2
162	что они	3	2
163	заключается в	8	2
164	то время	5	2
165	в настоящей	4	2
166	говорит что	4	2
167	со всеми	2	2
168	что это	3	2
169	в самом	7	2
170	настоящей работе	2	2
171	за пределы	2	2
172	том чтобы	3	2
173	он не	5	2
174	действительность в	2	2
175	время как	4	2
176	в котором	4	2
177	что перед	2	2
178	не могли	2	2
179	все же	3	2
180	не к	2	2
181	можно назвать	2	2
182	с ней	2	2
183	мы только	2	2
184	хотели бы	3	2
185	мы находим	3	2
186	и что	5	2
187	того чтобы	17	2
188	только что	4	2
189	действия и	2	2
190	почти всегда	2	2
191	функции в	4	2
192	в значительной	2	2
193	приходит к	3	2
194	говорить о	2	2
195	и то	3	2
196	во всем	3	2
197	но этот	2	2
198	и это	3	2
199	дело в	2	2
200	в чем	4	2
201	в которой	3	2
202	учения о	6	2
