N	2gram	Tiupa_Anal_2	VelikijI
1	и не	12	20
2	и в	16	16
3	то что	7	9
4	еще не	2	8
5	а не	10	7
6	не есть	2	6
7	в мире	6	5
8	хотя и	4	5
9	как бы	10	5
10	но и	12	5
11	все это	4	5
12	того что	2	5
13	на себя	5	5
14	ты не	2	5
15	что все	2	4
16	и я	2	4
17	как и	14	4
18	все что	2	4
19	в котором	2	4
20	так и	15	4
21	в этом	18	4
22	говорить о	6	4
23	и все	3	4
24	в его	2	4
25	что в	2	3
26	в этих	2	3
27	превращается в	2	3
28	в конце	4	3
29	в том	12	3
30	не в	4	3
31	к тому	7	3
32	во всех	4	3
33	никогда не	3	3
34	что и	3	3
35	в своей	2	3
36	от которого	2	3
37	лишь в	9	3
38	не имеет	2	3
39	и для	2	3
40	личности и	2	3
41	но в	6	3
42	тот кто	2	2
43	прежде всего	3	2
44	и свободы	2	2
45	том что	12	2
46	но не	4	2
47	для него	4	2
48	и сам	3	2
49	вслед за	2	2
50	и во	2	2
51	не только	16	2
52	один из	2	2
53	не с	4	2
54	и за	3	2
55	всего в	2	2
56	тем что	3	2
57	в себя	4	2
58	уже не	4	2
59	не так	4	2
60	а в	3	2
61	с ним	2	2
62	можно было	3	2
63	и то	3	2
64	между тем	2	2
65	могут быть	10	2
66	о свободе	2	2
67	только в	4	2
