N	2gram	Savitsky_P_1	FransuaR
1	и в	14	56
2	в его	2	18
3	в этом	10	14
4	в том	9	13
5	в то	7	12
6	как бы	4	11
7	в них	2	11
8	то же	9	11
9	же время	7	10
10	только в	7	9
11	но и	6	9
12	и не	12	9
13	том что	4	8
14	не только	17	8
15	в нем	3	8
16	во всех	2	8
17	все это	2	8
18	и с	2	8
19	в частности	2	7
20	прежде всего	3	6
21	в ее	2	6
22	потому что	3	6
23	точки зрения	3	6
24	но в	9	6
25	но не	3	5
26	в отношении	10	5
27	в пределах	8	5
28	что в	4	5
29	не было	2	5
30	в области	11	5
31	в себе	3	4
32	в качестве	9	4
33	например в	2	4
34	и к	4	4
35	в ней	6	4
36	и потому	4	4
37	начала и	2	4
38	с одной	3	4
39	и других	2	4
40	одна из	2	4
41	том числе	2	3
42	в своем	4	3
43	главным образом	2	3
44	может быть	5	3
45	и о	5	3
46	а также	4	3
47	то что	4	3
48	время в	2	3
49	не в	5	3
50	между тем	3	3
51	если бы	4	2
52	в виде	2	2
53	друг другу	2	2
54	с другой	5	2
55	это не	3	2
56	точек зрения	2	2
57	и как	3	2
58	одной стороны	3	2
59	было бы	6	2
60	из них	2	2
61	а в	4	2
62	хотя и	3	2
63	в котором	4	2
64	в мире	2	2
65	во всей	2	2
66	как раз	2	2
67	не может	4	2
68	в значительной	2	2
69	а не	2	2
70	для того	3	2
71	с точки	3	2
72	мы не	3	2
73	к началу	2	2
74	в которых	5	2
75	культуры в	2	2
76	с тем	3	2
77	в эту	2	2
